grid,case,stations,source_samples,all_heading_covered,all_heading_coverage_fraction,outward_covered
square650_full,uniform,49,20000,20000,1.0,20000
square650_full,exact_boundary,49,1440,1440,1.0,1440
square700_cropped,uniform,45,20000,20000,1.0,20000
square700_cropped,exact_boundary,45,1440,1440,1.0,1440
triangle990_mixed,uniform,31,20000,20000,1.0,20000
triangle990_mixed,exact_boundary,31,1440,1440,1.0,1440
triangle1700_omni,uniform,19,20000,20000,1.0,
triangle1700_omni,exact_boundary,19,1440,1440,1.0,
unsafe_interior_square,uniform,21,20000,11721,0.58605,12460
unsafe_interior_square,exact_boundary,21,1440,0,0.0,0
