intersection_angle_deg,error1,error2,pure_wedge_status,pure_wedge_diameter_m,pure_wedge_mec_radius_m,with_public_prior_outer_radius_m,certifies_20m,ray_intersection_error_m
0,-1.0,-1.0,unbounded,,,750.4617553055401,False,
0,-1.0,0.0,unbounded,,,750.1165542953024,False,1000.0
0,-1.0,1.0,unbounded,,,750.0000229938648,False,1000.0
0,0.0,-1.0,unbounded,,,750.1165542953023,False,1000.0
0,0.0,0.0,unbounded,,,750.2331037494381,False,
0,0.0,1.0,unbounded,,,750.1165542953024,False,1000.0
0,1.0,-1.0,unbounded,,,750.0000229938647,False,1000.0
0,1.0,0.0,unbounded,,,750.1165542953024,False,1000.0
0,1.0,1.0,unbounded,,,750.4617553055399,False,
1,-1.0,-1.0,unbounded,,,584.9144679890038,False,17.45307099674787
1,-1.0,0.0,unbounded,,,502.7173630704445,False,
1,-1.0,1.0,unbounded,,,259.8436771453947,False,1999.9238461283426
1,0.0,-1.0,unbounded,,,625.7631354096734,False,500.0761640219539
1,0.0,0.0,unbounded,,,584.6860254747285,False,1.1368683772161603e-13
1,0.0,1.0,unbounded,,,502.7173630704476,False,
1,1.0,-1.0,bounded,800.0913999593192,400.0456999796596,410.6485619053352,False,666.7089773804692
1,1.0,0.0,unbounded,,,625.7631354096721,False,500.07616402195396
1,1.0,1.0,unbounded,,,584.9144679890028,False,17.45307099674787
2,-1.0,-1.0,unbounded,,,501.74323056807293,False,17.455064928217585
2,-1.0,0.0,unbounded,,,419.31597522695165,False,999.9999999999998
2,-1.0,1.0,unbounded,,,255.1061676690181,False,
2,0.0,-1.0,bounded,1600.060942132,800.030471066,550.9955176405978,False,333.4687601057548
2,0.0,0.0,unbounded,,,501.514931747668,False,0.0
2,0.0,1.0,unbounded,,,419.3159752269526,False,999.9999999999998
2,1.0,-1.0,bounded,666.8359423967944,333.41797119839725,339.0229176201803,False,500.0761640219539
2,1.0,0.0,bounded,1600.0609421319923,800.0304710659962,550.9955176405981,False,333.4687601057548
2,1.0,1.0,unbounded,,,501.7432305680744,False,17.455064928217585
5,-1.0,-1.0,bounded,952.4414364143645,476.22071820718224,394.64011202311656,False,17.46903308596054
5,-1.0,0.0,bounded,1666.5820752623474,833.2910376311737,335.5094811250311,False,250.19049129835503
5,-1.0,1.0,bounded,3999.2384960792915,1999.6192480396458,252.9536965765547,False,666.7089773804693
5,0.0,-1.0,bounded,625.2857138768335,312.64285693841674,316.5640085905104,False,166.96319731205864
5,0.0,0.0,bounded,952.5865195830631,476.29325979153157,394.4465345031266,False,0.0
5,0.0,1.0,bounded,1666.582075262335,833.2910376311675,335.5094811250318,False,250.19049129835503
5,1.0,-1.0,bounded,444.8113552513835,222.40567762569174,225.03133238277542,False,285.87754220260615
5,1.0,0.0,bounded,625.2857138768308,312.6428569384154,316.5640085905091,False,166.96319731205875
5,1.0,1.0,bounded,952.4414364143539,476.22071820717696,394.6401120231178,False,17.46903308596054
15,-1.0,-1.0,bounded,272.20108906509716,136.10054453254858,137.51129715967414,False,17.603002564459633
15,-1.0,0.0,bounded,313.1197270107902,156.5598635053951,158.1913830604937,False,72.14066504407572
15,-1.0,1.0,bounded,364.1214741898624,182.0607370949312,183.97061404357422,False,154.16882486273778
15,0.0,-1.0,bounded,238.93148884602397,119.46574442301198,120.69866522881131,False,63.31655005742586
15,0.0,0.0,bounded,272.2425408995311,136.12127044976555,137.5322379161131,False,1.1368683772161603e-13
15,0.0,1.0,bounded,313.1197270107895,156.55986350539476,158.1913830604933,False,72.14066504407572
15,1.0,-1.0,bounded,211.4510932800846,105.7255466400423,106.81271759958746,False,118.07371603679508
15,1.0,0.0,bounded,238.93148884602363,119.46574442301181,120.69866522881112,False,63.31655005742608
15,1.0,1.0,bounded,272.2010890650962,136.1005445325481,137.5112971596736,False,17.603002564459626
