candidate,x,y,trials,reception_fraction,mean_radius_m,worst_radius_m,move_measure_s,universal_certificate
naive_perpendicular_500,0.0,500.0,135,0.6666666666666666,263.15161316138415,750.2331037494384,105.0,False
guessed_distance_orthogonal,1000.0,1000.0,135,0.2962962962962963,536.5762476985446,750.2331037494384,287.842712474619,False
robust_lens_750_350,750.0,350.0,135,1.0,28.963221671029714,80.44273703252647,170.5294535724685,True
safe_grid_750_100,750.0,100.0,135,1.0,68.367556877895,181.20769140730883,156.32745950421557,True
safe_grid_750_250,750.0,250.0,135,1.0,35.0531169968438,100.40192010083025,163.11388300841898,True
safe_grid_750_400,750.0,400.0,135,1.0,27.31775682077376,74.065225317955,175.0,True
safe_grid_750_550,750.0,550.0,135,1.0,24.960071626265442,62.228981046526094,191.01075237738274,True
active_weight_0,750.2331031821237,-225.06993112483474,135,1.0,37.62627739697807,107.73358985440562,161.65327101683093,True
active_weight_0.08,750.2331031821237,-225.06993112483474,135,1.0,37.62627739697807,107.73358985440562,161.65327101683093,True
active_weight_0.4,750.2331031821237,-225.06993112483474,135,1.0,37.62627739697807,107.73358985440562,161.65327101683093,True
active_weight_1.6,750.2331031821237,-225.06993112483474,135,1.0,37.62627739697807,107.73358985440562,161.65327101683093,True
