active_measurements,active_no_signal,all_cleared,case_id,category,certified_clears,clear_calls,clear_fraction,cleared,commands,cpu_s,discovered_channels,failure,inconsistent_updates,measurements,missed_channels,mixed,move_m,noise,optical_fallback_calls,optical_max_cover_radius,per_source_s,policy_cleared_channels,rounding,sources,stations_visited,stop_reason,strategy,switches,total_virtual_s,wall_s
0,0,True,q3_random_00,random,14,14,1.0,14,565,0.040928000000000075,14,,0,549,[],False,40889.339112433605,hash,0,0.0,824.3477017857142,"[3, 4, 5, 6, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20]",nearest,14,49,full_coverage_and_all_discovered_cleared,square_greedy,548,11540.867825,0.041097624984104186
0,0,True,q3_random_00,random,14,14,1.0,14,496,0.03172600000000003,14,,0,480,[],False,40689.50424014267,hash,0,0.0,788.9214893571428,"[3, 4, 5, 6, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20]",nearest,14,45,full_coverage_and_all_discovered_cleared,square_cropped_2opt,437,11044.900851,0.03179891698528081
0,0,True,q3_random_00,random,0,156,1.0,14,538,0.026164999999999994,14,,0,380,[],False,60576.439643657926,hash,142,19.189137263345785,1062.3062812142857,"[3, 4, 5, 6, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20]",nearest,14,19,full_coverage_and_all_discovered_cleared,triangle_2opt,361,14872.287937,0.02620408299844712
0,0,True,q3_random_00,random,0,156,1.0,14,538,0.02647900000000003,14,,0,380,[],False,60576.439643657926,hash,142,19.189137263345785,1062.3062812142857,"[3, 4, 5, 6, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20]",nearest,14,19,full_coverage_and_all_discovered_cleared,triangle_genetic,361,14872.287937,0.026516583049669862
24,0,True,q3_random_00,random,14,14,1.0,14,228,0.18372499999999992,14,,0,212,[],False,43568.33211586308,hash,0,0.0,716.61903,"[3, 4, 5, 6, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20]",nearest,14,19,full_coverage_and_all_discovered_cleared,active_2opt,189,10032.66642,0.1842481250059791
24,0,True,q3_random_00,random,14,14,1.0,14,228,0.187087,14,,0,212,[],False,43568.33211586308,hash,0,0.0,716.61903,"[3, 4, 5, 6, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20]",nearest,14,19,full_coverage_and_all_discovered_cleared,active_genetic,189,10032.66642,0.18799683300312608
0,0,True,q3_random_01,random,11,11,1.0,11,675,0.03700300000000012,11,,0,662,[],False,42704.700911356034,hash,0,0.0,1142.4491074545456,"[6, 7, 8, 11, 12, 14, 15, 16, 17, 19, 20]",nearest,11,49,full_coverage_and_all_discovered_cleared,square_greedy,661,12566.940182,0.03715054102940485
0,0,True,q3_random_01,random,11,11,1.0,11,631,0.030550999999999995,11,,0,618,[],False,40667.749632457446,hash,0,0.0,1077.595448,"[6, 7, 8, 11, 12, 14, 15, 16, 17, 19, 20]",nearest,11,45,full_coverage_and_all_discovered_cleared,square_cropped_2opt,575,11853.549928,0.030621499987319112
0,0,True,q3_random_01,random,0,148,1.0,11,530,0.021347000000000005,11,,0,380,[],False,59743.51757733667,hash,137,19.191471029010412,1334.154867090909,"[6, 7, 8, 11, 12, 14, 15, 16, 17, 19, 20]",nearest,11,19,full_coverage_and_all_discovered_cleared,triangle_2opt,361,14675.703538,0.02153337502386421
0,0,True,q3_random_01,random,0,148,1.0,11,530,0.021167999999999854,11,,0,380,[],False,59743.51757733667,hash,137,19.191471029010412,1334.154867090909,"[6, 7, 8, 11, 12, 14, 15, 16, 17, 19, 20]",nearest,11,19,full_coverage_and_all_discovered_cleared,triangle_genetic,361,14675.703538,0.021269667020533234
