all_cleared,baseline_per_source_s,baseline_s,candidate_per_source_s,candidate_s,case_id,category,delta_s,method,seed,sources,split,task
True,761.2881257857143,10658.033761,848.2365691428571,11875.311968,clustered__adversarial-positive__58,clustered__adversarial-positive,1217.2782069999994,fireworks,58,14,confirmation,q4_active
True,905.1102567692308,11766.433338,995.5297882307693,12941.887247,uniform__adversarial-spatial__65,uniform__adversarial-spatial,1175.4539089999998,fireworks,65,13,confirmation,q4_active
True,936.5378587692308,12174.992164,1026.1906981538461,13340.479076,uniform__iid__65,uniform__iid,1165.4869120000003,fireworks,65,13,confirmation,q4_active
True,904.9369796923077,11764.180736,990.8832546923077,12881.482311,uniform__adversarial-positive__63,uniform__adversarial-positive,1117.3015749999995,fireworks,63,13,confirmation,q4_active
True,821.119253076923,10674.55029,896.2893046153846,11651.76096,uniform__adversarial-spatial__63,uniform__adversarial-spatial,977.2106700000004,fireworks,63,13,confirmation,q4_active
True,793.0174450000001,11102.24423,859.5093075000001,12033.130305,clustered__smooth__58,clustered__smooth,930.8860750000003,fireworks,58,14,confirmation,q4_active
True,841.8202686428571,11785.483761,906.7878886428572,12695.030441,uniform__adversarial-spatial__62,uniform__adversarial-spatial,909.5466800000013,fireworks,62,14,confirmation,q4_active
True,935.8757496153846,12166.384745,994.8834686153847,12933.485092,uniform__smooth__65,uniform__smooth,767.1003470000014,fireworks,65,13,confirmation,q4_active
True,1057.5061142727272,11632.567257,1124.6924604545454,12371.617065,uniform__adversarial-negative__59,uniform__adversarial-negative,739.0498079999998,fireworks,59,11,confirmation,q4_active
True,1058.755047909091,11646.305527,1124.0306517272727,12364.337169,uniform__adversarial-spatial__59,uniform__adversarial-spatial,718.0316419999999,fireworks,59,11,confirmation,q4_active
True,796.4705748571429,11150.588048,845.4331480714285,11836.064073,clustered__iid__58,clustered__iid,685.4760249999999,fireworks,58,14,confirmation,q4_active
True,929.1246715384616,12078.62073,981.3393373846154,12757.411386,uniform__adversarial-positive__65,uniform__adversarial-positive,678.7906559999992,fireworks,65,13,confirmation,q4_active
True,810.2214085714286,11343.09972,855.3458186428571,11974.841461,edge__adversarial-negative__62,edge__adversarial-negative,631.7417409999998,fireworks,62,14,confirmation,q4_active
True,1017.928613,13233.071969,1063.3140183076923,13823.082238,edge__adversarial-positive__63,edge__adversarial-positive,590.0102690000003,fireworks,63,13,confirmation,q4_active
True,886.7973555384615,11528.365622,929.5813686923077,12084.557793,uniform__iid__63,uniform__iid,556.1921710000006,fireworks,63,13,confirmation,q4_active
True,877.2725739285714,12281.816035,910.2327384285715,12743.258338,uniform__iid__62,uniform__iid,461.4423029999998,fireworks,62,14,confirmation,q4_active
True,845.4635599230769,10991.026279,878.1013704615385,11415.317816,clustered__adversarial-negative__64,clustered__adversarial-negative,424.291537000001,fireworks,64,13,confirmation,q4_active
True,806.1654917857143,11286.316885,835.6453113571428,11699.034359,clustered__smooth__62,clustered__smooth,412.71747399999913,fireworks,62,14,confirmation,q4_active
True,1179.0532263999999,11790.532264,1211.9489148,12119.489148,uniform__adversarial-spatial__66,uniform__adversarial-spatial,328.9568840000011,fireworks,66,10,confirmation,q4_active
True,907.7665396666666,10893.198476,934.5813635833333,11214.976363,clustered__adversarial-positive__60,clustered__adversarial-positive,321.7778870000002,fireworks,60,12,confirmation,q4_active
True,805.8332060714285,11281.664885,827.0423744999999,11578.593243,clustered__adversarial-spatial__62,clustered__adversarial-spatial,296.9283579999992,fireworks,62,14,confirmation,q4_active
True,859.3885812307692,11172.051556,882.0235690769231,11466.306398,uniform__adversarial-negative__63,uniform__adversarial-negative,294.2548420000003,fireworks,63,13,confirmation,q4_active
True,1113.1860006000002,11131.860006,1141.6068109,11416.068109,uniform__iid__66,uniform__iid,284.208102999999,fireworks,66,10,confirmation,q4_active
True,831.2580933846153,10806.355214,853.0403110769231,11089.524044,clustered__smooth__64,clustered__smooth,283.1688300000005,fireworks,64,13,confirmation,q4_active
True,943.5118817692309,12265.654463,964.0419197692307,12532.544957,uniform__smooth__63,uniform__smooth,266.8904939999993,fireworks,63,13,confirmation,q4_active
True,863.57386,11226.46018,884.0466106153847,11492.605938,clustered__adversarial-positive__64,clustered__adversarial-positive,266.14575800000057,fireworks,64,13,confirmation,q4_active
True,819.9689086428572,11479.564721,835.9681788571428,11703.554504,clustered__adversarial-positive__62,clustered__adversarial-positive,223.98978299999908,fireworks,62,14,confirmation,q4_active
True,894.038927,12516.544978,907.8790388571427,12710.306544,edge__adversarial-positive__58,edge__adversarial-positive,193.76156599999922,fireworks,58,14,confirmation,q4_active
True,896.081760076923,11649.062881,910.3632287692308,11834.721974,uniform__adversarial-negative__65,uniform__adversarial-negative,185.6590930000002,fireworks,65,13,confirmation,q4_active
True,866.0270237692307,11258.351309,876.6855558461539,11396.912226,edge__smooth__61,edge__smooth,138.5609170000007,fireworks,61,13,confirmation,q4_active
True,862.8882708461539,11217.547521,873.1343305384615,11350.746297,edge__adversarial-negative__61,edge__adversarial-negative,133.19877599999927,fireworks,61,13,confirmation,q4_active
True,804.3740433846153,10456.862564,813.170175923077,10571.212287,clustered__iid__61,clustered__iid,114.34972300000118,fireworks,61,13,confirmation,q4_active
True,818.061104076923,10634.794353,826.3315376923076,10742.30999,clustered__smooth__61,clustered__smooth,107.51563700000042,fireworks,61,13,confirmation,q4_active
True,858.2666980769231,11157.467075,862.5489283076923,11213.136068,edge__adversarial-spatial__61,edge__adversarial-spatial,55.66899299999932,fireworks,61,13,confirmation,q4_active
True,1060.8193217272726,11669.012539,1062.9623255454544,11692.585581,uniform__iid__59,uniform__iid,23.573041999999987,fireworks,59,11,confirmation,q4_active
True,910.1320826153847,11831.717074,911.6206527692308,11851.068486,clustered__adversarial-spatial__64,clustered__adversarial-spatial,19.351411999999982,fireworks,64,13,confirmation,q4_active
True,863.4026143571429,12087.636601,864.6974867142857,12105.764814,uniform__adversarial-positive__62,uniform__adversarial-positive,18.12821299999996,fireworks,62,14,confirmation,q4_active
True,1109.645455,11096.45455,1111.2296361,11112.296361,uniform__smooth__66,uniform__smooth,15.841811000000234,fireworks,66,10,confirmation,q4_active
True,1115.310441,11153.10441,1116.6413294,11166.413294,uniform__adversarial-negative__66,uniform__adversarial-negative,13.308884000000035,fireworks,66,10,confirmation,q4_active
