bootstrap_gain_pct_high,bootstrap_gain_pct_low,faster_cases,gain_per_source_pct,layout_blocks,mean_delta_total_s,method,n,slower_cases,split,task,tied_cases,worst_regression_case,worst_regression_s
14.36264800509146,1.0304754485218104,52,6.85922661068984,15,-815.6972575733333,adaptive_greedy,75,22,ordinary,q3_active,1,edge__adversarial-positive__54,865.1942950000011
,,10,6.0124474173759435,,-750.4773564444446,adaptive_greedy,18,8,stress,q3_active,0,near_collinear_min__n10__spatial,600.8025539999999
16.171603380478217,4.601133680084189,64,9.446232536856447,15,-1052.798135986667,adaptive_two_opt,75,5,ordinary,q3_active,6,uniform__adversarial-positive__54,200.33426899999904
,,15,6.33620192166926,,-685.3305885555556,adaptive_two_opt,18,3,stress,q3_active,0,boundary_outward_min__n16__spatial,1850.4084119999998
0.0,0.0,0,0.0,15,0.0,ant_colony,75,0,ordinary,q3_active,75,uniform__iid__52,0.0
,,0,0.0,,0.0,ant_colony,18,0,stress,q3_active,18,boundary_outward_min__n10__positive,0.0
0.0,0.0,0,0.0,15,0.0,fireworks,75,0,ordinary,q3_active,75,uniform__iid__52,0.0
,,0,0.0,,0.0,fireworks,18,0,stress,q3_active,18,boundary_outward_min__n10__positive,0.0
0.0,0.0,0,0.0,15,0.0,genetic,75,0,ordinary,q3_active,75,uniform__iid__52,0.0
,,0,0.0,,0.0,genetic,18,0,stress,q3_active,18,boundary_outward_min__n10__positive,0.0
0.0,0.0,0,0.0,15,0.0,greedy,75,0,ordinary,q3_active,75,uniform__iid__52,0.0
,,0,0.0,,0.0,greedy,18,0,stress,q3_active,18,boundary_outward_min__n10__positive,0.0
0.0,0.0,0,0.0,15,0.0,immune,75,0,ordinary,q3_active,75,uniform__iid__52,0.0
,,0,0.0,,0.0,immune,18,0,stress,q3_active,18,boundary_outward_min__n10__positive,0.0
1.9098945348215104,-3.120743910978256,40,-0.1951020108021284,15,72.54901364,insertion_greedy,75,35,ordinary,q3_active,0,clustered__adversarial-negative__56,1973.1251269999993
,,7,4.259583287073665,,-494.1244970555555,insertion_greedy,18,11,stress,q3_active,0,near_collinear_min__n16__positive,649.8153949999996
0.0,0.0,0,0.0,15,0.0,iterated_search,75,0,ordinary,q3_active,75,uniform__iid__52,0.0
,,0,0.0,,0.0,iterated_search,18,0,stress,q3_active,18,boundary_outward_min__n10__positive,0.0
0.0,0.0,0,0.0,15,0.0,particle_swarm,75,0,ordinary,q3_active,75,uniform__iid__52,0.0
