all_cleared,baseline_per_source_s,baseline_s,candidate_per_source_s,candidate_s,case_id,category,delta_s,method,seed,sources,split,task
True,541.910801125,8670.572818,882.51597375,14120.25558,unknown_count_late__n16__spatial,unknown_count_late,5449.682761999999,fireworks,159,16,stress,q4_active
True,541.910801125,8670.572818,869.9605530625,13919.368849,unknown_count_late__n16__spatial,unknown_count_late,5248.796031,immune,159,16,stress,q4_active
True,541.910801125,8670.572818,841.6496448125,13466.394317,unknown_count_late__n16__spatial,unknown_count_late,4795.821499,particle_swarm,159,16,stress,q4_active
True,597.1313636875,9554.101819,876.5162190625,14024.259505,unknown_count_late__n16__negative,unknown_count_late,4470.1576860000005,particle_swarm,158,16,stress,q4_active
True,462.4158951875,7398.654323,736.142041,11778.272656,unknown_count_late__n16__positive,unknown_count_late,4379.618332999999,particle_swarm,157,16,stress,q4_active
True,597.1313636875,9554.101819,851.19412,13619.10592,unknown_count_late__n16__negative,unknown_count_late,4065.0041010000004,fireworks,158,16,stress,q4_active
True,462.4158951875,7398.654323,714.809381,11436.950096,unknown_count_late__n16__positive,unknown_count_late,4038.2957730000007,fireworks,157,16,stress,q4_active
True,462.4158951875,7398.654323,702.4942375625,11239.907801,unknown_count_late__n16__positive,unknown_count_late,3841.2534779999996,immune,157,16,stress,q4_active
True,597.1313636875,9554.101819,835.7951540625,13372.722465,unknown_count_late__n16__negative,unknown_count_late,3818.620646000001,immune,158,16,stress,q4_active
True,541.910801125,8670.572818,779.8057903125,12476.892645,unknown_count_late__n16__spatial,unknown_count_late,3806.3198269999993,greedy,159,16,stress,q4_active
True,462.4158951875,7398.654323,700.269072375,11204.305158,unknown_count_late__n16__positive,unknown_count_late,3805.6508349999995,greedy,157,16,stress,q4_active
True,597.1313636875,9554.101819,834.8976739375,13358.362783,unknown_count_late__n16__negative,unknown_count_late,3804.260964000001,greedy,158,16,stress,q4_active
True,474.754439125,7596.071026,688.1601529375,11010.562447,clustered__adversarial-spatial__56,clustered__adversarial-spatial,3414.4914210000006,insertion_greedy,56,16,ordinary,q4_conservative
True,475.7495355625,7611.992569,675.8788274375,10814.061239,clustered__iid__56,clustered__iid,3202.0686700000006,insertion_greedy,56,16,ordinary,q4_conservative
True,541.910801125,8670.572818,741.1178933125,11857.886293,unknown_count_late__n16__spatial,unknown_count_late,3187.313474999999,genetic,159,16,stress,q4_active
True,541.910801125,8670.572818,734.1688281875,11746.701251,unknown_count_late__n16__spatial,unknown_count_late,3076.128433,iterated_search,159,16,stress,q4_active
True,597.1313636875,9554.101819,777.9767095,12447.627352,unknown_count_late__n16__negative,unknown_count_late,2893.525533,genetic,158,16,stress,q4_active
True,494.5447908125,7912.716653,669.7539711875,10716.063539,clustered__adversarial-positive__56,clustered__adversarial-positive,2803.3468860000003,insertion_greedy,56,16,ordinary,q4_conservative
True,1213.1519486,12131.519486,1485.9256559,14859.256559,unknown_count_late__n10__negative,unknown_count_late,2727.7370730000002,particle_swarm,155,10,stress,q4_active
True,495.7654473125,7932.247157,663.9197331875,10622.715731,clustered__adversarial-negative__56,clustered__adversarial-negative,2690.4685740000004,insertion_greedy,56,16,ordinary,q4_conservative
True,499.54079075,7992.652652,665.2805663125,10644.489061,clustered__smooth__56,clustered__smooth,2651.8364090000005,insertion_greedy,56,16,ordinary,q4_conservative
True,462.4158951875,7398.654323,613.2175981875,9811.481571,unknown_count_late__n16__positive,unknown_count_late,2412.8272480000005,genetic,157,16,stress,q4_active
True,541.910801125,8670.572818,691.3633306875,11061.813291,unknown_count_late__n16__spatial,unknown_count_late,2391.240473,adaptive_two_opt,159,16,stress,q4_active
True,1272.5312241,12725.312241,1500.5584253000002,15005.584253,boundary_outward_min__n10__spatial,boundary_outward_min,2280.2720120000013,adaptive_greedy,144,10,stress,q4_active
True,1354.4466429,13544.466429,1581.5655177,15815.655177,boundary_outward_min__n10__negative,boundary_outward_min,2271.1887480000005,adaptive_greedy,143,10,stress,q4_active
True,1222.9911096,12229.911096,1450.0229326,14500.229326,unknown_count_late__n10__spatial,unknown_count_late,2270.3182300000008,particle_swarm,156,10,stress,q4_active
True,660.016276375,10560.260422,793.1207299375,12689.931679,uniform__adversarial-positive__56,uniform__adversarial-positive,2129.671257,insertion_greedy,56,16,ordinary,q4_active
True,1024.5013775,10245.013775,1235.0214154999999,12350.214155,boundary_outward_min__n10__positive,boundary_outward_min,2105.20038,adaptive_greedy,142,10,stress,q4_active
True,686.8346643125,10989.354629,813.652616,13018.441856,uniform__adversarial-spatial__56,uniform__adversarial-spatial,2029.087227,insertion_greedy,56,16,ordinary,q4_active
True,1272.5312241,12725.312241,1474.2021952,14742.021952,boundary_outward_min__n10__spatial,boundary_outward_min,2016.7097109999995,greedy,144,10,stress,q4_active
True,653.2213729375,10451.541967,779.1961638125,12467.138621,uniform__iid__56,uniform__iid,2015.5966540000009,insertion_greedy,56,16,ordinary,q4_active
True,1354.4466429,13544.466429,1555.645,15556.45,boundary_outward_min__n10__negative,boundary_outward_min,2011.9835710000007,greedy,143,10,stress,q4_active
True,686.8346643125,10989.354629,811.3423865625,12981.478185,uniform__adversarial-spatial__56,uniform__adversarial-spatial,1992.1235560000005,ant_colony,56,16,ordinary,q4_active
True,469.939115,7519.02584,593.2594354375,9492.150967,clustered__adversarial-negative__56,clustered__adversarial-negative,1973.1251269999993,insertion_greedy,56,16,ordinary,q3_active
True,653.2213729375,10451.541967,776.287401,12420.598416,uniform__iid__56,uniform__iid,1969.0564490000015,ant_colony,56,16,ordinary,q4_active
True,845.042002375,13520.672038,967.713632625,15483.418122,boundary_outward_min__n16__negative,boundary_outward_min,1962.7460839999985,adaptive_greedy,146,16,stress,q4_active
True,905.3859464166667,10864.631357,1068.5081163333332,12822.097396,edge__iid__52,edge__iid,1957.466038999999,insertion_greedy,52,12,ordinary,q4_conservative
True,1091.4366532,10914.366532,1285.1220337999998,12851.220338,uniform__adversarial-negative__55,uniform__adversarial-negative,1936.8538059999992,immune,55,10,ordinary,q4_active
True,686.8346643125,10989.354629,807.693043875,12923.088702,uniform__adversarial-spatial__56,uniform__adversarial-spatial,1933.7340729999996,greedy,56,16,ordinary,q4_active
True,653.2213729375,10451.541967,773.315946375,12373.055142,uniform__iid__56,uniform__iid,1921.513175,greedy,56,16,ordinary,q4_active
True,660.016276375,10560.260422,779.9245219375,12478.792351,uniform__adversarial-positive__56,uniform__adversarial-positive,1918.5319290000007,greedy,56,16,ordinary,q4_active
True,597.1313636875,9554.101819,715.5683711875,11449.093939,unknown_count_late__n16__negative,unknown_count_late,1894.9921200000008,iterated_search,158,16,stress,q4_active
True,462.4158951875,7398.654323,580.13488525,9282.158164,unknown_count_late__n16__positive,unknown_count_late,1883.5038410000006,iterated_search,157,16,stress,q4_active
True,1024.5013775,10245.013775,1209.6483828,12096.483828,boundary_outward_min__n10__positive,boundary_outward_min,1851.470053000001,greedy,142,10,stress,q4_active
True,502.56815775,8041.090524,618.2186835,9891.498936,boundary_outward_min__n16__spatial,boundary_outward_min,1850.4084119999998,adaptive_two_opt,147,16,stress,q3_active
True,503.9558550625,8063.293681,619.59418525,9913.506964,boundary_outward_min__n16__positive,boundary_outward_min,1850.213283,adaptive_two_opt,145,16,stress,q3_active
True,502.813795625,8045.02073,618.2288480625,9891.661569,boundary_outward_min__n16__negative,boundary_outward_min,1846.6408389999997,adaptive_two_opt,146,16,stress,q3_active
True,691.6040294375,11065.664471,806.275084625,12900.401354,edge__smooth__56,edge__smooth,1834.7368829999996,insertion_greedy,56,16,ordinary,q4_active
True,660.016276375,10560.260422,771.437997625,12343.007962,uniform__adversarial-positive__56,uniform__adversarial-positive,1782.7475400000003,ant_colony,56,16,ordinary,q4_active
True,691.6040294375,11065.664471,800.61451775,12809.832284,edge__smooth__56,edge__smooth,1744.167813,ant_colony,56,16,ordinary,q4_active
True,902.2265324166666,10826.718389,1046.1428101666668,12553.713722,edge__adversarial-positive__52,edge__adversarial-positive,1726.9953330000008,insertion_greedy,52,12,ordinary,q4_conservative
True,800.4402321428571,11206.16325,923.5531375714285,12929.743926,edge__smooth__53,edge__smooth,1723.5806759999996,insertion_greedy,53,14,ordinary,q4_conservative
True,708.6671693125,11338.674709,812.004726125,12992.075618,edge__adversarial-spatial__56,edge__adversarial-spatial,1653.400909,insertion_greedy,56,16,ordinary,q4_active
True,670.6332748125,10730.132397,773.3503941875,12373.606307,edge__iid__56,edge__iid,1643.4739100000006,insertion_greedy,56,16,ordinary,q4_active
True,670.6332748125,10730.132397,773.255125,12372.082,edge__iid__56,edge__iid,1641.949603000001,ant_colony,56,16,ordinary,q4_active
True,708.6671693125,11338.674709,811.2095123125,12979.352197,edge__adversarial-spatial__56,edge__adversarial-spatial,1640.6774879999994,ant_colony,56,16,ordinary,q4_active
True,786.7437502142857,11014.412503,902.3432885714285,12632.80604,edge__adversarial-positive__53,edge__adversarial-positive,1618.393537,insertion_greedy,53,14,ordinary,q4_conservative
True,933.2741635000001,11199.289962,1067.2691059166666,12807.229271,uniform__adversarial-negative__52,uniform__adversarial-negative,1607.9393089999994,insertion_greedy,52,12,ordinary,q4_conservative
True,931.3909060833333,11176.690873,1062.3780011666665,12748.536014,edge__smooth__52,edge__smooth,1571.8451409999998,insertion_greedy,52,12,ordinary,q4_conservative
True,942.676611,11312.119332,1071.96800375,12863.616045,uniform__adversarial-positive__52,uniform__adversarial-positive,1551.4967130000005,insertion_greedy,52,12,ordinary,q4_conservative
True,1084.2027122727272,11926.229835,1223.394530909091,13457.33984,edge__adversarial-spatial__54,edge__adversarial-spatial,1531.1100050000005,adaptive_greedy,54,11,ordinary,q4_conservative
True,653.2213729375,10451.541967,748.3720185,11973.952296,uniform__iid__56,uniform__iid,1522.4103290000003,adaptive_two_opt,56,16,ordinary,q4_active
True,967.6346342727272,10643.980977,1105.660622181818,12162.266844,clustered__adversarial-positive__54,clustered__adversarial-positive,1518.2858670000005,particle_swarm,54,11,ordinary,q4_active
True,787.7688147142857,11028.763406,895.1355979285714,12531.898371,edge__adversarial-negative__53,edge__adversarial-negative,1503.1349649999993,insertion_greedy,53,14,ordinary,q4_conservative
True,807.1749042857143,11300.44866,914.3062460714285,12800.287445,edge__iid__53,edge__iid,1499.838785,insertion_greedy,53,14,ordinary,q4_conservative
True,462.4158951875,7398.654323,554.5780744375,8873.249191,unknown_count_late__n16__positive,unknown_count_late,1474.594868000001,adaptive_two_opt,157,16,stress,q4_active
True,462.4158951875,7398.654323,554.2265891875,8867.625427,unknown_count_late__n16__positive,unknown_count_late,1468.971104000001,ant_colony,157,16,stress,q4_active
True,541.910801125,8670.572818,633.706586625,10139.305386,unknown_count_late__n16__spatial,unknown_count_late,1468.7325679999994,ant_colony,159,16,stress,q4_active
True,597.1313636875,9554.101819,688.88623175,11022.179708,unknown_count_late__n16__negative,unknown_count_late,1468.0778890000001,ant_colony,158,16,stress,q4_active
True,1094.6452178,10946.452178,1236.8777956,12368.777956,uniform__adversarial-spatial__55,uniform__adversarial-spatial,1422.3257780000004,ant_colony,55,10,ordinary,q4_active
True,713.408741,11414.539856,800.9329725625,12814.927561,near_collinear_min__n16__positive,near_collinear_min,1400.387705000001,insertion_greedy,151,16,stress,q4_conservative
True,1096.5770267,10965.770267,1236.494237,12364.94237,uniform__smooth__55,uniform__smooth,1399.1721030000008,ant_colony,55,10,ordinary,q4_active
True,1091.4366532,10914.366532,1229.5610786,12295.610786,uniform__adversarial-negative__55,uniform__adversarial-negative,1381.2442539999993,ant_colony,55,10,ordinary,q4_active
True,712.4094985625,11398.551977,797.8165705625,12765.065129,uniform__smooth__56,uniform__smooth,1366.5131520000014,insertion_greedy,56,16,ordinary,q4_active
True,491.0679088125,7857.086541,575.5354234375,9208.566775,clustered__adversarial-positive__56,clustered__adversarial-positive,1351.4802339999997,insertion_greedy,56,16,ordinary,q3_active
True,490.5117591875,7848.188147,574.4889929375,9191.823887,clustered__adversarial-spatial__56,clustered__adversarial-spatial,1343.6357400000006,insertion_greedy,56,16,ordinary,q3_active
True,493.4754231875,7895.606771,577.30453175,9236.872508,clustered__iid__56,clustered__iid,1341.2657370000006,insertion_greedy,56,16,ordinary,q3_active
