Q3 5/93, 15 executions, 0.4s
Q3 10/93, 30 executions, 0.7s
Q3 15/93, 45 executions, 1.1s
Q3 20/93, 60 executions, 1.5s
Q3 25/93, 75 executions, 1.9s
Q3 30/93, 90 executions, 2.3s
Q3 35/93, 105 executions, 2.7s
Q3 40/93, 120 executions, 3.1s
Q3 45/93, 135 executions, 3.4s
Q3 50/93, 150 executions, 3.8s
Q3 55/93, 165 executions, 4.2s
Q3 60/93, 180 executions, 4.5s
Q3 65/93, 195 executions, 4.9s
Q3 70/93, 210 executions, 5.3s
Q3 75/93, 225 executions, 5.6s
Q3 76/93, 228 executions, 5.7s
Q3 77/93, 231 executions, 5.8s
Q3 78/93, 234 executions, 5.9s
Q3 79/93, 237 executions, 6.0s
Q3 80/93, 240 executions, 6.1s
Q3 81/93, 243 executions, 6.1s
Q3 82/93, 246 executions, 6.2s
Q3 83/93, 249 executions, 6.3s
Q3 84/93, 252 executions, 6.3s
Q3 85/93, 255 executions, 6.4s
Q3 86/93, 258 executions, 6.5s
Q3 87/93, 261 executions, 6.6s
Q3 88/93, 264 executions, 6.6s
Q3 89/93, 267 executions, 6.7s
Q3 90/93, 270 executions, 6.7s
Q3 91/93, 273 executions, 6.8s
Q3 92/93, 276 executions, 6.9s
Q3 93/93, 279 executions, 6.9s
Q4 5/93, 364 executions, 10.5s
Q4 10/93, 449 executions, 14.1s
Q4 15/93, 534 executions, 17.8s
Q4 20/93, 619 executions, 21.5s
Q4 25/93, 704 executions, 24.9s
Q4 30/93, 789 executions, 28.2s
Q4 35/93, 874 executions, 31.5s
Q4 40/93, 959 executions, 35.0s
Q4 45/93, 1044 executions, 38.5s
Q4 50/93, 1129 executions, 41.7s
Q4 55/93, 1214 executions, 45.0s
Q4 60/93, 1299 executions, 48.5s
Q4 65/93, 1384 executions, 52.2s
Q4 70/93, 1469 executions, 55.7s
Q4 75/93, 1554 executions, 58.9s
Q4 76/93, 1571 executions, 59.4s
Q4 77/93, 1588 executions, 59.9s
Q4 78/93, 1605 executions, 60.4s
Q4 79/93, 1622 executions, 61.0s
Q4 80/93, 1639 executions, 61.6s
Q4 81/93, 1656 executions, 62.2s
Q4 82/93, 1673 executions, 62.8s
Q4 83/93, 1690 executions, 63.3s
Q4 84/93, 1707 executions, 63.9s
Q4 85/93, 1724 executions, 64.7s
Q4 86/93, 1741 executions, 65.6s
Q4 87/93, 1758 executions, 66.3s
Q4 88/93, 1775 executions, 66.9s
Q4 89/93, 1792 executions, 67.5s
Q4 90/93, 1809 executions, 68.1s
Q4 91/93, 1826 executions, 68.8s
Q4 92/93, 1843 executions, 69.6s
Q4 93/93, 1860 executions, 70.2s
Completed 1860 executions
