all_cleared,errors,max_total_s,max_wall_s,mean_commands,mean_optical_fallbacks,mean_pair_cuts,mean_per_source_s,mean_total_s,mean_wall_s,method,p95_total_s,problem,runs,slower_cases,split
75,0,3683.975599,0.03829287498956546,142.78666666666666,0.0,0.0,258.13584147555554,3115.5257700933334,0.023459218877057233,joint7,3618.4792429,3,75,0,ordinary
75,0,3683.975599,0.03840366698568687,142.78666666666666,0.0,0.0,258.13584147555554,3115.5257700933334,0.02354425329171742,fast7,3618.4792429,3,75,0,ordinary
75,0,3959.022871,0.03648529195925221,160.26666666666668,0.0,0.0,286.15046731644446,3436.0509486533338,0.02463711827605342,fast9,3945.9042442,3,75,68,ordinary
18,0,4743.579252,0.030248874973040074,130.33333333333334,0.0,0.0,277.29042843750005,3386.6095131666666,0.022541344896631524,joint7,4736.9270755,3,18,0,stress
18,0,4743.579252,0.030497541010845453,130.33333333333334,0.0,0.0,277.29042843750005,3386.6095131666666,0.022502034792624828,fast7,4736.9270755,3,18,0,stress
18,0,4174.06702,0.03531020798254758,145.44444444444446,0.0,0.0,277.41885481944445,3341.172781777778,0.02323328933238776,fast9,4157.1913886,3,18,10,stress
75,0,7473.082591,0.06052670895587653,332.64,0.0,3.986666666666667,552.3742990315556,6629.791930559999,0.037294713268832616,joint22,7187.2083448,4,75,0,ordinary
75,0,7473.082591,0.05693899997277185,332.64,0.0,3.986666666666667,552.3742990315556,6629.791930559999,0.037399476588858914,fast22,7187.2083448,4,75,0,ordinary
75,0,7473.082591,0.05551637499593198,332.29333333333335,0.0,4.0,551.2685559197778,6617.779534853334,0.037002611659312,probe05_22,7156.8772008,4,75,17,ordinary
75,0,7517.287026,0.053994083020370454,331.93333333333334,0.0,3.2133333333333334,547.4822378484444,6572.9926608666665,0.03806882394477725,first025_22,7116.9683912,4,75,27,ordinary
75,0,7196.091341,0.06633162498474121,335.4,0.0,1.7066666666666668,537.7302726515554,6452.19104516,0.042332059442220876,quarter22,6956.3111644,4,75,19,ordinary
75,0,7433.079834,0.06778679200215265,329.56,0.0,2.3866666666666667,540.4982320684445,6481.9634352133335,0.0386608855589293,third22,7018.651426099999,4,75,16,ordinary
75,0,7412.172406,0.06194687500828877,334.24,0.0,3.3733333333333335,545.0409767626667,6536.6647152666665,0.03960831054951996,march150_22,7000.4510289,4,75,26,ordinary
75,0,7235.332284,0.05813412502175197,331.81333333333333,0.0,3.4133333333333336,546.3013269791111,6556.212649586666,0.03802520610857755,march300_22,6996.3724745,4,75,27,ordinary
75,0,7369.082591,0.055405416002031416,327.24,0.0,3.986666666666667,549.0098415213333,6588.131762906667,0.03671323660140236,cooldown150_22,7136.077200799999,4,75,9,ordinary
75,0,7387.287026,0.05340375000378117,327.92,0.0,3.2933333333333334,546.2592126946666,6557.563950226666,0.03786421498516575,first025_cd22,7085.3231688,4,75,24,ordinary
75,0,7019.091341,0.06602941598976031,331.12,0.0,1.7733333333333334,536.1420379913332,6430.982406426667,0.04204750770702958,quarter_cd22,6915.001745199999,4,75,19,ordinary
75,0,7243.072019,0.06909825000911951,332.16,0.0,2.6666666666666665,544.2071487253334,6541.821936679999,0.04569036725210026,quarter_prediction22,6987.2155981999995,4,75,31,ordinary
75,0,7986.607415,0.0541680830065161,327.85333333333335,0.0,5.573333333333333,592.4745666491111,7115.687301693333,0.03274761837286254,outer05_22,7802.7593056,4,75,66,ordinary
75,0,7769.398725,0.0610599999781698,325.5733333333333,0.0,4.706666666666667,583.584902538,7027.195124906668,0.03489136614138261,outer_first025_22,7663.9655716,4,75,62,ordinary
75,0,7682.84237,0.053981291013769805,323.93333333333334,0.0,3.8,553.7346740855555,6656.361841546666,0.03724623008010288,sparse_first025_22,7540.0154625,4,75,34,ordinary
75,0,8268.687514,0.04763679200550541,361.92,0.0,3.2266666666666666,589.0242783648889,7054.810431746667,0.03398257947604482,outer_first025_25,7741.8395417,4,75,64,ordinary
75,0,7480.565802,0.055764874967280775,365.38666666666666,0.0,2.506666666666667,559.6009640173334,6712.5042266400005,0.03938349780160934,first025_cd25,7260.2658372,4,75,43,ordinary
18,0,10004.060852,0.0505260830395855,392.27777777777777,0.0,23.666666666666668,625.0925113840278,7728.4902964444445,0.03424823373400917,joint22,9866.3275422,4,18,0,stress
18,0,10004.060852,0.049788250005804,383.27777777777777,0.0,24.166666666666668,608.18252285625,7457.93048,0.03379257417206342,fast22,9866.3275422,4,18,0,stress
18,0,9995.452282,0.049441957962699234,380.0,0.0,23.666666666666668,605.2352537527779,7421.418751944445,0.033357562497258186,probe05_22,9865.0362567,4,18,3,stress
18,0,8657.632116,0.05294512497493997,368.8333333333333,0.0,17.833333333333332,586.7581637437501,7193.546259833332,0.03445730550124103,first025_22,8483.10801735,4,18,6,stress
18,0,8459.436014,0.06202166702132672,359.44444444444446,0.3333333333333333,12.055555555555555,561.7594292888888,6849.639473555556,0.03682324305474241,quarter22,8350.525479150001,4,18,1,stress
18,0,9045.716396,0.04458475002320483,359.6666666666667,0.0,15.277777777777779,576.3746861041668,7020.323319833333,0.03365499773321466,third22,8980.4569235,4,18,3,stress
18,0,8183.897148,0.05461749999085441,364.22222222222223,0.0,14.055555555555555,572.9004364708334,7013.082991333333,0.03491033328140879,march150_22,7993.620040149999,4,18,2,stress
18,0,9024.640125,0.05216520797694102,379.0,0.0,20.0,597.179216407639,7366.031710555555,0.03442728471903441,march300_22,8815.782103,4,18,3,stress
18,0,9884.452282,0.04497375001665205,358.77777777777777,0.0,23.666666666666668,595.6710330548611,7291.057887444444,0.032491536943578266,cooldown150_22,9805.8862567,4,18,0,stress
18,0,8560.632116,0.049560040992219,352.3333333333333,0.0,17.833333333333332,581.2433137548612,7110.793593277777,0.03366250465559359,first025_cd22,8430.30801735,4,18,5,stress
18,0,8387.436014,0.059657457983121276,343.55555555555554,0.3333333333333333,12.055555555555555,554.4754011361111,6753.361689777778,0.036044407280213714,quarter_cd22,8309.12547915,4,18,1,stress
18,0,8173.383667,0.05658383300760761,346.8888888888889,0.3333333333333333,12.61111111111111,546.0402434986112,6672.861783611112,0.03700611560877102,quarter_prediction22,7452.381679799999,4,18,1,stress
18,0,9649.817294,0.04465987504227087,440.22222222222223,0.0,26.833333333333332,673.0379582055555,8341.51151522222,0.03329676166888223,outer05_22,9166.11060325,4,18,12,stress
18,0,8735.991812,0.045296500029508024,400.8888888888889,0.0,19.055555555555557,623.8714049638888,7688.681963222221,0.032026226952439174,outer_first025_22,8639.27474135,4,18,12,stress
18,0,8735.991812,0.045862333034165204,400.8888888888889,0.0,19.055555555555557,623.8714049638888,7688.681963222221,0.032019800952790924,sparse_first025_22,8639.27474135,4,18,12,stress
18,0,9381.767877,0.04591887496644631,442.72222222222223,0.0,15.0,643.9652660729166,7847.7540561666665,0.033434817221455485,outer_first025_25,9149.2646689,4,18,12,stress
18,0,8969.53049,0.04779320803936571,386.44444444444446,0.0,14.11111111111111,627.2843210555556,7573.238735888889,0.034615194496129535,first025_cd25,8530.323166699998,4,18,9,stress
