Q4 5/93, 50 executions, 2.6s
Q4 10/93, 100 executions, 5.3s
Q4 15/93, 150 executions, 8.0s
Q4 20/93, 200 executions, 10.6s
Q4 25/93, 250 executions, 13.3s
Q4 30/93, 300 executions, 15.9s
Q4 35/93, 350 executions, 18.7s
Q4 40/93, 400 executions, 21.4s
Q4 45/93, 450 executions, 24.1s
Q4 50/93, 500 executions, 26.7s
Q4 55/93, 550 executions, 29.2s
Q4 60/93, 600 executions, 31.8s
Q4 65/93, 650 executions, 34.5s
Q4 70/93, 700 executions, 37.2s
Q4 75/93, 750 executions, 39.7s
Q4 76/93, 760 executions, 40.2s
Q4 77/93, 770 executions, 40.7s
Q4 78/93, 780 executions, 41.1s
Q4 79/93, 790 executions, 41.8s
Q4 80/93, 800 executions, 42.4s
Q4 81/93, 810 executions, 43.0s
Q4 82/93, 820 executions, 43.5s
Q4 83/93, 830 executions, 44.0s
Q4 84/93, 840 executions, 44.4s
Q4 85/93, 850 executions, 45.0s
Q4 86/93, 860 executions, 45.6s
Q4 87/93, 870 executions, 46.2s
Q4 88/93, 880 executions, 46.8s
Q4 89/93, 890 executions, 47.4s
Q4 90/93, 900 executions, 47.8s
Q4 91/93, 910 executions, 48.5s
Q4 92/93, 920 executions, 49.2s
Q4 93/93, 930 executions, 49.7s
Completed 930 executions
