all_cleared,errors,max_total_s,max_wall_s,mean_commands,mean_optical_fallbacks,mean_pair_cuts,mean_per_source_s,mean_total_s,mean_wall_s,method,p95_total_s,problem,runs,slower_cases,split
75,0,6761.022463,0.06213529099477455,300.50666666666666,0.0,0.13333333333333333,514.6400633928888,6174.563346066668,0.045793603876760854,history_first8_width015,6629.6270477,4,75,0,ordinary
75,0,6761.022463,0.0652272499864921,300.52,0.0,0.13333333333333333,514.8355361155556,6176.529668093333,0.04862833941588178,history_recent8_width015,6629.6270477,4,75,2,ordinary
75,0,6760.305284,0.08752074994845316,300.3333333333333,0.0,0.05333333333333334,514.2940889002222,6169.872067853335,0.06137946497416124,history_ends16_width015,6630.4123241,4,75,10,ordinary
75,0,6585.546318,0.07898862502770498,297.96,0.0,0.2,506.66522129888887,6074.908166986666,0.05663140386963884,history_arc8_width015,6503.9459907,4,75,26,ordinary
75,0,6635.336448,0.07143595797242597,293.44,0.0,0.3466666666666667,503.6449866782222,6019.3180686666665,0.050303963386298466,history_locked8_width015,6499.8098475,4,75,25,ordinary
75,0,6761.022463,0.06154887500451878,300.50666666666666,0.0,0.13333333333333333,514.6400633928888,6174.563346066668,0.04320932001263524,batch_history_first8_width015,6629.6270477,4,75,0,ordinary
75,0,6761.022463,0.06184475001646206,300.52,0.0,0.13333333333333333,514.8355361155556,6176.529668093333,0.04582085055997595,batch_history_recent8_width015,6629.6270477,4,75,2,ordinary
75,0,6760.305284,0.07259816600708291,300.3333333333333,0.0,0.05333333333333334,514.2940889002222,6169.872067853335,0.05291067941502357,batch_history_ends16_width015,6630.4123241,4,75,10,ordinary
75,0,6585.546318,0.07260058302199468,297.96,0.0,0.2,506.66522129888887,6074.908166986666,0.05283102115228151,batch_history_arc8_width015,6503.9459907,4,75,26,ordinary
75,0,6635.336448,0.06387758400524035,293.44,0.0,0.3466666666666667,503.6449866782222,6019.3180686666665,0.046656887237913905,batch_history_locked8_width015,6499.8098475,4,75,25,ordinary
18,0,7992.352586,0.06434558297041804,327.6111111111111,0.0,3.111111111111111,538.1126413826389,6549.331490888889,0.047419013772418514,history_first8_width015,7578.750339699999,4,18,0,stress
18,0,7992.352586,0.07055499998386949,328.3333333333333,0.0,3.1666666666666665,535.0123884173612,6515.932368777777,0.05003027311371019,history_recent8_width015,7261.933066299999,4,18,2,stress
18,0,7993.206502,0.11996074998751283,326.94444444444446,0.0,3.0,535.6053119208333,6526.210916166666,0.0783554513214363,history_ends16_width015,7320.935932799998,4,18,4,stress
18,0,7876.502569,0.06912558397743851,312.27777777777777,0.0,2.9444444444444446,518.1200827034722,6338.919778222222,0.054343273116198056,history_arc8_width015,7413.066364599999,4,18,7,stress
18,0,7296.872829,0.07668054196983576,332.5,0.0,2.888888888888889,528.7630618083335,6451.463627166666,0.05275297228622043,history_locked8_width015,7288.0359774,4,18,9,stress
18,0,7992.352586,0.0581950829946436,327.6111111111111,0.0,3.111111111111111,538.1126413826389,6549.331490888889,0.04313662266617434,batch_history_first8_width015,7578.750339699999,4,18,0,stress
18,0,7992.352586,0.06481895805336535,328.3333333333333,0.0,3.1666666666666665,535.0123884173612,6515.932368777777,0.04561284255598568,batch_history_recent8_width015,7261.933066299999,4,18,2,stress
18,0,7993.206502,0.08297504199435934,326.94444444444446,0.0,3.0,535.6053119208333,6526.210916166666,0.06106252989330743,batch_history_ends16_width015,7320.935932799998,4,18,4,stress
18,0,7876.502569,0.06544104096246883,312.27777777777777,0.0,2.9444444444444446,518.1200827034722,6338.919778222222,0.049458414332346164,batch_history_arc8_width015,7413.066364599999,4,18,7,stress
18,0,7296.872829,0.06729924998944625,332.5,0.0,2.888888888888889,528.7630618083335,6451.463627166666,0.04653812727257092,batch_history_locked8_width015,7288.0359774,4,18,9,stress
