active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,failure,fixed_scan_order,forced_continuations,historical_anchor_mode,historical_batch_screens,historical_cache_evictions,historical_exact_clip_calls,historical_inconsistent_cuts,historical_negative_limit,historical_pair_checks,historical_pair_cuts,historical_pair_updates,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_max_cover_radius,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,wall_s
6,0,True,0,6,1,1,0,uniform__iid__67,uniform__iid,9,44,10,10,317,bounded_transverse_width,,base,0,0.03720399999999999,10,,0,0,,False,0,first,,0,,0,8,430,4,1,0,44,2,38,0,2,2,305,history_first8_width015,[],21175.263578656693,0,0.0,False,0,609.3052714,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",30.0,4,67,1.0,10,1,2,2,16,10,ordinary,22,full_coverage_and_all_discovered_cleared,283,6093.052714,40.0,constant,0.0374779169796966
6,0,True,0,6,1,1,0,uniform__iid__67,uniform__iid,9,44,10,10,317,bounded_transverse_width,,base,0,0.04046899999999998,10,,0,0,,False,0,recent,,0,,0,8,430,4,1,0,44,2,38,0,2,2,305,history_recent8_width015,[],21175.263578656693,0,0.0,False,0,609.3052714,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",30.0,4,67,1.0,10,1,2,2,16,10,ordinary,22,full_coverage_and_all_discovered_cleared,283,6093.052714,40.0,constant,0.04054083302617073
6,0,True,0,6,1,1,0,uniform__iid__67,uniform__iid,9,44,10,10,317,bounded_transverse_width,,base,0,0.04687399999999997,10,,0,0,,False,0,ends,,0,,0,16,1346,5,2,0,44,2,38,0,2,2,305,history_ends16_width015,[],21223.523341763364,0,0.0,False,0,610.2704667,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",30.0,4,67,1.0,10,1,2,2,16,10,ordinary,22,full_coverage_and_all_discovered_cleared,283,6102.704667,40.0,constant,0.04695124999852851
10,1,True,0,10,3,3,0,uniform__iid__67,uniform__iid,7,28,10,10,299,bounded_transverse_width,,arc,41,0.04104199999999997,10,cached_distance_prefix_sum,0,0,,False,0,ends,,0,,0,8,420,0,0,0,28,4,0,0,3,2,287,history_arc8_width015,[],20365.908164953118,0,0.0,False,0,582.2181628999999,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",30.0,4,67,0.5,8,4,0,4,19,10,ordinary,22,full_coverage_and_all_discovered_cleared,264,5822.181629,40.0,constant,0.04113433399470523
7,1,True,0,7,1,1,0,uniform__iid__67,uniform__iid,9,33,10,10,320,bounded_transverse_width,,locked,38,0.037451999999999985,10,cached_distance_prefix_sum,0,0,,True,0,ends,,0,,0,8,877,0,0,0,33,4,0,0,3,2,308,history_locked8_width015,[],22011.904280567767,0,0.0,False,0,627.8380856,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",30.0,4,67,1.0,9,4,3,4,16,10,ordinary,22,full_coverage_and_all_discovered_cleared,286,6278.380856,40.0,constant,0.037483374995645136
6,0,True,0,6,1,1,0,uniform__iid__67,uniform__iid,9,44,10,10,317,bounded_transverse_width,,base,0,0.03542200000000001,10,,0,0,,False,0,first,394,0,38,0,8,430,4,1,0,44,2,38,0,2,2,305,batch_history_first8_width015,[],21175.263578656693,0,0.0,False,0,609.3052714,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",30.0,4,67,1.0,10,1,2,2,16,10,ordinary,22,full_coverage_and_all_discovered_cleared,283,6093.052714,40.0,constant,0.03545887494692579
6,0,True,0,6,1,1,0,uniform__iid__67,uniform__iid,9,44,10,10,317,bounded_transverse_width,,base,0,0.037529000000000035,10,,0,0,,False,0,recent,402,0,37,0,8,430,4,1,0,44,2,38,0,2,2,305,batch_history_recent8_width015,[],21175.263578656693,0,0.0,False,0,609.3052714,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",30.0,4,67,1.0,10,1,2,2,16,10,ordinary,22,full_coverage_and_all_discovered_cleared,283,6093.052714,40.0,constant,0.03754795901477337
6,0,True,0,6,1,1,0,uniform__iid__67,uniform__iid,9,44,10,10,317,bounded_transverse_width,,base,0,0.04213,10,,0,0,,False,0,ends,1499,0,24,0,16,1346,5,2,0,44,2,38,0,2,2,305,batch_history_ends16_width015,[],21223.523341763364,0,0.0,False,0,610.2704667,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",30.0,4,67,1.0,10,1,2,2,16,10,ordinary,22,full_coverage_and_all_discovered_cleared,283,6102.704667,40.0,constant,0.042152457986958325
10,1,True,0,10,3,3,0,uniform__iid__67,uniform__iid,7,28,10,10,299,bounded_transverse_width,,arc,41,0.039908000000000055,10,cached_distance_prefix_sum,0,0,,False,0,ends,397,0,17,0,8,420,0,0,0,28,4,0,0,3,2,287,batch_history_arc8_width015,[],20365.908164953118,0,0.0,False,0,582.2181628999999,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",30.0,4,67,0.5,8,4,0,4,19,10,ordinary,22,full_coverage_and_all_discovered_cleared,264,5822.181629,40.0,constant,0.039926459023263305
7,1,True,0,7,1,1,0,uniform__iid__67,uniform__iid,9,33,10,10,320,bounded_transverse_width,,locked,38,0.03360099999999999,10,cached_distance_prefix_sum,0,0,,True,0,ends,864,0,11,0,8,877,0,0,0,33,4,0,0,3,2,308,batch_history_locked8_width015,[],22011.904280567767,0,0.0,False,0,627.8380856,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",30.0,4,67,1.0,9,4,3,4,16,10,ordinary,22,full_coverage_and_all_discovered_cleared,286,6278.380856,40.0,constant,0.03365933400345966
