Q3 5/93, 15 executions, 0.4s
Q3 10/93, 30 executions, 0.8s
Q3 15/93, 45 executions, 1.1s
Q3 20/93, 60 executions, 1.5s
Q3 25/93, 75 executions, 1.9s
Q3 30/93, 90 executions, 2.3s
Q3 35/93, 105 executions, 2.7s
Q3 40/93, 120 executions, 3.1s
Q3 45/93, 135 executions, 3.4s
Q3 50/93, 150 executions, 3.8s
Q3 55/93, 165 executions, 4.2s
Q3 60/93, 180 executions, 4.5s
Q3 65/93, 195 executions, 4.9s
Q3 70/93, 210 executions, 5.3s
Q3 75/93, 225 executions, 5.7s
Q3 76/93, 228 executions, 5.8s
Q3 77/93, 231 executions, 5.9s
Q3 78/93, 234 executions, 5.9s
Q3 79/93, 237 executions, 6.0s
Q3 80/93, 240 executions, 6.1s
Q3 81/93, 243 executions, 6.2s
Q3 82/93, 246 executions, 6.3s
Q3 83/93, 249 executions, 6.3s
Q3 84/93, 252 executions, 6.4s
Q3 85/93, 255 executions, 6.5s
Q3 86/93, 258 executions, 6.6s
Q3 87/93, 261 executions, 6.6s
Q3 88/93, 264 executions, 6.7s
Q3 89/93, 267 executions, 6.7s
Q3 90/93, 270 executions, 6.8s
Q3 91/93, 273 executions, 6.9s
Q3 92/93, 276 executions, 6.9s
Q3 93/93, 279 executions, 7.0s
Q4 5/93, 304 executions, 8.1s
Q4 10/93, 329 executions, 9.3s
Q4 15/93, 354 executions, 10.6s
Q4 20/93, 379 executions, 11.8s
Q4 25/93, 404 executions, 12.8s
Q4 30/93, 429 executions, 14.0s
Q4 35/93, 454 executions, 15.1s
Q4 40/93, 479 executions, 16.3s
Q4 45/93, 504 executions, 17.5s
Q4 50/93, 529 executions, 18.6s
Q4 55/93, 554 executions, 19.7s
Q4 60/93, 579 executions, 20.8s
Q4 65/93, 604 executions, 22.0s
Q4 70/93, 629 executions, 23.2s
Q4 75/93, 654 executions, 24.2s
Q4 76/93, 659 executions, 24.4s
Q4 77/93, 664 executions, 24.5s
Q4 78/93, 669 executions, 24.7s
Q4 79/93, 674 executions, 24.8s
Q4 80/93, 679 executions, 25.0s
Q4 81/93, 684 executions, 25.2s
Q4 82/93, 689 executions, 25.4s
Q4 83/93, 694 executions, 25.6s
Q4 84/93, 699 executions, 25.7s
Q4 85/93, 704 executions, 26.1s
Q4 86/93, 709 executions, 26.3s
Q4 87/93, 714 executions, 26.6s
Q4 88/93, 719 executions, 26.8s
Q4 89/93, 724 executions, 27.0s
Q4 90/93, 729 executions, 27.2s
Q4 91/93, 734 executions, 27.4s
Q4 92/93, 739 executions, 27.7s
Q4 93/93, 744 executions, 27.9s
Completed 744 executions
