active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,clear_calls,cleared,commands,cpu_s,discovered_channels,early_optical_success,early_optical_trials,failure,inconsistent_updates,joint_route_solves,known_upper_bound_skips,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,per_source_s,policy_cleared_channels,problem,seed,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,sources,split,stations_visited,stop_reason,switches,total_virtual_s,wall_s
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,12,10,133,0.017983,10,3,5,,0,17,0,119,fast7,[],12507.464337677739,0,,0.0,,,326.6492866,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,7,,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3266.492866,0.017982707999181002
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,12,10,133,0.018514000000000003,10,3,5,,0,17,0,119,clearance7,[],12450.081271938308,0,49.195608055153805,0.0,7,,325.5016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,7,,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3255.016252,0.0186317500192672
11,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,14,10,159,0.022159999999999985,10,3,7,,0,19,0,143,clearance9,[],14469.960663877446,0,64.87102551043482,0.0,7,,380.4992135,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,6,,6,10,ordinary,9,full_coverage_and_all_discovered_cleared,134,3804.992135,0.022158625011797994
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,11,18,15,148,0.027580999999999967,15,4,7,,0,22,0,128,fast7,[],11291.627306304414,0,,0.0,,,206.95503079999997,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,32,,0,15,ordinary,7,full_coverage_and_all_discovered_cleared,122,3104.325462,0.027592999977059662
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,10,18,15,149,0.027868000000000004,15,5,8,,0,22,0,129,clearance7,[],11258.355683768476,0,68.94379760295948,0.0,10,,206.9114092,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,33,,0,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3103.671138,0.027892125013750046
6,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,5,16,15,155,0.02585700000000002,15,10,11,,0,24,0,137,clearance9,[],12355.301021751855,0,31.386403066586194,0.0,5,,224.07068033333334,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,29,,0,15,ordinary,9,full_coverage_and_all_discovered_cleared,127,3361.060205,0.025906666996888816
8,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,6,17,15,146,0.024792000000000036,15,9,11,,0,22,0,127,fast7,[],12853.696604615454,0,,0.0,,,226.71595459999998,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,29,,7,15,ordinary,7,full_coverage_and_all_discovered_cleared,114,3400.739319,0.024794582976028323
7,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,5,16,15,143,0.02623500000000001,15,10,11,,0,22,0,125,clearance7,[],12816.592261362626,0,49.867072043299636,0.0,5,,225.3545636,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,28,,7,15,ordinary,7,full_coverage_and_all_discovered_cleared,114,3380.318454,0.026269041991326958
8,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,8,16,15,169,0.028691999999999995,15,7,8,,0,24,0,151,clearance9,[],14694.93149367177,0,68.01619266086348,0.0,8,,260.7324198,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,31,,2,15,ordinary,9,full_coverage_and_all_discovered_cleared,139,3910.986297,0.028715249965898693
8,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,6,13,10,140,0.019042000000000003,10,4,7,,0,17,0,125,fast7,[],11227.30074824561,0,,0.0,,,304.946015,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,8,,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,120,3049.46015,0.019062875013332814
