Q3 5/93, 45 executions, 1.2s
Q3 10/93, 90 executions, 2.4s
Q3 15/93, 135 executions, 3.7s
Q3 20/93, 180 executions, 4.9s
Q3 25/93, 225 executions, 6.3s
Q3 30/93, 270 executions, 7.5s
Q3 35/93, 315 executions, 8.7s
Q3 40/93, 360 executions, 10.0s
Q3 45/93, 405 executions, 11.2s
Q3 50/93, 450 executions, 12.6s
Q3 55/93, 495 executions, 13.6s
Q3 60/93, 540 executions, 14.8s
Q3 65/93, 585 executions, 16.0s
Q3 70/93, 630 executions, 17.2s
Q3 75/93, 675 executions, 18.3s
Q3 76/93, 684 executions, 18.6s
Q3 77/93, 693 executions, 18.9s
Q3 78/93, 702 executions, 19.1s
Q3 79/93, 711 executions, 19.4s
Q3 80/93, 720 executions, 19.7s
Q3 81/93, 729 executions, 20.0s
Q3 82/93, 738 executions, 20.2s
Q3 83/93, 747 executions, 20.4s
Q3 84/93, 756 executions, 20.6s
Q3 85/93, 765 executions, 20.9s
Q3 86/93, 774 executions, 21.2s
Q3 87/93, 783 executions, 21.5s
Q3 88/93, 792 executions, 21.7s
Q3 89/93, 801 executions, 21.8s
Q3 90/93, 810 executions, 22.0s
Q3 91/93, 819 executions, 22.2s
Q3 92/93, 828 executions, 22.5s
Q3 93/93, 837 executions, 22.7s
Q4 5/93, 877 executions, 24.4s
Q4 10/93, 917 executions, 26.0s
Q4 15/93, 957 executions, 27.7s
Q4 20/93, 997 executions, 29.4s
Q4 25/93, 1037 executions, 31.0s
Q4 30/93, 1077 executions, 32.4s
Q4 35/93, 1117 executions, 33.9s
Q4 40/93, 1157 executions, 35.4s
Q4 45/93, 1197 executions, 36.9s
Q4 50/93, 1237 executions, 38.4s
Q4 55/93, 1277 executions, 39.9s
Q4 60/93, 1317 executions, 41.6s
Q4 65/93, 1357 executions, 43.3s
Q4 70/93, 1397 executions, 45.0s
Q4 75/93, 1437 executions, 46.6s
Q4 76/93, 1445 executions, 46.8s
Q4 77/93, 1453 executions, 47.0s
Q4 78/93, 1461 executions, 47.3s
Q4 79/93, 1469 executions, 47.5s
Q4 80/93, 1477 executions, 47.8s
Q4 81/93, 1485 executions, 48.1s
Q4 82/93, 1493 executions, 48.4s
Q4 83/93, 1501 executions, 48.6s
Q4 84/93, 1509 executions, 48.9s
Q4 85/93, 1517 executions, 49.2s
Q4 86/93, 1525 executions, 49.5s
Q4 87/93, 1533 executions, 49.8s
Q4 88/93, 1541 executions, 50.0s
Q4 89/93, 1549 executions, 50.3s
Q4 90/93, 1557 executions, 50.5s
Q4 91/93, 1565 executions, 50.9s
Q4 92/93, 1573 executions, 51.2s
Q4 93/93, 1581 executions, 51.5s
Completed 1581 executions
