active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,cpu_s,discovered_channels,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,forced_continuations,inconsistent_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,12,10,133,,,,0.019473000000000018,10,3,5,,,,0,,17,0,,,119,clearance7,[],12450.081271938308,0,49.195608055153805,0.0,7,,,325.5016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3255.016252,,,,0.02013670903397724
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,12,10,133,1.0,,,0.01895800000000003,10,3,5,False,,,0,,17,0,,,119,return1_7,[],12450.081271938308,0,49.195608055153805,0.0,7,,,325.5016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3255.016252,,,False,0.019126250001136214
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,12,10,133,2.0,,,0.018670999999999993,10,3,5,False,,,0,,17,0,,,119,return2_7,[],12450.081271938308,0,49.195608055153805,0.0,7,,,325.5016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3255.016252,,,False,0.018779708014335483
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,12,10,133,0.0,,,0.018617999999999968,10,3,5,False,,,0,,17,0,,,119,area7,[],12450.081271938308,0,49.195608055153805,0.0,7,,,325.5016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3255.016252,,,True,0.018629583006259054
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,12,10,133,1.0,,,0.01877000000000001,10,3,5,False,,,0,,17,0,,,119,area_return1_7,[],12450.081271938308,0,49.195608055153805,0.0,7,,,325.5016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3255.016252,,,True,0.018792124988976866
6,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,11,10,132,0.0,,,0.023498999999999992,10,3,4,True,,,0,,17,0,,,119,expanded7,[],13123.245412716553,0,46.32861587925926,0.0,7,,,338.4649081,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,8,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,112,3384.649081,,,False,0.0234995000064373
6,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,11,10,132,1.0,,,0.023392999999999997,10,3,4,True,,,0,,17,0,,,119,expanded_return1_7,[],13123.245412716553,0,46.32861587925926,0.0,7,,,338.4649081,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,8,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,112,3384.649081,,,False,0.02343362499959767
6,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,11,10,132,0.0,,,0.024414999999999965,10,3,4,True,,,0,,17,0,,,119,expanded_area7,[],13123.245412716553,0,46.32861587925926,0.0,7,,,338.4649081,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,8,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,112,3384.649081,,,True,0.024458332976792008
6,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,11,10,132,1.0,,,0.022845999999999977,10,3,4,True,,,0,,17,0,,,119,expanded_area_return1_7,[],13002.593805701359,0,46.89264534649064,0.0,7,,,336.051876,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,8,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,112,3360.51876,,,True,0.022973209037445486
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,10,18,15,149,,,,0.028501999999999972,15,5,8,,,,0,,22,0,,,129,clearance7,[],11258.355683768476,0,68.94379760295948,0.0,10,,,206.9114092,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3103.671138,,,,0.028522124979645014
