Q3 5/93, 25 executions, 0.7s
Q3 10/93, 50 executions, 1.5s
Q3 15/93, 75 executions, 2.3s
Q3 20/93, 100 executions, 3.1s
Q3 25/93, 125 executions, 3.9s
Q3 30/93, 150 executions, 4.6s
Q3 35/93, 175 executions, 5.4s
Q3 40/93, 200 executions, 6.2s
Q3 45/93, 225 executions, 6.9s
Q3 50/93, 250 executions, 7.7s
Q3 55/93, 275 executions, 8.4s
Q3 60/93, 300 executions, 9.2s
Q3 65/93, 325 executions, 10.0s
Q3 70/93, 350 executions, 10.8s
Q3 75/93, 375 executions, 11.5s
Q3 76/93, 380 executions, 11.7s
Q3 77/93, 385 executions, 11.8s
Q3 78/93, 390 executions, 12.0s
Q3 79/93, 395 executions, 12.1s
Q3 80/93, 400 executions, 12.3s
Q3 81/93, 405 executions, 12.5s
Q3 82/93, 410 executions, 12.6s
Q3 83/93, 415 executions, 12.7s
Q3 84/93, 420 executions, 12.9s
Q3 85/93, 425 executions, 13.0s
Q3 86/93, 430 executions, 13.2s
Q3 87/93, 435 executions, 13.3s
Q3 88/93, 440 executions, 13.5s
Q3 89/93, 445 executions, 13.6s
Q3 90/93, 450 executions, 13.7s
Q3 91/93, 455 executions, 13.8s
Q3 92/93, 460 executions, 14.0s
Q3 93/93, 465 executions, 14.2s
Q4 5/93, 505 executions, 17.0s
Q4 10/93, 545 executions, 19.8s
Q4 15/93, 585 executions, 22.8s
Q4 20/93, 625 executions, 25.6s
Q4 25/93, 665 executions, 28.3s
Q4 30/93, 705 executions, 31.1s
Q4 35/93, 745 executions, 33.9s
Q4 40/93, 785 executions, 36.6s
Q4 45/93, 825 executions, 39.5s
Q4 50/93, 865 executions, 42.2s
Q4 55/93, 905 executions, 45.0s
Q4 60/93, 945 executions, 47.7s
Q4 65/93, 985 executions, 50.5s
Q4 70/93, 1025 executions, 53.2s
Q4 75/93, 1065 executions, 55.9s
Q4 76/93, 1073 executions, 56.3s
Q4 77/93, 1081 executions, 56.8s
Q4 78/93, 1089 executions, 57.2s
Q4 79/93, 1097 executions, 57.8s
Q4 80/93, 1105 executions, 58.4s
Q4 81/93, 1113 executions, 58.9s
Q4 82/93, 1121 executions, 59.4s
Q4 83/93, 1129 executions, 59.9s
Q4 84/93, 1137 executions, 60.3s
Q4 85/93, 1145 executions, 60.8s
Q4 86/93, 1153 executions, 61.4s
Q4 87/93, 1161 executions, 61.9s
Q4 88/93, 1169 executions, 62.4s
Q4 89/93, 1177 executions, 62.8s
Q4 90/93, 1185 executions, 63.3s
Q4 91/93, 1193 executions, 63.9s
Q4 92/93, 1201 executions, 64.5s
Q4 93/93, 1209 executions, 65.1s
Completed 1209 executions
