Q3 10/195, 40 executions, 2.4s
Q3 20/195, 80 executions, 4.8s
Q3 30/195, 120 executions, 7.4s
Q3 40/195, 160 executions, 10.0s
Q3 50/195, 200 executions, 12.4s
Q3 60/195, 240 executions, 15.2s
Q3 70/195, 280 executions, 18.0s
Q3 80/195, 320 executions, 20.7s
Q3 90/195, 360 executions, 23.5s
Q3 100/195, 400 executions, 26.3s
Q3 110/195, 440 executions, 28.7s
Q3 120/195, 480 executions, 31.1s
Q3 130/195, 520 executions, 33.7s
Q3 140/195, 560 executions, 36.2s
Q3 150/195, 600 executions, 38.7s
Q3 151/195, 604 executions, 38.9s
Q3 152/195, 608 executions, 39.2s
Q3 153/195, 612 executions, 39.4s
Q3 154/195, 616 executions, 39.7s
Q3 155/195, 620 executions, 40.0s
Q3 156/195, 624 executions, 40.3s
Q3 157/195, 628 executions, 40.7s
Q3 158/195, 632 executions, 41.0s
Q3 159/195, 636 executions, 41.3s
Q3 160/195, 640 executions, 41.5s
Q3 161/195, 644 executions, 41.8s
Q3 162/195, 648 executions, 42.0s
Q3 163/195, 652 executions, 42.3s
Q3 164/195, 656 executions, 42.6s
Q3 165/195, 660 executions, 42.8s
Q3 166/195, 664 executions, 43.2s
Q3 167/195, 668 executions, 43.5s
Q3 168/195, 672 executions, 43.8s
Q3 169/195, 676 executions, 44.0s
Q3 170/195, 680 executions, 44.2s
Q3 171/195, 684 executions, 44.4s
Q3 172/195, 688 executions, 44.7s
Q3 173/195, 692 executions, 44.9s
Q3 174/195, 696 executions, 45.1s
Q3 175/195, 700 executions, 45.4s
Q3 176/195, 704 executions, 45.7s
Q3 177/195, 708 executions, 45.9s
Q3 178/195, 712 executions, 46.1s
Q3 179/195, 716 executions, 46.3s
Q3 180/195, 720 executions, 46.5s
Q3 181/195, 724 executions, 46.8s
Q3 182/195, 728 executions, 47.1s
Q3 183/195, 732 executions, 47.3s
Q3 184/195, 736 executions, 47.7s
Q3 185/195, 740 executions, 48.0s
Q3 186/195, 744 executions, 48.3s
Q3 187/195, 748 executions, 48.5s
Q3 188/195, 752 executions, 48.7s
Q3 189/195, 756 executions, 49.0s
Q3 190/195, 760 executions, 49.2s
Q3 191/195, 764 executions, 49.5s
Q3 192/195, 768 executions, 49.8s
Q3 193/195, 772 executions, 50.1s
Q3 194/195, 776 executions, 50.4s
Q3 195/195, 780 executions, 50.7s
Q4 10/195, 840 executions, 53.3s
Q4 20/195, 900 executions, 55.9s
Q4 30/195, 960 executions, 58.6s
Q4 40/195, 1020 executions, 61.2s
Q4 50/195, 1080 executions, 63.7s
Q4 60/195, 1140 executions, 66.2s
Q4 70/195, 1200 executions, 68.7s
Q4 80/195, 1260 executions, 71.3s
Q4 90/195, 1320 executions, 73.8s
Q4 100/195, 1380 executions, 76.3s
Q4 110/195, 1440 executions, 78.7s
Q4 120/195, 1500 executions, 81.2s
Q4 130/195, 1560 executions, 83.8s
Q4 140/195, 1620 executions, 86.3s
Q4 150/195, 1680 executions, 88.8s
Q4 151/195, 1686 executions, 89.0s
Q4 152/195, 1692 executions, 89.2s
Q4 153/195, 1698 executions, 89.3s
Q4 154/195, 1704 executions, 89.5s
Q4 155/195, 1710 executions, 89.7s
Q4 156/195, 1716 executions, 89.9s
Q4 157/195, 1722 executions, 90.1s
Q4 158/195, 1728 executions, 90.4s
Q4 159/195, 1734 executions, 90.6s
Q4 160/195, 1740 executions, 90.8s
Q4 161/195, 1746 executions, 91.1s
Q4 162/195, 1752 executions, 91.3s
Q4 163/195, 1758 executions, 91.5s
Q4 164/195, 1764 executions, 91.8s
Q4 165/195, 1770 executions, 92.0s
Q4 166/195, 1776 executions, 92.3s
Q4 167/195, 1782 executions, 92.6s
Q4 168/195, 1788 executions, 92.9s
Q4 169/195, 1794 executions, 93.1s
Q4 170/195, 1800 executions, 93.3s
Q4 171/195, 1806 executions, 93.5s
Q4 172/195, 1812 executions, 93.8s
Q4 173/195, 1818 executions, 94.0s
Q4 174/195, 1824 executions, 94.2s
Q4 175/195, 1830 executions, 94.5s
Q4 176/195, 1836 executions, 94.8s
Q4 177/195, 1842 executions, 95.0s
Q4 178/195, 1848 executions, 95.2s
Q4 179/195, 1854 executions, 95.5s
Q4 180/195, 1860 executions, 95.7s
Q4 181/195, 1866 executions, 95.9s
Q4 182/195, 1872 executions, 96.2s
Q4 183/195, 1878 executions, 96.4s
Q4 184/195, 1884 executions, 96.7s
Q4 185/195, 1890 executions, 97.0s
Q4 186/195, 1896 executions, 97.3s
Q4 187/195, 1902 executions, 97.5s
Q4 188/195, 1908 executions, 97.8s
Q4 189/195, 1914 executions, 98.0s
Q4 190/195, 1920 executions, 98.3s
Q4 191/195, 1926 executions, 98.6s
Q4 192/195, 1932 executions, 98.8s
Q4 193/195, 1938 executions, 99.1s
Q4 194/195, 1944 executions, 99.3s
Q4 195/195, 1950 executions, 99.6s
Completed 1950 executions
