all_cleared,faster_cases,max_total_s,max_wall_s,mean_commands,mean_cpu_s,mean_init_s,mean_per_source_s,mean_total_s,mean_wall_s,method,p95_total_s,pooled_per_source_s,problem,runs,slower_cases,split,worst_regression_s
150,0,5612.425191,0.25363612500950694,148.24,0.18067417999999985,7.397694629617035e-05,374.1395176642136,4544.505783806667,0.180855068640473,peer_layout9_proxy,5218.2229818999995,369.47201494363145,3,150,0,ordinary,0.0
150,150,4000.623475,0.03604895801981911,144.16666666666666,0.023999226666666432,7.348528093037506e-05,260.95652128637516,3165.3953780133334,0.0240196508456332,area_return1_7,3786.41501045,257.3492177246613,3,150,0,ordinary,-334.3190289999998
150,150,4000.623475,0.03589166700839996,141.68,0.02383499333333343,7.772834156639874e-05,259.800550146404,3150.508711346667,0.023854404422842587,range_area7,3738.41501045,256.13891962168026,3,150,0,ordinary,-358.3190289999998
150,150,4002.9762,0.03376100002788007,145.11333333333334,0.024346193333333252,7.5748071152096e-05,262.32071392034203,3180.3115168733334,0.0243730588882075,fast_locked_area7,3856.95257975,258.5619119409214,3,150,0,ordinary,-449.5433539999999
45,0,6089.907885,0.3040646250010468,142.51111111111112,0.18497164444444425,6.993241582272781e-05,376.4792644818804,4777.464870111111,0.18510970644420013,peer_layout9_proxy,5921.110645999999,367.4972977008547,3,45,0,stress,0.0
45,39,4822.973018,0.03573883301578462,144.3111111111111,0.02539475555555539,7.400089072891407e-05,282.0130639333761,3553.7818295555558,0.02541258048861184,area_return1_7,4775.2288642,273.36783304273507,3,45,6,stress,256.6550989999996
45,39,4822.973018,0.035641750029753894,143.53333333333333,0.025270866666666177,7.372035567338268e-05,281.6418673521795,3549.092940666667,0.02529267867276859,range_area7,4775.2288642,273.0071492820513,3,45,6,stress,256.6550989999996
45,39,4778.022979,0.03622037498280406,143.77777777777777,0.02608595555555537,7.56897769557933e-05,284.8954750594231,3585.464993933334,0.026111244421917944,fast_locked_area7,4705.0886606,275.8049995333334,3,45,6,stress,256.6550989999996
150,0,7325.304605,0.056898250011727214,334.52,0.04089086666666598,0.00014480725629255177,524.1299753048629,6307.62249374,0.04094027693228175,packet_center22,6998.153920749997,512.8148368894309,4,150,0,ordinary,0.0
150,99,7297.084091,0.0492672499967739,327.56,0.03584945333333304,0.00014282921173920234,519.1955031919597,6251.9544434,0.035895114430847266,width40_f015_22,6907.731051,508.2889791382114,4,150,51,ordinary,1117.4602949999999
150,122,7200.084091,0.04537179204635322,306.8666666666667,0.035482146666666714,0.00014447003913422427,509.1104627879192,6128.021110066667,0.03551304469544751,range_width015,6724.46249075,498.2130983794038,4,150,28,ordinary,1053.4602949999999
150,115,6911.769029,0.05938341695582494,298.82666666666665,0.04216019333333302,0.00013457637319030862,501.0221735887086,6027.301821246667,0.04219935910543427,fast_arc05_width015,6508.56272235,490.0245383127371,4,150,35,ordinary,761.201223
150,109,6770.999486,0.05374641600064933,300.0466666666667,0.03712039333333403,0.00013307556548776726,502.9316363820779,6041.7090234533325,0.037152638306530816,fast_locked_width015,6660.3167903,491.1958555653116,4,150,41,ordinary,702.4252079999997
150,115,6911.769029,0.06752712500747293,298.84,0.04717391333333353,0.00013936167776895067,501.0295849596609,6027.407050146666,0.04721992581811112,fast_negative_arc05_width015,6508.56272235,490.03309350785906,4,150,35,ordinary,761.201223
45,0,8507.23932,0.06669462495483458,363.77777777777777,0.0426740666666676,0.00015727775818150905,552.9319223042949,6901.9451754,0.042721991622561795,packet_center22,7958.084927999999,530.9188596461538,4,45,0,stress,0.0
45,37,8148.047073,0.04185191699070856,337.24444444444447,0.03327146666666749,0.00015764717504175173,534.1729339584401,6664.960171355556,0.03330283808754757,width40_f015_22,7494.751993399999,512.6892439504273,4,45,8,stress,1020.2910399999992
45,40,7974.047073,0.04540720803197473,327.22222222222223,0.033252466666665564,0.0001481990679167211,529.3654553259615,6604.737949133333,0.03328042693384406,range_width015,7345.3757096,508.0567653179487,4,45,5,stress,1020.2910399999992
45,36,7530.260241,0.05693804199108854,322.93333333333334,0.03857788888888807,0.0001460536887558798,525.6989169442309,6587.0125469333325,0.038622574087801495,fast_arc05_width015,7410.2169378,506.6932728410256,4,45,9,stress,992.2238879999995
45,28,7766.355012,0.045354000001680106,324.93333333333334,0.0329385111111116,0.00014306570713718732,534.7981484675,6654.704874599999,0.03297352410801169,fast_locked_width015,7578.8516416,511.9003749692307,4,45,17,stress,1036.7283739999993
45,36,7530.260241,0.05953258299268782,322.84444444444443,0.04356982222222269,0.00014387871293971937,525.6081637361112,6585.832755311111,0.0436113527807821,fast_negative_arc05_width015,7410.2169378,506.60251963931626,4,45,9,stress,992.2238879999995
