active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,initialization_s,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,negative_history_limit,negative_hull_inconsistent_cuts,negative_hull_updates,negative_shadow_cuts,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,success_history_limit,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
20,0,True,,,,,,uniform__iid__117,uniform__iid,11,,11,11,138,,,,,,0.155863,11,,,,,,,,0,,5.11660473421216e-05,,,,,,125,peer_layout9_proxy,[],18285.88555525444,,,,,0,,0.0,,,,404.37973727272725,"[2, 6, 7, 9, 10, 12, 13, 15, 18, 19, 20]",,3,117,,,,,,,11,ordinary,9,full_coverage_and_all_discovered_cleared,,111,4448.17711,,,,0.15684679098194465
6,0,True,0,0,0,0,0,uniform__iid__117,uniform__iid,8,,13,11,135,1.0,,,,,0.02122400000000002,11,,3,5,False,,,,0,,7.687503239139915e-05,,18,0,,,120,area_return1_7,[],11425.216534712165,,,,,0,56.40319409561299,0.0,8,,,278.1857550909091,"[2, 6, 7, 9, 10, 12, 13, 15, 18, 19, 20]",,3,117,,19,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,,114,3060.043306,,,True,0.02123075001873076
6,0,True,0,0,0,0,0,uniform__iid__117,uniform__iid,8,7,13,11,128,1.0,,,base,0,0.020343999999999973,11,,3,5,False,,False,,0,0,7.291696965694427e-05,,18,0,,,113,range_area7,[],11425.216534712165,,,,,0,56.40319409561299,0.0,8,,,274.36757327272727,"[2, 6, 7, 9, 10, 12, 13, 15, 18, 19, 20]",,3,117,1.0,19,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,,107,3018.043306,,,True,0.020343583018984646
5,0,True,0,0,0,0,0,uniform__iid__117,uniform__iid,4,0,11,11,135,1.0,,,locked,18,0.020870999999999973,11,cached_distance_prefix_sum,7,7,False,,True,,0,0,7.370900129899383e-05,,0,0,,,122,fast_locked_area7,[],11401.552282750768,,,,,0,28.846884071462682,0.0,4,,,278.21004154545454,"[2, 6, 7, 9, 10, 12, 13, 15, 18, 19, 20]",,3,117,1.0,17,,6,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,,115,3060.310457,,,True,0.02089124999474734
23,0,True,,,,,,uniform__iid__118,uniform__iid,15,,15,15,136,,,,,,0.175085,15,,,,,,,,0,,6.541598122566938e-05,,,,,,119,peer_layout9_proxy,[],18853.634629080894,,,,,0,,0.0,,,,303.1817952,"[1, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 17, 19, 20]",,3,118,,,,,,,15,ordinary,9,full_coverage_and_all_discovered_cleared,,107,4547.726928,,,,0.175181332975626
5,0,True,0,0,0,0,0,uniform__iid__118,uniform__iid,7,,16,15,148,1.0,,,,,0.02810099999999993,15,,8,9,False,,,,0,,5.641597090288997e-05,,22,0,,,130,area_return1_7,[],12682.93351478564,,,,,0,62.65764596722287,0.0,7,,,225.70578026666666,"[1, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 17, 19, 20]",,3,118,,26,,2,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,,121,3385.586704,,,True,0.02813316701212898
5,0,True,0,0,0,0,0,uniform__iid__118,uniform__iid,7,4,16,15,144,1.0,,,base,0,0.028025999999999995,15,,8,9,False,,False,,0,0,7.449998520314693e-05,,22,0,,,126,range_area7,[],12682.93351478564,,,,,0,62.65764596722287,0.0,7,,,224.10578026666664,"[1, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 17, 19, 20]",,3,118,1.0,26,,2,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,,117,3361.586704,,,True,0.02808554098010063
8,0,True,0,0,0,0,0,uniform__iid__118,uniform__iid,9,0,16,15,128,1.0,,,locked,22,0.030397000000000007,15,cached_distance_prefix_sum,6,7,False,,True,,0,0,6.916699931025505e-05,,0,0,,,110,fast_locked_area7,[],12750.099747124441,,,,,0,71.43384781283082,0.0,9,,,218.93466320000002,"[1, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 17, 19, 20]",,3,118,1.0,16,,7,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,,106,3284.019948,,,True,0.03041087498422712
19,0,True,,,,,,uniform__iid__119,uniform__iid,12,,12,12,145,,,,,,0.15275699999999992,12,,,,,,,,0,,5.929201142862439e-05,,,,,,131,peer_layout9_proxy,[],18132.03188847397,,,,,0,,0.0,,,,371.86719850000003,"[2, 3, 4, 5, 6, 7, 10, 11, 14, 16, 18, 19]",,3,119,,,,,,,12,ordinary,9,full_coverage_and_all_discovered_cleared,,121,4462.406382,,,,0.1528448750032112
7,0,True,0,0,0,0,0,uniform__iid__119,uniform__iid,7,,13,12,138,1.0,,,,,0.021743999999999986,12,,5,6,False,,,,0,,5.9999991208314896e-05,,19,0,,,123,area_return1_7,[],12767.470983927831,,,,,0,67.27588309139315,0.0,7,,,278.79118308333335,"[2, 3, 4, 5, 6, 7, 10, 11, 14, 16, 18, 19]",,3,119,,16,,6,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,,114,3345.494197,,,True,0.021753249980974942
