Q3 5/93, 20 executions, 0.5s
Q3 10/93, 40 executions, 1.1s
Q3 15/93, 60 executions, 1.7s
Q3 20/93, 80 executions, 2.2s
Q3 25/93, 100 executions, 2.8s
Q3 30/93, 120 executions, 3.4s
Q3 35/93, 140 executions, 3.9s
Q3 40/93, 160 executions, 4.4s
Q3 45/93, 180 executions, 4.9s
Q3 50/93, 200 executions, 5.4s
Q3 55/93, 220 executions, 6.0s
Q3 60/93, 240 executions, 6.5s
Q3 65/93, 260 executions, 7.1s
Q3 70/93, 280 executions, 7.7s
Q3 75/93, 300 executions, 8.3s
Q3 76/93, 304 executions, 8.4s
Q3 77/93, 308 executions, 8.5s
Q3 78/93, 312 executions, 8.6s
Q3 79/93, 316 executions, 8.7s
Q3 80/93, 320 executions, 8.9s
Q3 81/93, 324 executions, 9.0s
Q3 82/93, 328 executions, 9.1s
Q3 83/93, 332 executions, 9.2s
Q3 84/93, 336 executions, 9.2s
Q3 85/93, 340 executions, 9.4s
Q3 86/93, 344 executions, 9.5s
Q3 87/93, 348 executions, 9.6s
Q3 88/93, 352 executions, 9.7s
Q3 89/93, 356 executions, 9.8s
Q3 90/93, 360 executions, 9.9s
Q3 91/93, 364 executions, 10.0s
Q3 92/93, 368 executions, 10.1s
Q3 93/93, 372 executions, 10.3s
Q4 5/93, 442 executions, 14.3s
Q4 10/93, 512 executions, 18.5s
Q4 15/93, 582 executions, 22.6s
Q4 20/93, 652 executions, 26.7s
Q4 25/93, 722 executions, 30.7s
Q4 30/93, 792 executions, 34.5s
Q4 35/93, 862 executions, 38.4s
Q4 40/93, 932 executions, 42.3s
Q4 45/93, 1002 executions, 46.3s
Q4 50/93, 1072 executions, 50.2s
Q4 55/93, 1142 executions, 54.2s
Q4 60/93, 1212 executions, 58.3s
Q4 65/93, 1282 executions, 62.5s
Q4 70/93, 1352 executions, 66.6s
Q4 75/93, 1422 executions, 70.5s
Q4 76/93, 1436 executions, 70.9s
Q4 77/93, 1450 executions, 71.3s
Q4 78/93, 1464 executions, 71.8s
Q4 79/93, 1478 executions, 72.3s
Q4 80/93, 1492 executions, 72.9s
Q4 81/93, 1506 executions, 73.5s
Q4 82/93, 1520 executions, 74.0s
Q4 83/93, 1534 executions, 74.5s
Q4 84/93, 1548 executions, 75.1s
Q4 85/93, 1562 executions, 75.9s
Q4 86/93, 1576 executions, 76.6s
Q4 87/93, 1590 executions, 77.3s
Q4 88/93, 1604 executions, 77.9s
Q4 89/93, 1618 executions, 78.6s
Q4 90/93, 1632 executions, 79.2s
Q4 91/93, 1646 executions, 80.1s
Q4 92/93, 1660 executions, 81.2s
Q4 93/93, 1674 executions, 82.1s
Completed 1674 executions
