all_cleared,errors,max_total_s,max_wall_s,mean_commands,mean_optical_fallbacks,mean_pair_cuts,mean_per_source_s,mean_total_s,mean_wall_s,method,p95_total_s,problem,runs,slower_cases,split
75,0,3657.441833,0.03712291701231152,142.49333333333334,0.0,0.0,256.95335353155554,3100.597219946667,0.02432823445415124,area_return1_7,3614.1899138999997,3,75,0,ordinary
75,0,3633.441833,0.037349209014791995,141.04,0.0,0.0,256.26268686488885,3091.9705532800003,0.02425726779115697,range_area7,3590.1899138999997,3,75,0,ordinary
75,0,3840.961227,0.0525397079763934,146.84,0.0,0.0,256.62104298288887,3099.3004594933327,0.02877455611868451,locked_area7,3749.291914,3,75,29,ordinary
75,0,3840.961227,0.053141542011871934,143.74666666666667,0.0,0.0,255.25126520511108,3080.953792826666,0.028628693893551826,range_locked_area7,3749.291914,3,75,29,ordinary
18,0,4704.144997,0.03197883302345872,130.05555555555554,0.0,0.0,273.2625248597222,3341.9234545555555,0.023686858831853088,area_return1_7,4682.41171505,3,18,0,stress
18,0,4704.144997,0.031952125020325184,130.05555555555554,0.0,0.0,273.2625248597222,3341.9234545555555,0.023643439832893718,range_area7,4682.41171505,3,18,0,stress
18,0,4704.144997,0.044400167011190206,125.94444444444444,0.0,0.0,263.1591665194444,3199.3756414444447,0.029292696724749274,locked_area7,4682.41171505,3,18,4,stress
18,0,4704.144997,0.044876958010718226,125.94444444444444,0.0,0.0,263.1591665194444,3199.3756414444447,0.02926790967143865,range_locked_area7,4682.41171505,3,18,4,stress
75,0,6917.022463,0.05966212501516566,319.94666666666666,0.0,0.17333333333333334,526.0340267533333,6314.2126609199995,0.038062243891569474,width40_f015_22,6757.3534616,4,75,0,ordinary
75,0,6761.022463,0.05970225000055507,300.81333333333333,0.0,0.17333333333333334,516.8044711977777,6199.745994253333,0.037795456047945965,range_width015,6690.4609878,4,75,0,ordinary
75,0,6672.214416,0.10688804095843807,318.3466666666667,0.0,0.22666666666666666,517.1102453855555,6194.401069853333,0.06188822775070245,arc025_width015,6553.730049,4,75,25,ordinary
75,0,6645.786241,0.11797141598071903,316.64,0.0,0.22666666666666666,517.262999991111,6201.678169626667,0.06451092445058748,arc05_width015,6570.5433536,4,75,27,ordinary
75,0,6849.8941,0.10896808299003169,311.2,0.0,0.29333333333333333,517.2932956173333,6204.438064653334,0.06709581995926177,arc1_width015,6669.6360541,4,75,29,ordinary
75,0,7546.632311,0.05541845801053569,301.12,0.0,0.4666666666666667,531.844801838,6386.045418986667,0.035650805549230426,arc1_nearest_width015,7169.7861162,4,75,38,ordinary
75,0,6797.336448,0.1116222920245491,325.37333333333333,0.0,0.3333333333333333,520.1170448213334,6220.658065213334,0.06452880443849911,locked_width015,6642.5999323,4,75,25,ordinary
75,0,6866.412578,0.07202045799931511,313.2133333333333,0.0,0.41333333333333333,534.9808075597778,6393.852308333334,0.046459973362119246,locked0_width015,6834.6295869000005,4,75,43,ordinary
75,0,6944.275741,0.09897041699150577,315.2133333333333,0.0,0.22666666666666666,522.259920452,6268.014383853332,0.06093531555496156,arc05_pause4_width015,6776.484961,4,75,33,ordinary
75,0,6584.522962,0.11811008298536763,298.3333333333333,0.0,0.22666666666666666,508.30988887999985,6092.211502960001,0.06435648944151277,range_arc05_width015,6503.9459907,4,75,16,ordinary
75,0,6635.336448,0.11236008402192965,293.32,0.0,0.3333333333333333,504.2748225991111,6028.644731880001,0.06404268837456281,range_locked_width015,6500.3999323,4,75,12,ordinary
75,0,7115.428369,0.057388291985262185,319.37333333333333,0.0,0.5866666666666667,523.8027737737776,6281.983138253333,0.03736798379803077,packet_wide5_22,6719.6549644,4,75,28,ordinary
75,0,6798.844422,0.0923159999656491,319.56,0.0,0.72,520.648337723111,6246.68916208,0.061138434987515214,arc05_wide5,6680.9981362,4,75,32,ordinary
75,0,6667.245953,0.10525004100054502,324.70666666666665,0.0,0.8266666666666667,521.0654931526666,6232.33293508,0.06423927606704334,locked_wide5,6577.708867900001,4,75,33,ordinary
18,0,8128.02217,0.04949312499957159,336.27777777777777,0.0,3.0555555555555554,555.2400434062499,6747.9012158333335,0.03281276378159722,width40_f015_22,7562.294548199999,4,18,0,stress
18,0,8092.02217,0.04919649998191744,331.1111111111111,0.0,3.0555555555555554,552.65879340625,6717.234549166667,0.032713495498885296,range_width015,7556.6288841,4,18,0,stress
18,0,8197.756368,0.08764599997084588,326.72222222222223,0.0,2.9444444444444446,522.0336296708333,6373.036894333333,0.0542283100528746,arc025_width015,8033.378893599999,4,18,4,stress
18,0,8004.371104,0.08465883298777044,309.3888888888889,0.0,2.9444444444444446,510.22162201805554,6194.613711722222,0.05301989122138669,arc05_width015,7505.735315849999,4,18,2,stress
18,0,7781.979522,0.08952329197200015,316.05555555555554,0.0,3.2777777777777777,520.7679735402777,6358.613808944445,0.05265714582573208,arc1_width015,7501.5264572999995,4,18,4,stress
18,0,7781.979522,0.04192470799898729,304.0,0.0,3.0555555555555554,520.4943356875,6300.2837586666665,0.03086818282544199,arc1_nearest_width015,7476.9299801,4,18,6,stress
18,0,7430.777675,0.11762112501310185,337.0,0.0,2.9444444444444446,533.4085767062501,6509.112944,0.04780443061867522,locked_width015,7426.4761344,4,18,6,stress
18,0,7430.777675,0.049913000024389476,338.6666666666667,0.0,2.9444444444444446,549.4115501326388,6727.453097888889,0.03315450466794169,locked0_width015,7426.4761344,4,18,6,stress
18,0,8004.371104,0.05765562504529953,309.6666666666667,0.0,3.111111111111111,526.2796939708333,6448.3086343333325,0.046880729221609525,arc05_pause4_width015,7505.735315849999,4,18,3,stress
18,0,7962.371104,0.08513087499886751,305.55555555555554,0.0,2.9444444444444446,508.0591220180556,6171.613711722222,0.053016423613169335,range_arc05_width015,7499.435315849999,4,18,2,stress
18,0,7328.777675,0.1176798339583911,333.0,0.0,2.9444444444444446,531.64607670625,6485.112944,0.04800882393869364,range_locked_width015,7324.4761344,4,18,6,stress
18,0,8503.201839,0.04087137500755489,338.6111111111111,0.0,6.222222222222222,568.1490927083335,6933.329529166666,0.03243703483409869,packet_wide5_22,8447.84418395,4,18,9,stress
18,0,8523.519123,0.0767857920145616,311.5,0.0,6.111111111111111,527.7167078625,6405.2916896666675,0.051386895942010194,arc05_wide5,8506.94501465,4,18,5,stress
18,0,8021.833009,0.08447904197964817,342.6666666666667,0.0,6.888888888888889,545.4158459777777,6672.407865944444,0.04467160660876996,locked_wide5,7985.09764525,4,18,7,stress
