Q3 10/195, 50 executions, 3.0s
Q3 20/195, 100 executions, 6.0s
Q3 30/195, 150 executions, 9.1s
Q3 40/195, 200 executions, 12.2s
Q3 50/195, 250 executions, 15.3s
Q3 60/195, 300 executions, 18.6s
Q3 70/195, 350 executions, 21.8s
Q3 80/195, 400 executions, 25.1s
Q3 90/195, 450 executions, 28.5s
Q3 100/195, 500 executions, 31.8s
Q3 110/195, 550 executions, 34.6s
Q3 120/195, 600 executions, 37.4s
Q3 130/195, 650 executions, 40.3s
Q3 140/195, 700 executions, 43.2s
Q3 150/195, 750 executions, 45.9s
Q3 151/195, 755 executions, 46.2s
Q3 152/195, 760 executions, 46.5s
Q3 153/195, 765 executions, 46.7s
Q3 154/195, 770 executions, 47.0s
Q3 155/195, 775 executions, 47.3s
Q3 156/195, 780 executions, 47.6s
Q3 157/195, 785 executions, 48.1s
Q3 158/195, 790 executions, 48.4s
Q3 159/195, 795 executions, 48.8s
Q3 160/195, 800 executions, 49.0s
Q3 161/195, 805 executions, 49.3s
Q3 162/195, 810 executions, 49.6s
Q3 163/195, 815 executions, 49.9s
Q3 164/195, 820 executions, 50.2s
Q3 165/195, 825 executions, 50.6s
Q3 166/195, 830 executions, 50.9s
Q3 167/195, 835 executions, 51.3s
Q3 168/195, 840 executions, 51.6s
Q3 169/195, 845 executions, 51.8s
Q3 170/195, 850 executions, 52.0s
Q3 171/195, 855 executions, 52.2s
Q3 172/195, 860 executions, 52.5s
Q3 173/195, 865 executions, 52.7s
Q3 174/195, 870 executions, 53.0s
Q3 175/195, 875 executions, 53.3s
Q3 176/195, 880 executions, 53.6s
Q3 177/195, 885 executions, 53.9s
Q3 178/195, 890 executions, 54.1s
Q3 179/195, 895 executions, 54.4s
Q3 180/195, 900 executions, 54.6s
Q3 181/195, 905 executions, 54.9s
Q3 182/195, 910 executions, 55.2s
Q3 183/195, 915 executions, 55.5s
Q3 184/195, 920 executions, 55.8s
Q3 185/195, 925 executions, 56.2s
Q3 186/195, 930 executions, 56.5s
Q3 187/195, 935 executions, 56.7s
Q3 188/195, 940 executions, 56.9s
Q3 189/195, 945 executions, 57.2s
Q3 190/195, 950 executions, 57.5s
Q3 191/195, 955 executions, 57.8s
Q3 192/195, 960 executions, 58.1s
Q3 193/195, 965 executions, 58.4s
Q3 194/195, 970 executions, 58.8s
Q3 195/195, 975 executions, 59.2s
Q4 10/195, 1125 executions, 65.5s
Q4 20/195, 1275 executions, 72.0s
Q4 30/195, 1425 executions, 78.7s
Q4 40/195, 1575 executions, 85.5s
Q4 50/195, 1725 executions, 91.7s
Q4 60/195, 1875 executions, 98.3s
Q4 70/195, 2025 executions, 105.3s
Q4 80/195, 2175 executions, 112.3s
Q4 90/195, 2325 executions, 119.2s
Q4 100/195, 2475 executions, 125.8s
Q4 110/195, 2625 executions, 131.9s
Q4 120/195, 2775 executions, 138.0s
Q4 130/195, 2925 executions, 144.5s
Q4 140/195, 3075 executions, 150.8s
Q4 150/195, 3225 executions, 156.8s
Q4 151/195, 3240 executions, 157.2s
Q4 152/195, 3255 executions, 157.6s
Q4 153/195, 3270 executions, 158.0s
Q4 154/195, 3285 executions, 158.5s
Q4 155/195, 3300 executions, 159.0s
Q4 156/195, 3315 executions, 159.5s
Q4 157/195, 3330 executions, 160.0s
Q4 158/195, 3345 executions, 160.6s
Q4 159/195, 3360 executions, 161.2s
Q4 160/195, 3375 executions, 161.7s
Q4 161/195, 3390 executions, 162.2s
Q4 162/195, 3405 executions, 162.8s
Q4 163/195, 3420 executions, 163.3s
Q4 164/195, 3435 executions, 164.0s
Q4 165/195, 3450 executions, 164.5s
Q4 166/195, 3465 executions, 165.2s
Q4 167/195, 3480 executions, 166.0s
Q4 168/195, 3495 executions, 166.6s
Q4 169/195, 3510 executions, 167.1s
Q4 170/195, 3525 executions, 167.6s
Q4 171/195, 3540 executions, 168.0s
Q4 172/195, 3555 executions, 168.6s
Q4 173/195, 3570 executions, 169.2s
Q4 174/195, 3585 executions, 169.7s
Q4 175/195, 3600 executions, 170.3s
Q4 176/195, 3615 executions, 171.0s
Q4 177/195, 3630 executions, 171.6s
Q4 178/195, 3645 executions, 172.1s
Q4 179/195, 3660 executions, 172.5s
Q4 180/195, 3675 executions, 173.0s
Q4 181/195, 3690 executions, 173.6s
Q4 182/195, 3705 executions, 174.3s
Q4 183/195, 3720 executions, 174.8s
Q4 184/195, 3735 executions, 175.5s
Q4 185/195, 3750 executions, 176.1s
Q4 186/195, 3765 executions, 176.8s
Q4 187/195, 3780 executions, 177.3s
Q4 188/195, 3795 executions, 177.9s
Q4 189/195, 3810 executions, 178.4s
Q4 190/195, 3825 executions, 179.1s
Q4 191/195, 3840 executions, 179.8s
Q4 192/195, 3855 executions, 180.4s
Q4 193/195, 3870 executions, 181.2s
Q4 194/195, 3885 executions, 182.0s
Q4 195/195, 3900 executions, 182.8s
Completed 3900 executions
