all_cleared,faster_cases,max_total_s,max_wall_s,mean_commands,mean_cpu_s,mean_init_s,mean_per_source_s,mean_total_s,mean_wall_s,method,p95_total_s,pooled_per_source_s,problem,runs,slower_cases,split,worst_regression_s
150,0,5371.297206,0.262440417020116,142.76666666666668,0.19566930666666665,7.312389362292986e-05,336.67699972770146,4465.487691953333,0.19586148302808093,peer_layout9_proxy,5177.079438299999,330.77686607061725,3,150,0,ordinary,0.0
150,150,4131.201577,0.03905420802766457,140.76,0.02598510666666679,7.703143986873329e-05,239.7641072637081,3182.0498561533336,0.026005255833733826,area_return1_7,3803.5093397999995,235.7073967520988,3,150,0,ordinary,-210.0110940000004
150,150,4119.201577,0.039548875007312745,138.96666666666667,0.0259146066666666,8.336387535867592e-05,238.9516838815347,3171.3098561533334,0.025935733769244206,range_area7,3792.709339799999,234.9118411965432,3,150,0,ordinary,-210.0110940000004
150,150,4119.201577,0.03956208401359618,138.96666666666667,0.026348993333333605,8.504216675646603e-05,238.95523943709026,3171.3631894866667,0.026371849975160632,deferred_area7,3792.709339799999,234.91579181382718,3,150,0,ordinary,-210.0110940000004
150,150,4119.201577,0.03909887501504272,138.96666666666667,0.02598129333333297,8.700225114201505e-05,238.95523943709026,3171.3631894866667,0.026001343841198832,lean_deferred_area7,3792.709339799999,234.91579181382718,3,150,0,ordinary,-210.0110940000004
45,0,6212.411079,0.32364875002531335,142.64444444444445,0.18623426666666662,7.543708973874648e-05,382.8596452726924,4863.0918679333345,0.18640214821401363,peer_layout9_proxy,6098.806572199999,374.0839898410257,3,45,0,stress,0.0
45,33,4757.917385,0.03620666702045128,141.86666666666667,0.02562044444444543,7.771393542902338e-05,282.0091534626496,3530.594418577778,0.025642662888599767,area_return1_7,4711.007332,271.5841860444445,3,45,12,stress,314.0002360000003
45,33,4757.917385,0.035674999991897494,140.53333333333333,0.02552313333333321,7.985564103970924e-05,281.40030730880346,3522.594418577778,0.02554271012906813,range_area7,4711.007332,270.96880142905985,3,45,12,stress,314.0002360000003
45,33,4757.917385,0.03667558298911899,140.53333333333333,0.025929466666666675,8.06353080810772e-05,281.40030730880346,3522.594418577778,0.02594943695132517,deferred_area7,4711.007332,270.96880142905985,3,45,12,stress,314.0002360000003
45,33,4757.917385,0.037030333012808114,140.53333333333333,0.02558655555555589,8.385455649760035e-05,281.40030730880346,3522.594418577778,0.025602974032517524,lean_deferred_area7,4711.007332,270.96880142905985,3,45,12,stress,314.0002360000003
150,0,6955.570196,0.10294775001239032,310.52,0.04020277999999957,0.00015460388424495857,463.58278861951663,6099.83324122,0.04065553719410673,width_convex22,6718.7997444,451.83949934962965,4,150,0,ordinary,0.0
150,135,6701.941212,0.06391845899634063,287.2266666666667,0.039569713333333284,0.00016816361341625451,453.13856301179095,5960.373241220001,0.03978338076422612,range_convex22,6501.246130849999,441.5091289792593,4,150,0,ordinary,0.0
150,137,6701.941212,0.05545137502485886,286.67333333333335,0.041987933333332846,0.0001573586145726343,452.9802784907566,5958.326574553334,0.042105071888460466,predict_convex22,6496.879643899999,441.35752404098764,4,150,0,ordinary,0.0
150,92,6760.560239,0.07124841696349904,313.4066666666667,0.04132348000000031,0.0001620827914060404,459.9668093641298,6056.626610493334,0.04150482080488776,locked_full_convex22,6593.06192235,448.6390081846914,4,150,58,ordinary,1566.7856199999997
150,117,6647.560239,0.06081183301284909,274.56,0.04307890666666694,0.00017209668837798138,442.73926568558613,5825.033277160001,0.04318616779676328,count_locked_convex22,6440.9002863999995,431.48394645629634,4,150,33,ordinary,1367.7856199999997
150,137,6701.941212,0.05666470801224932,286.67333333333335,0.04261719999999992,0.00016657558657849828,452.9802784907566,5958.326574553334,0.04280116796066674,original_predict_convex22,6496.879643899999,441.35752404098764,4,150,0,ordinary,0.0
150,115,6672.560239,0.06021516700275242,275.1066666666667,0.04300800666666755,0.0001667360965317736,442.9521823522528,5828.439943826667,0.04311089860624634,lean_locked_convex22,6440.9002863999995,431.7362921353087,4,150,35,ordinary,1386.7856199999997
150,94,6821.880241,0.0549485000083223,287.18666666666667,0.03804781333333385,0.00015912749765751262,451.47398646251395,5928.64267118,0.038143226126752174,width_grid21_29,6683.852741249999,439.15871638370373,4,150,56,ordinary,1077.5400829999999
150,102,6747.541538,0.0545410419581458,273.8066666666667,0.03775900666666715,0.00016314637769634525,445.327405571183,5848.6026711800005,0.03785571723477915,range_grid21_29,6581.1952402,433.22982749481486,4,150,48,ordinary,993.5400829999999
150,105,6747.541538,0.05762099998537451,273.24,0.03993492666666668,0.00014388249604962766,445.1161541004316,5846.009337846667,0.0400176857811554,predict_grid21_29,6581.62996,433.03772872938276,4,150,45,ordinary,982.5400829999999
150,86,7088.65379,0.05664808297296986,310.88666666666666,0.04187955333333439,0.00016036162928988537,458.29277792570025,6045.29995824,0.04202562549267896,locked_full_grid21_29,6729.0246157,447.7999969066667,4,150,64,ordinary,1292.5529740000002
150,115,6705.65379,0.06372262496734038,272.62,0.04421728666666704,0.00017667503755850096,441.5196609870832,5817.5399582400005,0.0444165702315513,count_locked_grid21_29,6397.292265,430.9288857955556,4,150,35,ordinary,909.5529740000002
150,115,6729.65379,0.06109766598092392,273.25333333333333,0.04363058000000038,0.00016459111861574153,441.7642443204166,5821.453291573333,0.043736085776860514,lean_locked_grid21_29,6406.485057,431.21876233876543,4,150,35,ordinary,933.5529740000002
150,85,6859.16369,0.05596095899818465,279.67333333333335,0.038042466666667135,0.00016331998786578577,455.60402364526254,5978.1434197866665,0.03815965552659084,range_grid21_7,6654.58229335,442.82543850271605,4,150,65,ordinary,1708.6071739999998
150,85,6746.615293,0.060623499972280115,282.4066666666667,0.037950039999998686,0.00014300717079701524,455.01463963884396,5982.638243766666,0.03819272524560802,range_closed21_3,6535.5855830499995,443.15838842716045,4,150,65,ordinary,1054.8616650000004
45,0,8306.026464,0.05795149999903515,341.46666666666664,0.03495624444444224,0.00018021586583927274,547.1006159165172,6855.101238955554,0.03530496022043129,width_convex22,7631.7225886,527.3154799196581,4,45,0,stress,0.0
45,28,8276.026464,0.05877099995268509,332.75555555555553,0.03453495555555593,0.00018623228469449613,543.0828595062607,6802.967905622221,0.034965898998133425,range_convex22,7538.9225886,523.3052235094017,4,45,0,stress,0.0
45,28,8276.026464,0.060526874964125454,332.22222222222223,0.03668340000000019,0.00018880360164783068,542.8631159165171,6800.167905622221,0.03686600272776559,predict_convex22,7538.9225886,523.089838894017,4,45,0,stress,0.0
45,21,7904.838854,0.06404049997217953,350.1111111111111,0.035290977777775526,0.0003715944838606649,540.3856319067095,6757.145550955555,0.03544738421915099,locked_full_convex22,7615.6901044,519.7804269965811,4,45,21,stress,1083.2537779999993
45,26,7608.838854,0.07161570800235495,330.7111111111111,0.03791922222221918,0.00021592586611708005,531.6872558383334,6641.256662066667,0.03811421473251863,count_locked_convex22,7426.8901043999995,510.8658970820513,4,45,16,stress,1083.2537779999993
45,28,8276.026464,0.074997041025199,332.22222222222223,0.037428355555555175,0.00021212115599256423,542.8631159165171,6800.167905622221,0.03767573798152928,original_predict_convex22,7538.9225886,523.089838894017,4,45,0,stress,0.0
45,26,7608.838854,0.06226525001693517,331.1333333333333,0.0373914888888919,0.00022514350971000063,531.8553113938889,6643.9455509555555,0.037564805644150406,lean_locked_convex22,7426.8901043999995,511.0727346888889,4,45,16,stress,1083.2537779999993
45,27,8621.147416,0.04478795902105048,325.24444444444447,0.03409464444444552,0.00018987320492871933,531.4213378030769,6653.471618733332,0.0342124907584447,width_grid21_29,8146.106836399998,511.80550913333326,4,45,18,stress,880.0561600000001
45,28,8495.147416,0.044526166981086135,318.2,0.0340302888888876,0.00017409728865863547,528.3381967774358,6611.471618733332,0.03415216110620855,range_grid21_29,8057.506836399999,508.57473990256403,4,45,17,stress,826.0561600000001
45,28,8483.147416,0.048044333001598716,317.5777777777778,0.03660802222222262,0.00018696102391307551,528.1144147261538,6608.338285399999,0.03679132215782172,predict_grid21_29,8049.506836399999,508.33371426153843,4,45,17,stress,830.0561600000001
45,24,7672.546862,0.056960334011819214,329.46666666666664,0.03337404444444777,0.00021007315954193472,524.8136417864745,6522.119642533334,0.03356014519619445,locked_full_grid21_29,7562.8452228,501.70151096410257,4,45,21,stress,530.9683009999999
45,27,7575.546862,0.059772957989480346,312.3777777777778,0.035623400000000374,0.00019530735444277524,516.6195178548505,6420.208531422222,0.03575869349167786,count_locked_grid21_29,7458.879466399999,493.8621947247863,4,45,18,stress,474.9683009999999
