Q4 5/93, 100 executions, 4.0s
Q4 10/93, 200 executions, 8.2s
Q4 15/93, 300 executions, 12.4s
Q4 20/93, 400 executions, 16.6s
Q4 25/93, 500 executions, 20.5s
Q4 30/93, 600 executions, 24.5s
Q4 35/93, 700 executions, 28.6s
Q4 40/93, 800 executions, 32.8s
Q4 45/93, 900 executions, 36.9s
Q4 50/93, 1000 executions, 40.9s
Q4 55/93, 1100 executions, 44.6s
Q4 60/93, 1200 executions, 48.6s
Q4 65/93, 1300 executions, 52.7s
Q4 70/93, 1400 executions, 56.7s
Q4 75/93, 1500 executions, 60.6s
Q4 76/93, 1520 executions, 61.2s
Q4 77/93, 1540 executions, 61.7s
Q4 78/93, 1560 executions, 62.3s
Q4 79/93, 1580 executions, 63.0s
Q4 80/93, 1600 executions, 63.7s
Q4 81/93, 1620 executions, 64.4s
Q4 82/93, 1640 executions, 65.0s
Q4 83/93, 1660 executions, 65.7s
Q4 84/93, 1680 executions, 66.3s
Q4 85/93, 1700 executions, 67.1s
Q4 86/93, 1720 executions, 67.9s
Q4 87/93, 1740 executions, 68.8s
Q4 88/93, 1760 executions, 69.5s
Q4 89/93, 1780 executions, 70.0s
Q4 90/93, 1800 executions, 70.7s
Q4 91/93, 1820 executions, 71.6s
Q4 92/93, 1840 executions, 72.5s
Q4 93/93, 1860 executions, 73.3s
Completed 1860 executions
