all_cleared,errors,max_total_s,max_wall_s,mean_commands,mean_optical_fallbacks,mean_pair_cuts,mean_per_source_s,mean_total_s,mean_wall_s,method,p95_total_s,problem,runs,slower_cases,split
75,0,6917.022463,0.059503542026504874,319.94666666666666,0.0,0.17333333333333334,526.0340267533333,6314.2126609199995,0.03830794324399903,width_convex22,6757.3534616,4,75,0,ordinary
75,0,6761.022463,0.059018666041083634,300.81333333333333,0.0,0.17333333333333334,516.8044711977777,6199.745994253333,0.037804789911024275,range_convex22,6690.4609878,4,75,0,ordinary
75,0,6757.022463,0.06012829102110118,300.0133333333333,0.0,0.17333333333333334,516.5031378644445,6195.93266092,0.04045004605470846,predict_convex22,6687.7027800000005,4,75,0,ordinary
75,0,6797.336448,0.05315308301942423,325.37333333333333,0.0,0.3333333333333333,520.1170448213334,6220.658065213334,0.03871979838858048,locked_full_convex22,6642.5999323,4,75,25,ordinary
75,0,6633.336448,0.055326165980659425,292.72,0.0,0.3333333333333333,504.2339337102223,6027.924731880001,0.04079616665917759,count_locked_convex22,6492.3999323,4,75,13,ordinary
75,0,6936.340524,0.05485495796892792,306.16,0.0,0.2,519.2335735393333,6224.355490746667,0.03669815946680804,width_closed21_3,6737.6608197,4,75,32,ordinary
75,0,6706.340524,0.055260083987377584,288.32,0.0,0.2,510.3993513171111,6117.822157413333,0.03642616943844284,range_closed21_3,6588.4428369,4,75,23,ordinary
75,0,6694.340524,0.05583533301251009,287.5733333333333,0.0,0.2,510.13379576155546,6114.4221574133335,0.03873947221164902,predict_closed21_3,6582.1428369,4,75,23,ordinary
75,0,6595.185839,0.05353962496155873,324.7866666666667,0.0,0.12,516.3504838064443,6195.49953412,0.03838807502373432,locked_full_closed21_3,6543.9788214,4,75,29,ordinary
75,0,6424.185839,0.0558423749753274,288.29333333333335,0.0,0.12,498.22559491755555,5979.566200786667,0.040514397776375215,count_locked_closed21_3,6321.5018051,4,75,14,ordinary
75,0,6880.749166,0.055150584026705474,308.7866666666667,0.0,0.24,514.0198365719999,6162.3126508666655,0.036006005638434244,width_grid21_7,6682.5347495999995,4,75,22,ordinary
75,0,6648.670705,0.05429158400511369,290.25333333333333,0.0,0.24,504.6589476831112,6051.419317533332,0.0357394089223817,range_grid21_7,6528.6353573999995,4,75,13,ordinary
75,0,6642.670705,0.05572612496325746,289.17333333333335,0.0,0.24,504.2325032386667,6046.272650866666,0.03811887882805119,predict_grid21_7,6526.7205526,4,75,13,ordinary
75,0,6595.115695,0.05486629199003801,324.84,0.0,0.10666666666666667,516.7520834057779,6200.7644511066665,0.03849222116482755,locked_full_grid21_7,6532.6656427,4,75,27,ordinary
75,0,6363.026757,0.05641474999720231,288.3333333333333,0.0,0.10666666666666667,498.61786118355553,5984.73778444,0.04054239727013434,count_locked_grid21_7,6324.3384926,4,75,14,ordinary
75,0,6682.568243,0.055082499980926514,306.5466666666667,0.0,0.06666666666666667,514.8465338791111,6182.252995173333,0.03606376390671358,width_grid21_29,6497.8998382,4,75,22,ordinary
75,0,6658.568243,0.06040050002047792,290.6,0.0,0.06666666666666667,507.0780894346667,6086.892995173333,0.03604450554586947,range_grid21_29,6453.1671215,4,75,14,ordinary
75,0,6653.568243,0.05653858301229775,290.0,0.0,0.06666666666666667,506.8387561013332,6083.9729951733325,0.03807592002442107,predict_grid21_29,6453.1671215,4,75,14,ordinary
75,0,6582.02408,0.053334707976318896,318.05333333333334,0.0,0.09333333333333334,506.0324947426666,6087.342161373333,0.03776199887041003,locked_full_grid21_29,6492.8322859,4,75,9,ordinary
75,0,6332.945097,0.05456587503431365,285.32,0.0,0.09333333333333334,490.00360585377786,5893.155494706665,0.03988620281529923,count_locked_grid21_29,6258.827614299999,4,75,5,ordinary
18,0,8128.02217,0.04946150002069771,336.27777777777777,0.0,3.0555555555555554,555.2400434062499,6747.9012158333335,0.032712412112030305,width_convex22,7562.294548199999,4,18,0,stress
18,0,8092.02217,0.04877566697541624,331.1111111111111,0.0,3.0555555555555554,552.65879340625,6717.234549166667,0.0333907360489118,range_convex22,7556.6288841,4,18,0,stress
18,0,8092.02217,0.04999866598518565,330.72222222222223,0.0,3.0555555555555554,552.4525434062499,6715.0678825,0.03520510171721172,predict_convex22,7556.6288841,4,18,0,stress
18,0,7430.777675,0.05190891696838662,337.0,0.0,2.9444444444444446,533.4085767062501,6509.112944,0.03246802322488899,locked_full_convex22,7426.4761344,4,18,6,stress
18,0,7304.777675,0.0535660830209963,332.3333333333333,0.0,2.9444444444444446,531.4030211506945,6481.224055111112,0.035050685058296144,count_locked_convex22,7301.3261344,4,18,6,stress
18,0,8580.546439,0.044523583026602864,315.94444444444446,0.0,1.8333333333333333,546.0647628743055,6715.310247222223,0.03314754389187632,width_closed21_3,8565.2718727,4,18,7,stress
18,0,8442.546439,0.044402291998267174,308.8333333333333,0.0,1.8333333333333333,542.8480962076388,6672.643580555556,0.0330358634398888,range_closed21_3,8422.171872699999,4,18,7,stress
