Q3 10/195, 50 executions, 2.7s
Q3 20/195, 100 executions, 5.5s
Q3 30/195, 150 executions, 8.4s
Q3 40/195, 200 executions, 11.2s
Q3 50/195, 250 executions, 14.0s
Q3 60/195, 300 executions, 16.9s
Q3 70/195, 350 executions, 20.0s
Q3 80/195, 400 executions, 23.0s
Q3 90/195, 450 executions, 26.1s
Q3 100/195, 500 executions, 29.2s
Q3 110/195, 550 executions, 31.9s
Q3 120/195, 600 executions, 34.6s
Q3 130/195, 650 executions, 37.4s
Q3 140/195, 700 executions, 40.2s
Q3 150/195, 750 executions, 43.0s
Q3 151/195, 755 executions, 43.3s
Q3 152/195, 760 executions, 43.6s
Q3 153/195, 765 executions, 43.8s
Q3 154/195, 770 executions, 44.2s
Q3 155/195, 775 executions, 44.5s
Q3 156/195, 780 executions, 44.7s
Q3 157/195, 785 executions, 45.2s
Q3 158/195, 790 executions, 45.5s
Q3 159/195, 795 executions, 45.8s
Q3 160/195, 800 executions, 46.1s
Q3 161/195, 805 executions, 46.4s
Q3 162/195, 810 executions, 46.6s
Q3 163/195, 815 executions, 47.0s
Q3 164/195, 820 executions, 47.3s
Q3 165/195, 825 executions, 47.6s
Q3 166/195, 830 executions, 47.9s
Q3 167/195, 835 executions, 48.4s
Q3 168/195, 840 executions, 48.7s
Q3 169/195, 845 executions, 48.9s
Q3 170/195, 850 executions, 49.2s
Q3 171/195, 855 executions, 49.4s
Q3 172/195, 860 executions, 49.6s
Q3 173/195, 865 executions, 49.9s
Q3 174/195, 870 executions, 50.1s
Q3 175/195, 875 executions, 50.4s
Q3 176/195, 880 executions, 50.7s
Q3 177/195, 885 executions, 51.0s
Q3 178/195, 890 executions, 51.2s
Q3 179/195, 895 executions, 51.4s
Q3 180/195, 900 executions, 51.7s
Q3 181/195, 905 executions, 52.0s
Q3 182/195, 910 executions, 52.3s
Q3 183/195, 915 executions, 52.6s
Q3 184/195, 920 executions, 52.9s
Q3 185/195, 925 executions, 53.3s
Q3 186/195, 930 executions, 53.6s
Q3 187/195, 935 executions, 53.8s
Q3 188/195, 940 executions, 54.1s
Q3 189/195, 945 executions, 54.3s
Q3 190/195, 950 executions, 54.6s
Q3 191/195, 955 executions, 54.9s
Q3 192/195, 960 executions, 55.1s
Q3 193/195, 965 executions, 55.5s
Q3 194/195, 970 executions, 55.8s
Q3 195/195, 975 executions, 56.2s
Q4 10/195, 1125 executions, 62.8s
Q4 20/195, 1275 executions, 69.4s
Q4 30/195, 1425 executions, 76.2s
Q4 40/195, 1575 executions, 82.9s
Q4 50/195, 1725 executions, 89.4s
Q4 60/195, 1875 executions, 95.9s
Q4 70/195, 2025 executions, 102.4s
Q4 80/195, 2175 executions, 109.3s
Q4 90/195, 2325 executions, 116.0s
Q4 100/195, 2475 executions, 122.4s
Q4 110/195, 2625 executions, 128.5s
Q4 120/195, 2775 executions, 134.8s
Q4 130/195, 2925 executions, 141.1s
Q4 140/195, 3075 executions, 147.7s
Q4 150/195, 3225 executions, 153.8s
Q4 151/195, 3240 executions, 154.2s
Q4 152/195, 3255 executions, 154.7s
Q4 153/195, 3270 executions, 155.2s
Q4 154/195, 3285 executions, 155.7s
Q4 155/195, 3300 executions, 156.3s
Q4 156/195, 3315 executions, 156.8s
Q4 157/195, 3330 executions, 157.4s
Q4 158/195, 3345 executions, 158.0s
Q4 159/195, 3360 executions, 158.6s
Q4 160/195, 3375 executions, 159.1s
Q4 161/195, 3390 executions, 159.7s
Q4 162/195, 3405 executions, 160.2s
Q4 163/195, 3420 executions, 160.8s
Q4 164/195, 3435 executions, 161.4s
Q4 165/195, 3450 executions, 161.9s
Q4 166/195, 3465 executions, 162.6s
Q4 167/195, 3480 executions, 163.4s
Q4 168/195, 3495 executions, 164.1s
Q4 169/195, 3510 executions, 164.6s
Q4 170/195, 3525 executions, 165.1s
Q4 171/195, 3540 executions, 165.6s
Q4 172/195, 3555 executions, 166.2s
Q4 173/195, 3570 executions, 166.8s
Q4 174/195, 3585 executions, 167.4s
Q4 175/195, 3600 executions, 168.1s
Q4 176/195, 3615 executions, 168.7s
Q4 177/195, 3630 executions, 169.4s
Q4 178/195, 3645 executions, 170.0s
Q4 179/195, 3660 executions, 170.6s
Q4 180/195, 3675 executions, 171.1s
Q4 181/195, 3690 executions, 171.8s
Q4 182/195, 3705 executions, 172.4s
Q4 183/195, 3720 executions, 173.0s
Q4 184/195, 3735 executions, 173.7s
Q4 185/195, 3750 executions, 174.5s
Q4 186/195, 3765 executions, 175.3s
Q4 187/195, 3780 executions, 175.8s
Q4 188/195, 3795 executions, 176.3s
Q4 189/195, 3810 executions, 176.9s
Q4 190/195, 3825 executions, 177.6s
Q4 191/195, 3840 executions, 178.2s
Q4 192/195, 3855 executions, 178.8s
Q4 193/195, 3870 executions, 179.6s
Q4 194/195, 3885 executions, 180.3s
Q4 195/195, 3900 executions, 181.0s
Completed 3900 executions
