Q3 5/93, 30 executions, 0.8s
Q3 10/93, 60 executions, 1.5s
Q3 15/93, 90 executions, 2.3s
Q3 20/93, 120 executions, 3.1s
Q3 25/93, 150 executions, 4.0s
Q3 30/93, 180 executions, 4.7s
Q3 35/93, 210 executions, 5.5s
Q3 40/93, 240 executions, 6.3s
Q3 45/93, 270 executions, 7.0s
Q3 50/93, 300 executions, 7.8s
Q3 55/93, 330 executions, 8.5s
Q3 60/93, 360 executions, 9.3s
Q3 65/93, 390 executions, 10.0s
Q3 70/93, 420 executions, 10.9s
Q3 75/93, 450 executions, 11.6s
Q3 76/93, 456 executions, 11.8s
Q3 77/93, 462 executions, 11.9s
Q3 78/93, 468 executions, 12.1s
Q3 79/93, 474 executions, 12.3s
Q3 80/93, 480 executions, 12.5s
Q3 81/93, 486 executions, 12.7s
Q3 82/93, 492 executions, 12.8s
Q3 83/93, 498 executions, 12.9s
Q3 84/93, 504 executions, 13.0s
Q3 85/93, 510 executions, 13.2s
Q3 86/93, 516 executions, 13.4s
Q3 87/93, 522 executions, 13.5s
Q3 88/93, 528 executions, 13.6s
Q3 89/93, 534 executions, 13.8s
Q3 90/93, 540 executions, 13.9s
Q3 91/93, 546 executions, 14.0s
Q3 92/93, 552 executions, 14.2s
Q3 93/93, 558 executions, 14.3s
Q4 5/93, 648 executions, 18.3s
Q4 10/93, 738 executions, 22.4s
Q4 15/93, 828 executions, 26.6s
Q4 20/93, 918 executions, 30.6s
Q4 25/93, 1008 executions, 34.5s
Q4 30/93, 1098 executions, 38.4s
Q4 35/93, 1188 executions, 42.2s
Q4 40/93, 1278 executions, 46.2s
Q4 45/93, 1368 executions, 50.2s
Q4 50/93, 1458 executions, 54.0s
Q4 55/93, 1548 executions, 57.9s
Q4 60/93, 1638 executions, 62.0s
Q4 65/93, 1728 executions, 66.2s
Q4 70/93, 1818 executions, 70.3s
Q4 75/93, 1908 executions, 74.2s
Q4 76/93, 1926 executions, 74.7s
Q4 77/93, 1944 executions, 75.2s
Q4 78/93, 1962 executions, 75.7s
Q4 79/93, 1980 executions, 76.4s
Q4 80/93, 1998 executions, 77.0s
Q4 81/93, 2016 executions, 77.7s
Q4 82/93, 2034 executions, 78.3s
Q4 83/93, 2052 executions, 78.9s
Q4 84/93, 2070 executions, 79.6s
Q4 85/93, 2088 executions, 80.4s
Q4 86/93, 2106 executions, 81.1s
Q4 87/93, 2124 executions, 81.9s
Q4 88/93, 2142 executions, 82.6s
Q4 89/93, 2160 executions, 83.2s
Q4 90/93, 2178 executions, 83.8s
Q4 91/93, 2196 executions, 84.7s
Q4 92/93, 2214 executions, 85.7s
Q4 93/93, 2232 executions, 86.5s
Completed 2232 executions
