all_cleared,errors,max_total_s,max_wall_s,mean_commands,mean_optical_fallbacks,mean_pair_cuts,mean_per_source_s,mean_total_s,mean_wall_s,method,p95_total_s,problem,runs,slower_cases,split
75,0,3657.441833,0.0371290419716388,142.49333333333334,0.0,0.0,256.95335353155554,3100.597219946667,0.024295135639452684,area_return1_7,3614.1899138999997,3,75,0,ordinary
75,0,3633.441833,0.03782108396990225,141.04,0.0,0.0,256.26268686488885,3091.9705532800003,0.024210992855175088,range_area7,3590.1899138999997,3,75,0,ordinary
75,0,3633.441833,0.03750162501819432,141.18666666666667,0.0,0.0,256.3353535315555,3092.8105532800005,0.024276197132809707,faithful_area7,3590.1899138999997,3,75,0,ordinary
75,0,3633.441833,0.037369541998486966,141.04,0.0,0.0,256.2673535315555,3092.0238866133336,0.02457157608199244,deferred_area7,3590.1899138999997,3,75,0,ordinary
75,0,3633.441833,0.039228125009685755,141.04,0.0,0.0,256.2673535315555,3092.0238866133336,0.025230973909298578,predict4_area7,3590.1899138999997,3,75,0,ordinary
75,0,3633.441833,0.03977266704896465,141.04,0.0,0.0,256.2673535315555,3092.0238866133336,0.025666653353255242,predict8_area7,3590.1899138999997,3,75,0,ordinary
18,0,4704.144997,0.031506334024015814,130.05555555555554,0.0,0.0,273.2625248597222,3341.9234545555555,0.023582041735709127,area_return1_7,4682.41171505,3,18,0,stress
18,0,4704.144997,0.031670874974224716,130.05555555555554,0.0,0.0,273.2625248597222,3341.9234545555555,0.023642599598840915,range_area7,4682.41171505,3,18,0,stress
18,0,4704.144997,0.031745958025567234,130.05555555555554,0.0,0.0,273.2625248597222,3341.9234545555555,0.023611268507213228,faithful_area7,4682.41171505,3,18,0,stress
18,0,4704.144997,0.03169454203452915,130.05555555555554,0.0,0.0,273.2625248597222,3341.9234545555555,0.02397454400326953,deferred_area7,4682.41171505,3,18,0,stress
18,0,4704.144997,0.032103083038236946,130.05555555555554,0.0,0.0,273.2625248597222,3341.9234545555555,0.024271453611112923,predict4_area7,4682.41171505,3,18,0,stress
18,0,4704.144997,0.03195566695649177,130.05555555555554,0.0,0.0,273.2625248597222,3341.9234545555555,0.024317717716460012,predict8_area7,4682.41171505,3,18,0,stress
75,0,6917.022463,0.059125542000401765,319.94666666666666,0.0,0.17333333333333334,526.0340267533333,6314.2126609199995,0.03805069334572181,width40_f015_22,6757.3534616,4,75,0,ordinary
75,0,6761.022463,0.05977341695688665,300.81333333333333,0.0,0.17333333333333334,516.8044711977777,6199.745994253333,0.037911267186670254,range_width015,6690.4609878,4,75,0,ordinary
75,0,6781.022463,0.05937854101648554,302.04,0.0,0.17333333333333334,517.46869342,6207.759327586667,0.037986965518599994,faithful_width015,6696.4609878,4,75,0,ordinary
