active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,certified_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,deferred_nonstationary_skips,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,faithful_attempt_memory_updates,faithful_nonstationary_retained,faithful_stationary_skips,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,logical_negative_memory_limit,maximum_source_primary_rf,maximum_source_rounds,measurements,method,minimum_actual_unknown_per_station,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,pair_prediction_checks,per_source_s,policy_cleared_channels,predicted_pair_skips,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,,,12,10,133,1.0,,,,,0.018893999999999994,,10,,3,5,False,,,,,,,0,,,17,0,,,,119,area_return1_7,,[],12450.081271938308,0,49.195608055153805,0.0,7,,,,325.5016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,,3,67,,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3255.016252,,,True,0.019523082999512553
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,3,,12,10,130,1.0,,,base,0,0.018654999999999977,,10,,3,5,False,,,,,False,,0,0,,17,0,,,,116,range_area7,,[],12450.081271938308,0,49.195608055153805,0.0,7,,,,323.8016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,,3,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,112,3238.016252,,,True,0.018681209010537714
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,2,,12,10,131,1.0,,,base,0,0.01863999999999999,,10,,3,5,False,,2,1,2,False,,0,0,,17,0,,,,117,faithful_area7,,[],12450.081271938308,0,49.195608055153805,0.0,7,,,,324.3016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,,3,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,112,3243.016252,,,True,0.018640334019437432
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,3,3,12,10,130,1.0,,,base,0,0.019189999999999985,1,10,,3,5,False,,3,0,2,False,,0,0,,17,0,4,,,116,deferred_area7,10,[],12450.081271938308,0,49.195608055153805,0.0,7,,,0,323.8016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,,3,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,112,3238.016252,,,True,0.019189749960787594
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,3,3,12,10,130,1.0,,,base,0,0.019247999999999987,1,10,,3,5,False,,3,0,2,False,,0,0,,17,0,4,,,116,predict4_area7,10,[],12450.081271938308,0,49.195608055153805,0.0,7,,,12,323.8016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,,3,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,112,3238.016252,,,True,0.019276958017144352
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,3,3,12,10,130,1.0,,,base,0,0.020481000000000027,1,10,,3,5,False,,3,0,2,False,,0,0,,17,0,8,,,116,predict8_area7,10,[],12450.081271938308,0,49.195608055153805,0.0,7,,,20,323.8016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,,3,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,112,3238.016252,,,True,0.020480958046391606
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,10,,,18,15,149,1.0,,,,,0.02897700000000003,,15,,5,8,False,,,,,,,0,,,22,0,,,,129,area_return1_7,,[],11258.355683768476,0,68.94379760295948,0.0,10,,,,206.9114092,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,,3,68,,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3103.671138,,,True,0.02897774998564273
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,10,0,,18,15,149,1.0,,,base,0,0.028495999999999966,,15,,5,8,False,,,,,False,,0,0,,22,0,,,,129,range_area7,,[],11258.355683768476,0,68.94379760295948,0.0,10,,,,206.9114092,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,,3,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3103.671138,,,True,0.028523791988845915
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,10,0,,18,15,149,1.0,,,base,0,0.028630000000000044,,15,,5,8,False,,0,0,0,False,,0,0,,22,0,,,,129,faithful_area7,,[],11258.355683768476,0,68.94379760295948,0.0,10,,,,206.9114092,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,,3,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3103.671138,,,True,0.028653166024014354
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,10,0,0,18,15,149,1.0,,,base,0,0.029070999999999958,0,15,,5,8,False,,0,0,0,False,,0,0,,22,0,4,,,129,deferred_area7,5,[],11258.355683768476,0,68.94379760295948,0.0,10,,,0,206.9114092,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",0,,3,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3103.671138,,,True,0.029128958005458117
