Q3 5/93, 40 executions, 1.0s
Q3 10/93, 80 executions, 2.1s
Q3 15/93, 120 executions, 3.2s
Q3 20/93, 160 executions, 4.4s
Q3 25/93, 200 executions, 5.5s
Q3 30/93, 240 executions, 6.5s
Q3 35/93, 280 executions, 7.5s
Q3 40/93, 320 executions, 8.6s
Q3 45/93, 360 executions, 9.6s
Q3 50/93, 400 executions, 10.7s
Q3 55/93, 440 executions, 11.7s
Q3 60/93, 480 executions, 12.8s
Q3 65/93, 520 executions, 13.9s
Q3 70/93, 560 executions, 15.1s
Q3 75/93, 600 executions, 16.1s
Q3 76/93, 608 executions, 16.4s
Q3 77/93, 616 executions, 16.6s
Q3 78/93, 624 executions, 16.8s
Q3 79/93, 632 executions, 17.0s
Q3 80/93, 640 executions, 17.3s
Q3 81/93, 648 executions, 17.6s
Q3 82/93, 656 executions, 17.7s
Q3 83/93, 664 executions, 17.9s
Q3 84/93, 672 executions, 18.1s
Q3 85/93, 680 executions, 18.3s
Q3 86/93, 688 executions, 18.6s
Q3 87/93, 696 executions, 18.8s
Q3 88/93, 704 executions, 19.0s
Q3 89/93, 712 executions, 19.2s
Q3 90/93, 720 executions, 19.3s
Q3 91/93, 728 executions, 19.5s
Q3 92/93, 736 executions, 19.8s
Q3 93/93, 744 executions, 20.0s
Q4 5/93, 789 executions, 22.3s
Q4 10/93, 834 executions, 24.8s
Q4 15/93, 879 executions, 27.2s
Q4 20/93, 924 executions, 29.6s
Q4 25/93, 969 executions, 31.9s
Q4 30/93, 1014 executions, 34.0s
Q4 35/93, 1059 executions, 36.3s
Q4 40/93, 1104 executions, 38.5s
Q4 45/93, 1149 executions, 40.8s
Q4 50/93, 1194 executions, 42.9s
Q4 55/93, 1239 executions, 45.1s
Q4 60/93, 1284 executions, 47.4s
Q4 65/93, 1329 executions, 49.7s
Q4 70/93, 1374 executions, 52.1s
Q4 75/93, 1419 executions, 54.2s
Q4 76/93, 1428 executions, 54.6s
Q4 77/93, 1437 executions, 54.9s
Q4 78/93, 1446 executions, 55.3s
Q4 79/93, 1455 executions, 55.7s
Q4 80/93, 1464 executions, 56.1s
Q4 81/93, 1473 executions, 56.5s
Q4 82/93, 1482 executions, 56.8s
Q4 83/93, 1491 executions, 57.2s
Q4 84/93, 1500 executions, 57.5s
Q4 85/93, 1509 executions, 58.1s
Q4 86/93, 1518 executions, 58.5s
Q4 87/93, 1527 executions, 59.0s
Q4 88/93, 1536 executions, 59.4s
Q4 89/93, 1545 executions, 59.7s
Q4 90/93, 1554 executions, 60.1s
Q4 91/93, 1563 executions, 60.6s
Q4 92/93, 1572 executions, 61.0s
Q4 93/93, 1581 executions, 61.5s
Completed 1581 executions
