active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,clear_calls,cleared,commands,cpu_s,discovered_channels,discovery_prior_worlds,discovery_priority_overrides,early_optical_success,early_optical_trials,failure,forced_continuations,inconsistent_updates,initialization_s,interrupted_channels,joint_route_solves,known_upper_bound_skips,last_sampled_unknown_worlds,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,problem,seed,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,wall_s
6,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,12,10,133,0.019177,10,,,3,5,,0,0,2.6999972760677338e-05,1,23,0,,1,1,119,packet_center7,[],11934.779666370265,0,53.614094205275826,0.0,7,,0,315.19559319999996,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,7,,1,1,16,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3151.955932,0.019177917041815817
5,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,5,11,10,135,0.01949200000000001,10,512,2,5,6,,,0,0.0001425000373274088,,17,0,0,,,122,discover300_7,[],13814.259675259478,0,44.5333981484683,0.0,5,,,354.0851933,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,7,,8,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3540.851933,0.019491666986141354
3,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,8,11,10,135,0.019799999999999984,10,512,6,2,3,,,0,9.408401092514396e-05,,17,0,0,,,122,discover900_7,[],15525.812960335019,0,82.45795064265405,0.0,8,,,388.3162595,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,5,,6,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3883.162595,0.0197999999509193
3,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,12,10,143,0.019711000000000034,10,512,6,3,5,,,0,8.937495294958353e-05,,17,0,0,,,129,discover1800_7,[],14682.721963994942,0,52.618974685322826,0.0,7,,,376.0544393,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,1,,7,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,123,3760.544393,0.01971016696188599
5,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,5,11,10,135,0.01976100000000003,10,512,2,5,6,,,0,9.791698539629579e-05,,17,0,0,,,122,discover300_clear7,[],13814.259675259478,0,44.5333981484683,0.0,5,,,354.0851933,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,7,,8,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3540.851933,0.019761041970923543
5,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,11,10,132,0.019394000000000022,10,512,1,3,4,,,0,8.983304724097252e-05,,17,0,49,,,119,clear_reward7,[],11803.55695337975,0,54.62894444210097,0.0,7,,,312.37113899999997,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3123.71139,0.019431333988904953
5,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,12,10,138,0.02196699999999996,10,512,2,3,5,,0,0,9.670801227912307e-05,1,22,0,0,2,2,124,packet_discover300_7,[],11930.057034829853,0,65.75440534519166,0.0,7,,0,318.1011406,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,11,,2,1,15,10,ordinary,7,full_coverage_and_all_discovered_cleared,119,3181.011406,0.02201499999500811
3,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,8,11,10,135,0.02022099999999999,10,512,6,2,3,,0,0,9.941600728780031e-05,0,20,0,0,1,1,122,packet_discover900_7,[],15525.812960335019,0,82.45795064265405,0.0,8,,0,388.3162595,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,5,,6,0,13,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3883.162595,0.020221667014993727
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,10,18,15,149,0.028842000000000034,15,,,5,8,,0,0,1.4334043953567743e-05,1,29,0,,2,2,129,packet_center7,[],11178.901998813919,0,63.07443234836325,0.0,10,,0,205.85202673333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,33,,0,1,22,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3087.780401,0.028842583007644862
2,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,7,16,15,144,0.027839000000000003,15,512,4,8,9,,,0,8.866697316989303e-05,,22,0,0,,,126,discover300_7,[],11920.364136121902,0,63.67362880996208,0.0,7,,,214.0715218,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,29,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,119,3211.072827,0.02783816697774455
