active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,faithful_attempt_memory_updates,faithful_nonstationary_retained,faithful_stationary_skips,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,,12,10,133,1.0,,,,,0.018669999999999964,10,,3,5,False,,,,,,,0,,,17,0,,,119,area_return1_7,[],12450.081271938308,0,49.195608055153805,0.0,7,,,325.5016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3255.016252,,,True,0.018669834011234343
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,3,12,10,130,1.0,,,base,0,0.018764000000000003,10,,3,5,False,,,,,False,,0,0,,17,0,,,116,range_area7,[],12450.081271938308,0,49.195608055153805,0.0,7,,,323.8016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,112,3238.016252,,,True,0.01878166600363329
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,2,12,10,131,1.0,,,base,0,0.018780999999999992,10,,3,5,False,,2,1,2,False,,0,0,,17,0,,,117,faithful_area7,[],12450.081271938308,0,49.195608055153805,0.0,7,,,324.3016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,112,3243.016252,,,True,0.01878154097357765
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,10,,18,15,149,1.0,,,,,0.028666999999999998,15,,5,8,False,,,,,,,0,,,22,0,,,129,area_return1_7,[],11258.355683768476,0,68.94379760295948,0.0,10,,,206.9114092,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3103.671138,,,True,0.028690417006146163
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,10,0,18,15,149,1.0,,,base,0,0.028491000000000044,15,,5,8,False,,,,,False,,0,0,,22,0,,,129,range_area7,[],11258.355683768476,0,68.94379760295948,0.0,10,,,206.9114092,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3103.671138,,,True,0.028531750023830682
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,10,0,18,15,149,1.0,,,base,0,0.028911999999999993,15,,5,8,False,,0,0,0,False,,0,0,,22,0,,,129,faithful_area7,[],11258.355683768476,0,68.94379760295948,0.0,10,,,206.9114092,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3103.671138,,,True,0.028972667001653463
7,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,5,,16,15,143,1.0,,,,,0.025659000000000043,15,,10,11,False,,,,,,,0,,,22,0,,,125,area_return1_7,[],12833.52283590028,0,49.76008032836796,0.0,5,,,225.5803046,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,,28,,7,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,114,3383.704569,,,True,0.025663542037364095
7,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,5,0,16,15,143,1.0,,,base,0,0.026243000000000016,15,,10,11,False,,,,,False,,0,0,,22,0,,,125,range_area7,[],12833.52283590028,0,49.76008032836796,0.0,5,,,225.5803046,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,28,,7,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,114,3383.704569,,,True,0.02624241600278765
7,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,5,0,16,15,143,1.0,,,base,0,0.025529999999999997,15,,10,11,False,,0,0,0,False,,0,0,,22,0,,,125,faithful_area7,[],12833.52283590028,0,49.76008032836796,0.0,5,,,225.5803046,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,28,,7,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,114,3383.704569,,,True,0.025547542027197778
8,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,6,,13,10,141,1.0,,,,,0.020537000000000027,10,,4,7,False,,,,,,,0,,,17,0,,,126,area_return1_7,[],11127.182320072005,0,36.3364416117673,0.0,6,,,303.2436465,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,118,3032.436465,,,True,0.020590415981132537
8,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,6,3,13,10,138,1.0,,,base,0,0.020982,10,,4,7,False,,,,,False,,0,0,,17,0,,,123,range_area7,[],11127.182320072005,0,36.3364416117673,0.0,6,,,301.4436465,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,1.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3014.436465,,,True,0.02100004197563976
8,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,6,2,13,10,139,1.0,,,base,0,0.020784999999999942,10,,4,7,False,,2,1,2,False,,0,0,,17,0,,,124,faithful_area7,[],11127.182320072005,0,36.3364416117673,0.0,6,,,302.14364650000005,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,1.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,117,3021.436465,,,True,0.020805583975743502
7,0,True,0,0,0,0,0,uniform__iid__71,uniform__iid,7,,13,12,133,1.0,,,,,0.023394000000000026,12,,5,6,False,,,,,,,0,,,19,0,,,118,area_return1_7,[],12153.650482723764,0,40.99123897655369,0.0,7,,,266.14417483333335,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,,22,,4,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,110,3193.730098,,,True,0.0234161660191603
