Q3 5/93, 10 executions, 0.3s
Q3 10/93, 20 executions, 0.6s
Q3 15/93, 30 executions, 0.8s
Q3 20/93, 40 executions, 1.1s
Q3 25/93, 50 executions, 1.4s
Q3 30/93, 60 executions, 1.7s
Q3 35/93, 70 executions, 1.9s
Q3 40/93, 80 executions, 2.2s
Q3 45/93, 90 executions, 2.4s
Q3 50/93, 100 executions, 2.7s
Q3 55/93, 110 executions, 3.0s
Q3 60/93, 120 executions, 3.2s
Q3 65/93, 130 executions, 3.5s
Q3 70/93, 140 executions, 3.8s
Q3 75/93, 150 executions, 4.1s
Q3 76/93, 152 executions, 4.2s
Q3 77/93, 154 executions, 4.2s
Q3 78/93, 156 executions, 4.3s
Q3 79/93, 158 executions, 4.4s
Q3 80/93, 160 executions, 4.4s
Q3 81/93, 162 executions, 4.5s
Q3 82/93, 164 executions, 4.5s
Q3 83/93, 166 executions, 4.6s
Q3 84/93, 168 executions, 4.6s
Q3 85/93, 170 executions, 4.7s
Q3 86/93, 172 executions, 4.8s
Q3 87/93, 174 executions, 4.8s
Q3 88/93, 176 executions, 4.9s
Q3 89/93, 178 executions, 4.9s
Q3 90/93, 180 executions, 4.9s
Q3 91/93, 182 executions, 5.0s
Q3 92/93, 184 executions, 5.1s
Q3 93/93, 186 executions, 5.2s
Q4 5/93, 216 executions, 6.8s
Q4 10/93, 246 executions, 8.6s
Q4 15/93, 276 executions, 10.3s
Q4 20/93, 306 executions, 12.0s
Q4 25/93, 336 executions, 13.6s
Q4 30/93, 366 executions, 15.3s
Q4 35/93, 396 executions, 16.9s
Q4 40/93, 426 executions, 18.6s
Q4 45/93, 456 executions, 20.4s
Q4 50/93, 486 executions, 22.0s
Q4 55/93, 516 executions, 23.9s
Q4 60/93, 546 executions, 25.6s
Q4 65/93, 576 executions, 27.4s
Q4 70/93, 606 executions, 29.2s
Q4 75/93, 636 executions, 30.8s
Q4 76/93, 642 executions, 31.0s
Q4 77/93, 648 executions, 31.2s
Q4 78/93, 654 executions, 31.4s
Q4 79/93, 660 executions, 31.6s
Q4 80/93, 666 executions, 31.9s
Q4 81/93, 672 executions, 32.1s
Q4 82/93, 678 executions, 32.3s
Q4 83/93, 684 executions, 32.6s
Q4 84/93, 690 executions, 32.8s
Q4 85/93, 696 executions, 33.2s
Q4 86/93, 702 executions, 33.5s
Q4 87/93, 708 executions, 33.8s
Q4 88/93, 714 executions, 34.1s
Q4 89/93, 720 executions, 34.4s
Q4 90/93, 726 executions, 34.6s
Q4 91/93, 732 executions, 35.1s
Q4 92/93, 738 executions, 35.5s
Q4 93/93, 744 executions, 35.9s
Completed 744 executions
