active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,negative_history_limit,negative_hull_inconsistent_cuts,negative_hull_updates,negative_shadow_cuts,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,success_history_limit,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
6,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,0,12,10,136,1.0,,,locked,17,0.019654000000000005,10,,3,5,False,,True,,0,0,,0,0,,,122,range_locked_area7,[],11477.146886982022,,,,,0,53.406136007817565,0.0,7,,,307.8429376,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,9,,1,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,,117,3078.429376,,,True,0.020893250009976327
6,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,0,12,10,136,1.0,,,locked,17,0.01841100000000001,10,cached_distance_prefix_sum,3,5,False,,True,,0,0,,0,0,,,122,fast_locked_area7,[],11477.146886982022,,,,,0,53.406136007817565,0.0,7,,,307.8429376,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,9,,1,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,,117,3078.429376,,,True,0.01849683403270319
8,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,11,8,19,15,140,1.0,,,locked,22,0.03712500000000002,15,,4,8,False,,True,,0,0,,0,0,,,119,range_locked_area7,[],11126.421130519257,,,,,0,63.65259511219628,0.0,11,,,201.35228173333334,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,21,,5,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,,113,3020.284226,,,True,0.037139917025342584
8,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,11,8,19,15,140,1.0,,,locked,22,0.02937099999999998,15,cached_distance_prefix_sum,4,8,False,,True,,0,0,,0,0,,,119,fast_locked_area7,[],11126.421130519257,,,,,0,63.65259511219628,0.0,11,,,201.35228173333334,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,21,,5,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,,113,3020.284226,,,True,0.029382208012975752
3,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,4,6,15,15,150,1.0,,,locked,22,0.033267999999999964,15,,11,11,False,,True,,0,0,,0,0,,,133,range_locked_area7,[],12209.96216290716,,,,,0,27.812544972499893,0.0,4,,,220.33282893333333,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,31,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,,123,3304.992434,,,True,0.03328341699671
3,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,4,6,15,15,150,1.0,,,locked,22,0.02688600000000002,15,cached_distance_prefix_sum,11,11,False,,True,,0,0,,0,0,,,133,fast_locked_area7,[],12209.96216290716,,,,,0,27.812544972499893,0.0,4,,,220.33282893333333,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,31,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,,123,3304.992434,,,True,0.02690541697666049
5,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,4,2,11,10,139,1.0,,,locked,17,0.02105299999999999,10,,6,7,False,,True,,0,0,,0,0,,,126,range_locked_area7,[],10781.635850640385,,,,,0,33.084375729977445,0.0,4,,,295.5327167,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,1.0,10,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,,116,2955.327167,,,True,0.02109783299965784
5,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,4,2,11,10,139,1.0,,,locked,17,0.02102599999999999,10,cached_distance_prefix_sum,6,7,False,,True,,0,0,,0,0,,,126,fast_locked_area7,[],10781.635850640385,,,,,0,33.084375729977445,0.0,4,,,295.5327167,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,1.0,10,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,,116,2955.327167,,,True,0.021048916969448328
6,0,True,0,0,0,0,0,uniform__iid__71,uniform__iid,7,7,13,12,130,1.0,,,locked,19,0.027378999999999987,12,,5,6,False,,True,,0,0,,0,0,,,115,range_locked_area7,[],12528.940603213949,,,,,0,57.40958292707468,0.0,7,,,271.0656768333333,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,1.0,19,,2,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,,109,3252.788122,,,True,0.027380332991015166
6,0,True,0,0,0,0,0,uniform__iid__71,uniform__iid,7,7,13,12,130,1.0,,,locked,19,0.023440000000000016,12,cached_distance_prefix_sum,5,6,False,,True,,0,0,,0,0,,,115,fast_locked_area7,[],12528.940603213949,,,,,0,57.40958292707468,0.0,7,,,271.0656768333333,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,1.0,19,,2,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,,109,3252.788122,,,True,0.023480708012357354
