all_cleared,errors,max_total_s,max_wall_s,mean_commands,mean_optical_fallbacks,mean_pair_cuts,mean_per_source_s,mean_total_s,mean_wall_s,method,p95_total_s,problem,runs,slower_cases,split
75,0,3633.441833,0.03631150000728667,141.04,0.0,0.0,256.26268686488885,3091.9705532800003,0.024014643920430293,range_area7,3590.1899138999997,3,75,0,ordinary
75,0,3633.441833,0.04049608303466812,141.04,0.0,0.0,256.26268686488885,3091.9705532800003,0.02605279334820807,history_first8_area7,3590.1899138999997,3,75,0,ordinary
75,0,3633.441833,0.04406095796730369,141.04,0.0,0.0,256.26268686488885,3091.9705532800003,0.027647439488985886,history_ends8_area7,3590.1899138999997,3,75,0,ordinary
75,0,3633.441833,0.04500041698338464,141.04,0.0,0.0,256.26268686488885,3091.9705532800003,0.027719577797688542,history_ends16_area7,3590.1899138999997,3,75,0,ordinary
18,0,4704.144997,0.031018542009405792,130.05555555555554,0.0,0.0,273.2625248597222,3341.9234545555555,0.023294011667732976,range_area7,4682.41171505,3,18,0,stress
18,0,4704.144997,0.034943750011734664,130.05555555555554,0.0,0.0,273.2625248597222,3341.9234545555555,0.025082823885087337,history_first8_area7,4682.41171505,3,18,0,stress
18,0,4704.144997,0.03768125001806766,130.05555555555554,0.0,0.0,273.2625248597222,3341.9234545555555,0.026189951284322888,history_ends8_area7,4682.41171505,3,18,0,stress
18,0,4704.144997,0.03783654194558039,130.05555555555554,0.0,0.0,273.2625248597222,3341.9234545555555,0.026211814722046256,history_ends16_area7,4682.41171505,3,18,0,stress
75,0,6761.022463,0.05938699998660013,300.81333333333333,0.0,0.17333333333333334,516.8044711977777,6199.745994253333,0.03768467331848418,range_width015,6690.4609878,4,75,0,ordinary
75,0,6761.022463,0.0656622500391677,300.52,0.0,0.13333333333333333,514.8355361155556,6176.529668093333,0.04890287338135143,history_recent8_width015,6629.6270477,4,75,13,ordinary
75,0,6761.022463,0.06188966700574383,300.50666666666666,0.0,0.13333333333333333,514.6400633928888,6174.563346066668,0.04584858007884274,history_first8_width015,6629.6270477,4,75,12,ordinary
75,0,6761.022463,0.061675166012719274,300.52,0.0,0.10666666666666667,516.5779774166666,6196.774120666667,0.04339291334928324,history_ends4_width015,6629.6500126,4,75,8,ordinary
75,0,6761.022463,0.07172595802694559,300.52,0.0,0.13333333333333333,514.8355361155556,6176.529668093333,0.051525485534997036,history_ends8_width015,6629.6270477,4,75,13,ordinary
75,0,6760.305284,0.08977237500948831,300.3333333333333,0.0,0.05333333333333334,514.2940889002222,6169.872067853335,0.061919802761015795,history_ends16_width015,6630.4123241,4,75,15,ordinary
75,0,6584.522962,0.06775637494865805,298.3333333333333,0.0,0.22666666666666666,508.30988887999985,6092.211502960001,0.04413559383867929,fast_arc05_width015,6503.9459907,4,75,28,ordinary
75,0,6585.546318,0.07942595804343,297.96,0.0,0.2,506.66522129888887,6074.908166986666,0.05663062671199441,history_arc8_width015,6503.9459907,4,75,28,ordinary
75,0,6635.336448,0.052717290993314236,293.32,0.0,0.3333333333333333,504.2748225991111,6028.644731880001,0.037827888892497864,fast_locked_width015,6500.3999323,4,75,23,ordinary
75,0,6635.336448,0.06982954201521352,293.44,0.0,0.3466666666666667,503.6449866782222,6019.3180686666665,0.0503479449575146,history_locked8_width015,6499.8098475,4,75,23,ordinary
18,0,8092.02217,0.049932625028304756,331.1111111111111,0.0,3.0555555555555554,552.65879340625,6717.234549166667,0.03290711110781154,range_width015,7556.6288841,4,18,0,stress
18,0,7992.352586,0.0723186670220457,328.3333333333333,0.0,3.1666666666666665,535.0123884173612,6515.932368777777,0.050505155225336135,history_recent8_width015,7261.933066299999,4,18,1,stress
18,0,7992.352586,0.06494412501342595,327.6111111111111,0.0,3.111111111111111,538.1126413826389,6549.331490888889,0.04759422456522265,history_first8_width015,7578.750339699999,4,18,1,stress
18,0,8075.248838,0.060845542000606656,328.27777777777777,0.0,2.9444444444444446,538.7178461881945,6554.416526777777,0.04097488199477084,history_ends4_width015,7489.778548399999,4,18,0,stress
18,0,7992.352586,0.07932441699085757,327.6111111111111,0.0,3.111111111111111,537.70747949375,6542.848900666667,0.05512767383738214,history_ends8_width015,7578.750339699999,4,18,1,stress
18,0,7993.206502,0.12289191695163026,326.94444444444446,0.0,3.0,535.6053119208333,6526.210916166666,0.07929839804354641,history_ends16_width015,7320.935932799998,4,18,2,stress
18,0,7962.371104,0.0539556669536978,305.55555555555554,0.0,2.9444444444444446,508.0591220180556,6171.613711722222,0.03781969905766244,fast_arc05_width015,7499.435315849999,4,18,2,stress
18,0,7876.502569,0.07007254200289026,312.27777777777777,0.0,2.9444444444444446,518.1200827034722,6338.919778222222,0.05444312744980885,history_arc8_width015,7413.066364599999,4,18,3,stress
18,0,7328.777675,0.052752040966879576,333.0,0.0,2.9444444444444446,531.64607670625,6485.112944,0.03238376855087052,fast_locked_width015,7324.4761344,4,18,6,stress
18,0,7296.872829,0.07710866699926555,332.5,0.0,2.888888888888889,528.7630618083335,6451.463627166666,0.05261928466885971,history_locked8_width015,7288.0359774,4,18,6,stress
