active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,fixed_scan_order,forced_continuations,historical_anchor_mode,historical_cache_evictions,historical_inconsistent_cuts,historical_negative_limit,historical_pair_checks,historical_pair_cuts,historical_pair_updates,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,3,12,10,130,1.0,,,base,0,0.019127000000000005,10,,3,5,False,,False,,,,,,,,,0,0,,17,0,,,116,range_area7,[],12450.081271938308,0,49.195608055153805,0.0,7,,,323.8016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,112,3238.016252,,,True,0.019998583011329174
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,3,12,10,130,1.0,,,base,0,0.019017000000000006,10,,3,5,False,,False,,first,0,0,8,55,0,0,0,0,,17,0,,,116,history_first8_area7,[],12450.081271938308,0,49.195608055153805,0.0,7,,,323.8016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,112,3238.016252,,,True,0.019093957962468266
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,3,12,10,130,1.0,,,base,0,0.019233,10,,3,5,False,,False,,ends,0,0,8,84,0,0,0,0,,17,0,,,116,history_ends8_area7,[],12450.081271938308,0,49.195608055153805,0.0,7,,,323.8016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,112,3238.016252,,,True,0.01923233299748972
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,3,12,10,130,1.0,,,base,0,0.019538,10,,3,5,False,,False,,ends,0,0,16,84,0,0,0,0,,17,0,,,116,history_ends16_area7,[],12450.081271938308,0,49.195608055153805,0.0,7,,,323.8016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,112,3238.016252,,,True,0.019630666996818036
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,10,0,18,15,149,1.0,,,base,0,0.02791699999999997,15,,5,8,False,,False,,,,,,,,,0,0,,22,0,,,129,range_area7,[],11258.355683768476,0,68.94379760295948,0.0,10,,,206.9114092,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3103.671138,,,True,0.0279609159915708
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,10,0,18,15,149,1.0,,,base,0,0.031920000000000004,15,,5,8,False,,False,,first,0,0,8,519,0,0,0,0,,22,0,,,129,history_first8_area7,[],11258.355683768476,0,68.94379760295948,0.0,10,,,206.9114092,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3103.671138,,,True,0.03194512502523139
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,10,0,18,15,149,1.0,,,base,0,0.03623399999999999,15,,5,8,False,,False,,ends,0,0,8,776,0,0,0,0,,22,0,,,129,history_ends8_area7,[],11258.355683768476,0,68.94379760295948,0.0,10,,,206.9114092,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3103.671138,,,True,0.036277957959100604
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,10,0,18,15,149,1.0,,,base,0,0.035335000000000005,15,,5,8,False,,False,,ends,0,0,16,776,0,0,0,0,,22,0,,,129,history_ends16_area7,[],11258.355683768476,0,68.94379760295948,0.0,10,,,206.9114092,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3103.671138,,,True,0.035354332998394966
7,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,5,0,16,15,143,1.0,,,base,0,0.025629999999999986,15,,10,11,False,,False,,,,,,,,,0,0,,22,0,,,125,range_area7,[],12833.52283590028,0,49.76008032836796,0.0,5,,,225.5803046,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,28,,7,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,114,3383.704569,,,True,0.025710875052027404
7,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,5,0,16,15,143,1.0,,,base,0,0.030176999999999954,15,,10,11,False,,False,,first,0,0,8,551,0,0,0,0,,22,0,,,125,history_first8_area7,[],12833.52283590028,0,49.76008032836796,0.0,5,,,225.5803046,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,28,,7,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,114,3383.704569,,,True,0.030210290977265686
7,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,5,0,16,15,143,1.0,,,base,0,0.03232499999999994,15,,10,11,False,,False,,ends,0,0,8,760,0,0,0,0,,22,0,,,125,history_ends8_area7,[],12833.52283590028,0,49.76008032836796,0.0,5,,,225.5803046,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,28,,7,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,114,3383.704569,,,True,0.032348499982617795
7,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,5,0,16,15,143,1.0,,,base,0,0.032010000000000094,15,,10,11,False,,False,,ends,0,0,16,835,0,0,0,0,,22,0,,,125,history_ends16_area7,[],12833.52283590028,0,49.76008032836796,0.0,5,,,225.5803046,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,28,,7,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,114,3383.704569,,,True,0.03202574996976182
8,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,6,3,13,10,138,1.0,,,base,0,0.02036299999999991,10,,4,7,False,,False,,,,,,,,,0,0,,17,0,,,123,range_area7,[],11127.182320072005,0,36.3364416117673,0.0,6,,,301.4436465,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,1.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3014.436465,,,True,0.02036316698649898
