Q3 10/195, 40 executions, 2.6s
Q3 20/195, 80 executions, 5.3s
Q3 30/195, 120 executions, 8.1s
Q3 40/195, 160 executions, 10.9s
Q3 50/195, 200 executions, 13.6s
Q3 60/195, 240 executions, 16.5s
Q3 70/195, 280 executions, 19.4s
Q3 80/195, 320 executions, 22.4s
Q3 90/195, 360 executions, 25.3s
Q3 100/195, 400 executions, 28.2s
Q3 110/195, 440 executions, 30.8s
Q3 120/195, 480 executions, 33.3s
Q3 130/195, 520 executions, 36.0s
Q3 140/195, 560 executions, 38.7s
Q3 150/195, 600 executions, 41.4s
Q3 151/195, 604 executions, 41.6s
Q3 152/195, 608 executions, 41.8s
Q3 153/195, 612 executions, 42.1s
Q3 154/195, 616 executions, 42.4s
Q3 155/195, 620 executions, 42.7s
Q3 156/195, 624 executions, 43.0s
Q3 157/195, 628 executions, 43.3s
Q3 158/195, 632 executions, 43.7s
Q3 159/195, 636 executions, 44.0s
Q3 160/195, 640 executions, 44.2s
Q3 161/195, 644 executions, 44.5s
Q3 162/195, 648 executions, 44.7s
Q3 163/195, 652 executions, 45.0s
Q3 164/195, 656 executions, 45.3s
Q3 165/195, 660 executions, 45.6s
Q3 166/195, 664 executions, 46.0s
Q3 167/195, 668 executions, 46.3s
Q3 168/195, 672 executions, 46.6s
Q3 169/195, 676 executions, 46.8s
Q3 170/195, 680 executions, 47.0s
Q3 171/195, 684 executions, 47.2s
Q3 172/195, 688 executions, 47.4s
Q3 173/195, 692 executions, 47.6s
Q3 174/195, 696 executions, 47.9s
Q3 175/195, 700 executions, 48.2s
Q3 176/195, 704 executions, 48.4s
Q3 177/195, 708 executions, 48.7s
Q3 178/195, 712 executions, 48.9s
Q3 179/195, 716 executions, 49.1s
Q3 180/195, 720 executions, 49.3s
Q3 181/195, 724 executions, 49.6s
Q3 182/195, 728 executions, 49.9s
Q3 183/195, 732 executions, 50.1s
Q3 184/195, 736 executions, 50.4s
Q3 185/195, 740 executions, 50.8s
Q3 186/195, 744 executions, 51.1s
Q3 187/195, 748 executions, 51.3s
Q3 188/195, 752 executions, 51.5s
Q3 189/195, 756 executions, 51.7s
Q3 190/195, 760 executions, 52.0s
Q3 191/195, 764 executions, 52.2s
Q3 192/195, 768 executions, 52.4s
Q3 193/195, 772 executions, 52.8s
Q3 194/195, 776 executions, 53.1s
Q3 195/195, 780 executions, 53.4s
Q4 10/195, 890 executions, 58.5s
Q4 20/195, 1000 executions, 63.7s
Q4 30/195, 1110 executions, 68.9s
Q4 40/195, 1220 executions, 74.4s
Q4 50/195, 1330 executions, 79.4s
Q4 60/195, 1440 executions, 84.5s
Q4 70/195, 1550 executions, 89.5s
Q4 80/195, 1660 executions, 94.8s
Q4 90/195, 1770 executions, 100.1s
Q4 100/195, 1880 executions, 105.1s
Q4 110/195, 1990 executions, 109.9s
Q4 120/195, 2100 executions, 114.7s
Q4 130/195, 2210 executions, 119.6s
Q4 140/195, 2320 executions, 124.5s
Q4 150/195, 2430 executions, 129.2s
Q4 151/195, 2441 executions, 129.5s
Q4 152/195, 2452 executions, 129.8s
Q4 153/195, 2463 executions, 130.2s
Q4 154/195, 2474 executions, 130.6s
Q4 155/195, 2485 executions, 130.9s
Q4 156/195, 2496 executions, 131.3s
Q4 157/195, 2507 executions, 131.8s
Q4 158/195, 2518 executions, 132.2s
Q4 159/195, 2529 executions, 132.6s
Q4 160/195, 2540 executions, 133.0s
Q4 161/195, 2551 executions, 133.4s
Q4 162/195, 2562 executions, 133.8s
Q4 163/195, 2573 executions, 134.3s
Q4 164/195, 2584 executions, 134.8s
Q4 165/195, 2595 executions, 135.2s
Q4 166/195, 2606 executions, 135.8s
Q4 167/195, 2617 executions, 136.3s
Q4 168/195, 2628 executions, 136.8s
Q4 169/195, 2639 executions, 137.2s
Q4 170/195, 2650 executions, 137.7s
Q4 171/195, 2661 executions, 138.1s
Q4 172/195, 2672 executions, 138.5s
Q4 173/195, 2683 executions, 138.9s
Q4 174/195, 2694 executions, 139.4s
Q4 175/195, 2705 executions, 139.9s
Q4 176/195, 2716 executions, 140.4s
Q4 177/195, 2727 executions, 140.9s
Q4 178/195, 2738 executions, 141.3s
Q4 179/195, 2749 executions, 141.7s
Q4 180/195, 2760 executions, 142.1s
Q4 181/195, 2771 executions, 142.6s
Q4 182/195, 2782 executions, 143.1s
Q4 183/195, 2793 executions, 143.6s
Q4 184/195, 2804 executions, 144.2s
Q4 185/195, 2815 executions, 144.7s
Q4 186/195, 2826 executions, 145.3s
Q4 187/195, 2837 executions, 145.7s
Q4 188/195, 2848 executions, 146.2s
Q4 189/195, 2859 executions, 146.6s
Q4 190/195, 2870 executions, 147.1s
Q4 191/195, 2881 executions, 147.7s
Q4 192/195, 2892 executions, 148.2s
Q4 193/195, 2903 executions, 148.7s
Q4 194/195, 2914 executions, 149.3s
Q4 195/195, 2925 executions, 149.8s
Completed 2925 executions
