all_cleared,faster_cases,max_total_s,max_wall_s,mean_commands,mean_cpu_s,mean_init_s,mean_per_source_s,mean_total_s,mean_wall_s,method,p95_total_s,pooled_per_source_s,problem,runs,slower_cases,split,worst_regression_s
150,0,5370.473857,0.2654388750088401,143.03333333333333,0.19189497999999994,7.518771026904384e-05,343.84472031675483,4559.326534566667,0.1920825221746539,peer_layout9_proxy,5177.647793149999,340.2482488482587,3,150,0,ordinary,0.0
150,150,3819.868491,0.03709358401829377,143.73333333333332,0.026288873333333188,7.323299689839283e-05,239.1358217447259,3158.0529013733335,0.02630937270936556,area_return1_7,3569.5566522500003,235.67558965472637,3,150,0,ordinary,-343.4947619999998
150,150,3819.868491,0.0375819579930976,141.45333333333335,0.026138320000000017,7.969169489418467e-05,238.15397589613005,3144.37956804,0.026158495848843208,range_area7,3557.5566522500003,234.65519164477612,3,150,0,ordinary,-367.4947619999998
150,150,3819.868491,0.03649804199812934,141.58,0.026199126666666694,8.116857381537557e-05,238.21574909515326,3145.1662347066667,0.02622551605803892,faithful_area7,3557.5566522500003,234.71389811243782,3,150,0,ordinary,-367.4947619999998
45,0,5620.68945,0.30078879196662456,139.66666666666666,0.18604528888888927,7.0222240820941e-05,372.83310609363247,4701.005662622222,0.1862136730652613,peer_layout9_proxy,5461.980623799998,361.6158202017094,3,45,0,stress,0.0
45,39,4697.711753,0.03423591697355732,143.04444444444445,0.025671933333333955,7.504166828261481e-05,283.1276023895941,3547.6982606222227,0.0256914842615111,area_return1_7,4645.497127199999,272.8998662017094,3,45,6,stress,316.00505299999986
45,39,4697.711753,0.034711374959442765,142.04444444444445,0.02565433333333339,7.510924349642462e-05,282.6436707656624,3541.7204828444446,0.02567857222295263,range_area7,4645.497127199999,272.4400371418804,3,45,6,stress,316.00505299999986
45,39,4697.711753,0.0348647499922663,142.06666666666666,0.025778266666666463,7.682779881482324e-05,282.6564912784829,3541.8538161777783,0.025809341626397024,faithful_area7,4645.497127199999,272.45029355213677,3,45,6,stress,316.00505299999986
150,0,7162.686507,0.0703129589674063,326.03333333333336,0.04408245999999925,0.00028220614107946556,466.5631071153507,6145.010782013333,0.044125766374636444,packet_center22,6747.2852342999995,458.58289418009946,4,150,0,ordinary,0.0
150,112,7104.018095,0.05782404204364866,313.50666666666666,0.03886669333333316,0.00014791278595415255,458.24499221945473,6037.289715886667,0.03890116885420866,width40_f015_22,6673.644672949999,450.54400864825874,4,150,37,ordinary,1000.1740460000001
150,137,6918.018095,0.05681037501199171,290.1066666666667,0.038297453333333585,0.000144673859855781,447.836873477086,5897.2630492200005,0.03833495471898156,range_width015,6584.9962045,440.0942574044776,4,150,13,ordinary,839.1740460000001
150,136,6918.018095,0.05883583298418671,292.02,0.03858217333333414,0.00013510006091867885,448.79797573593834,5909.796382553333,0.038631769148244836,faithful_width015,6593.3788635,441.0295807875622,4,150,14,ordinary,855.070635
150,96,6957.732719,0.06409191701095551,307.2866666666667,0.04598436666666695,0.00013523222024862966,458.85980308000336,6040.096679426668,0.04602795416954905,arc05_noskip_width015,6686.272572299999,450.75348353930355,4,150,54,ordinary,694.0785189999997
150,111,6831.732719,0.0631033749668859,291.41333333333336,0.04560467333333293,0.00017982056636052827,451.7732459981963,5945.223346093334,0.0456470000592526,fast_arc05_width015,6570.066101149999,443.673384036816,4,150,39,ordinary,652.0785189999997
150,109,6831.732719,0.06384441698901355,292.94666666666666,0.04588298000000028,0.0001439766581946363,452.54155857450894,5955.183346093334,0.04592747305287048,faithful_arc05_width015,6575.476945699999,444.41666761890554,4,150,41,ordinary,652.0785189999997
150,94,7108.69383,0.06164083402836695,313.41333333333336,0.04216296666666618,0.0001403116648240636,460.3592795848802,6054.023222299999,0.04221039582819988,locked_noskip_width015,6739.982024999999,451.7927777835821,4,150,56,ordinary,1616.5650259999993
150,120,6823.970557,0.060276915959548205,279.75333333333333,0.04167606000000006,0.00014568499328258136,445.33483422468476,5854.523222299999,0.041713795854787655,faithful_locked_width015,6512.832955,436.9047180820895,4,150,30,ordinary,1397.5650259999993
150,134,6918.018095,0.06748783303191885,289.7266666666667,0.04684320666666674,0.00014253299954968194,447.7084042409679,5895.826190600001,0.04688565832407524,history_first8_width015,6590.14035895,439.98702914925383,4,150,16,ordinary,879.4772349999994
150,134,6918.018095,0.07357762497849762,289.72,0.04989189333333442,0.0001835271983873099,447.6971107211773,5895.653656480001,0.04994034005329013,history_recent8_width015,6590.14035895,439.9741534686568,4,150,16,ordinary,879.4772349999994
45,0,8509.972832,0.06809979100944474,361.9555555555556,0.04303899999999822,0.0002935759089369741,547.3169906010257,6827.748279266667,0.04310505368695077,packet_center22,7925.2951625999995,525.211406097436,4,45,0,stress,0.0
45,34,8089.181281,0.04464799998095259,343.8888888888889,0.03414866666666778,0.00016051384154707192,537.3506540318162,6728.662793577777,0.034180948201618676,width40_f015_22,7420.955684,517.5894456598289,4,45,11,stress,1364.6759380000003
45,37,8052.181281,0.04399741697125137,336.24444444444447,0.03395184444444289,0.00016919630579650402,533.5587950574572,6682.862793577777,0.03398408144065696,range_width015,7420.955684,514.0663687367521,4,45,8,stress,1340.6759380000003
45,37,8052.181281,0.04433341696858406,336.75555555555553,0.03415855555555507,0.00015154169199781286,533.8456753993376,6686.307238022221,0.03418334622531095,faithful_width015,7420.955684,514.3313260017093,4,45,8,stress,1340.6759380000003
45,33,8121.413024,0.059727540996391326,333.0888888888889,0.03961435555555618,0.0001521490242642661,529.7095826875427,6630.541976688887,0.03965557870558566,arc05_noskip_width015,7422.041724199999,510.0416905145298,4,45,12,stress,1673.7536209999998
45,36,8084.413024,0.05940649996045977,326.6,0.03925448888888923,0.00015397778608732752,526.7566553371154,6591.786421133332,0.03928695286417173,fast_arc05_width015,7420.955684,507.06049393333325,4,45,9,stress,1631.7536209999998
45,36,8084.413024,0.06047912500798702,327.15555555555557,0.03938837777777672,0.00014650093572628168,527.0381083285683,6595.341976688887,0.039421571337152274,faithful_arc05_width015,7420.955684,507.3339982068375,4,45,9,stress,1631.7536209999998
45,28,7611.703532,0.047841207997407764,342.31111111111113,0.034233333333331,0.00014879997535091307,536.1792745189744,6684.242415399999,0.034259303708353804,locked_noskip_width015,7524.2133607999995,514.1724934923077,4,45,17,stress,1880.7338039999995
45,35,7581.703532,0.04650837503140792,326.75555555555553,0.03408875555555445,0.00014974998258468177,529.0872873394871,6591.509082066666,0.03411991675772394,faithful_locked_width015,7446.424206999999,507.0391601589743,4,45,10,stress,1785.7338039999995
45,36,7845.549942,0.062477625033352524,331.73333333333335,0.04630386666666798,0.00014882493608941633,527.2406658531625,6589.143375111112,0.04634209529031068,history_first8_width015,7265.2112606,506.8571827008547,4,45,9,stress,1310.7596510000003
45,36,7845.549942,0.06989483401412144,331.73333333333335,0.05012571111111268,0.00022007871108750503,527.2074999223504,6588.700849288888,0.05016475275495193,history_recent8_width015,7265.2112606,506.82314225299143,4,45,9,stress,1310.7596510000003
