active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,faithful_attempt_memory_updates,faithful_nonstationary_retained,faithful_stationary_skips,fixed_scan_order,forced_continuations,historical_anchor_mode,historical_cache_evictions,historical_inconsistent_cuts,historical_negative_limit,historical_pair_checks,historical_pair_cuts,historical_pair_updates,inconsistent_updates,inferred_negative_memory_updates,initialization_s,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
20,0,True,,,,,,uniform__iid__127,uniform__iid,10,,10,10,160,,,,,,0.16614600000000002,10,,,,,,,,,,,,,,,,,,0,,9.566702647134662e-05,,,,,,148,peer_layout9_proxy,[],13682.311857358556,0,,0.0,,,,366.0462373,"[1, 4, 5, 7, 14, 15, 17, 18, 19, 20]",,3,127,,,,,,,10,ordinary,9,full_coverage_and_all_discovered_cleared,134,3660.462373,,,,0.16910808300599456
6,0,True,0,0,0,0,0,uniform__iid__127,uniform__iid,4,,11,10,152,1.0,,,,,0.020938999999999985,10,,6,7,False,,,,,,,,,,,,,,0,,8.68329661898315e-05,,17,0,,,139,area_return1_7,[],11947.641442085504,0,26.217242543648698,0.0,4,,,326.5528289,"[1, 4, 5, 7, 14, 15, 17, 18, 19, 20]",,3,127,,18,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,128,3265.528289,,,True,0.02108362503349781
6,0,True,0,0,0,0,0,uniform__iid__127,uniform__iid,4,4,11,10,148,1.0,,,base,0,0.021162999999999987,10,,6,7,False,,,,,False,,,,,,,,,0,0,8.158304262906313e-05,,17,0,,,135,range_area7,[],11947.641442085504,0,26.217242543648698,0.0,4,,,324.1528289,"[1, 4, 5, 7, 14, 15, 17, 18, 19, 20]",,3,127,1.0,18,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,124,3241.528289,,,True,0.02117858303245157
6,0,True,0,0,0,0,0,uniform__iid__127,uniform__iid,4,4,11,10,148,1.0,,,base,0,0.020907999999999982,10,,6,7,False,,4,0,4,False,,,,,,,,,0,0,7.825001375749707e-05,,17,0,,,135,faithful_area7,[],11947.641442085504,0,26.217242543648698,0.0,4,,,324.2528289,"[1, 4, 5, 7, 14, 15, 17, 18, 19, 20]",,3,127,1.0,18,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,125,3242.528289,,,True,0.02091179200215265
23,0,True,,,,,,uniform__iid__128,uniform__iid,16,,16,16,118,,,,,,0.16898200000000002,16,,,,,,,,,,,,,,,,,,0,,7.354200351983309e-05,,,,,,100,peer_layout9_proxy,[],20659.433056491944,0,,0.0,,,,300.055413375,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 20]",,3,128,,,,,,,16,ordinary,8,public_upper_bound_16,89,4800.886614,,,,0.16907704202458262
4,0,True,0,0,0,0,0,uniform__iid__128,uniform__iid,6,,16,16,128,1.0,,,,,0.029239000000000015,16,,10,10,False,,,,,,,,,,,,,,0,,5.704100476577878e-05,,21,2,,,110,area_return1_7,[],13264.067489713614,0,47.88197916411135,0.0,6,,,211.4883436875,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 20]",,3,128,,30,,1,,,16,ordinary,5,public_upper_bound_16,101,3383.813499,,,True,0.029258083028253168
4,0,True,0,0,0,0,0,uniform__iid__128,uniform__iid,6,6,16,16,122,1.0,,,base,0,0.027765999999999957,16,,10,10,False,,,,,False,,,,,,,,,0,0,7.750000804662704e-05,,21,2,,,104,range_area7,[],13264.067489713614,0,47.88197916411135,0.0,6,,,209.2383436875,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 20]",,3,128,1.0,30,,1,,,16,ordinary,5,public_upper_bound_16,95,3347.813499,,,True,0.027841541974339634
4,0,True,0,0,0,0,0,uniform__iid__128,uniform__iid,6,6,16,16,122,1.0,,,base,0,0.028410999999999964,16,,10,10,False,,6,0,6,False,,,,,,,,,0,0,8.054100908339024e-05,,21,2,,,104,faithful_area7,[],13264.067489713614,0,47.88197916411135,0.0,6,,,209.2383436875,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 20]",,3,128,1.0,30,,1,,,16,ordinary,5,public_upper_bound_16,95,3347.813499,,,True,0.02845924999564886
23,0,True,,,,,,uniform__iid__129,uniform__iid,14,,14,14,129,,,,,,0.180446,14,,,,,,,,,,,,,,,,,,0,,5.9165991842746735e-05,,,,,,113,peer_layout9_proxy,[],20466.989803045504,0,,0.0,,,,344.8855684285714,"[2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 16, 17, 18, 19]",,3,129,,,,,,,14,ordinary,9,full_coverage_and_all_discovered_cleared,100,4828.397958,,,,0.18061254097847268
6,0,True,0,0,0,0,0,uniform__iid__129,uniform__iid,8,,17,14,149,1.0,,,,,0.028117999999999976,14,,6,9,False,,,,,,,,,,,,,,0,,5.7958008255809546e-05,,21,0,,,130,area_return1_7,[],11119.160963655,0,66.65856727368794,0.0,8,,,219.63087107142857,"[2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 16, 17, 18, 19]",,3,129,,26,,1,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,122,3074.832195,,,True,0.028151792008429766
6,0,True,0,0,0,0,0,uniform__iid__129,uniform__iid,8,11,17,14,138,1.0,,,base,0,0.028206999999999982,14,,6,9,False,,,,,False,,,,,,,,,0,0,7.358402945101261e-05,,21,0,,,119,range_area7,[],11119.160963655,0,66.65856727368794,0.0,8,,,214.91658535714285,"[2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 16, 17, 18, 19]",,3,129,1.0,26,,1,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,111,3008.832195,,,True,0.028214916994329542
