problem,method,category,runs,all_cleared,mean_per_source_s,max_per_source_s,max_total_s,mean_commands
3,joint7,boundary_outward,9,9,363.9653808642094,441.05974720000006,4827.676442,163.88888888888889
3,joint7,boundary_tangent,9,9,360.1016513222222,438.44177550000006,4848.942224,163.55555555555554
3,joint7,cluster_far20,9,9,212.30544615705128,291.2509517,2912.509517,100.11111111111111
3,joint7,clustered__adversarial-negative,10,10,215.36787159166292,276.3937869090909,3196.254412,143.2
3,joint7,clustered__adversarial-positive,10,10,213.96022258936273,286.8150642727273,3377.76606,144.8
3,joint7,clustered__adversarial-spatial,10,10,206.80606322000412,265.21367063636364,3101.763703,134.5
3,joint7,clustered__iid,10,10,206.2954614698755,262.79252425,3153.510291,133.1
3,joint7,clustered__smooth,10,10,205.8175882330207,272.75364918181816,3028.380029,129.5
3,joint7,edge__adversarial-negative,10,10,269.0805780940168,315.4798959090909,4064.670468,149.2
3,joint7,edge__adversarial-positive,10,10,269.24894645226607,313.1107191818182,4039.222267,147.7
3,joint7,edge__adversarial-spatial,10,10,272.42827104986844,319.9712820909091,4101.900908,152.3
3,joint7,edge__iid,10,10,270.29572393684026,318.61093090909094,4071.020474,148.0
3,joint7,edge__smooth,10,10,269.76976595951174,315.2619741818182,4025.822855,146.3
3,joint7,near_collinear,9,9,236.5016584735043,313.2709519,3132.709519,124.44444444444444
3,joint7,range_transition,9,9,259.94862904561967,311.8751598,3729.393708,163.77777777777777
3,joint7,uniform__adversarial-negative,10,10,254.30507572659135,321.3112529090909,3547.647675,150.1
3,joint7,uniform__adversarial-positive,10,10,251.54588224471695,306.2471009090909,3696.436567,150.2
3,joint7,uniform__adversarial-spatial,10,10,255.00282359922744,326.89772018181816,3744.531947,149.4
3,joint7,uniform__iid,10,10,249.37239108183152,319.0561211818182,3509.617333,141.6
3,joint7,uniform__smooth,10,10,250.03697060698806,326.2733498181818,3589.006848,145.1
3,joint9,boundary_outward,9,9,343.0358404652777,410.6263506,4781.641845,179.77777777777777
3,joint9,boundary_tangent,9,9,333.04614291613245,407.27571750000004,4640.35597,178.77777777777777
3,joint9,cluster_far20,9,9,212.6341304380342,305.6268738,3072.365899,107.22222222222223
3,joint9,clustered__adversarial-negative,10,10,225.8715653238412,301.23751263636365,3392.102156,143.2
3,joint9,clustered__adversarial-positive,10,10,232.04332466175282,290.75430863636365,3415.59598,147.0
3,joint9,clustered__adversarial-spatial,10,10,231.66327960006828,291.2361465454546,3456.703779,148.4
3,joint9,clustered__iid,10,10,229.27979945029014,287.590057,3399.870852,140.0
3,joint9,clustered__smooth,10,10,220.99442227967074,293.230204,3372.571576,138.7
3,joint9,edge__adversarial-negative,10,10,262.7480277074359,314.5758019090909,3775.134146,166.2
3,joint9,edge__adversarial-positive,10,10,264.96118958540256,313.6364911818182,3834.221472,166.7
3,joint9,edge__adversarial-spatial,10,10,268.19337165750795,316.7648271818182,3905.429759,171.9
3,joint9,edge__iid,10,10,262.21824525811434,318.50405772727277,3759.4166,163.3
3,joint9,edge__smooth,10,10,263.56613946715663,318.734127,3776.471716,163.7
3,joint9,near_collinear,9,9,260.4688083494658,350.58186489999997,3505.818649,140.0
3,joint9,range_transition,9,9,278.88852636089746,336.9127839,3875.30836,180.88888888888889
3,joint9,uniform__adversarial-negative,10,10,269.6402828693598,328.5423228181818,3882.84332,162.9
3,joint9,uniform__adversarial-positive,10,10,271.01258285614136,328.38942372727274,3911.515822,163.9
3,joint9,uniform__adversarial-spatial,10,10,266.1825495834965,331.75744163636364,3953.251757,159.7
