active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,clear_calls,cleared,commands,coverage_full_survey_points,cpu_s,discovered_channels,discovery_cover_radius,dynamic_cover_checks,early_optical_success,early_optical_trials,extra_discovery_measurements,extra_discovery_sites,failure,inconsistent_updates,initialization_s,joint_route_solves,known_upper_bound_skips,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_max_cover_radius,per_source_s,policy_cleared_channels,problem,pruned_stations,replaced_stations,replacement_measurements,replacement_proposals,replacement_surveys,seed,shared_known_measurements,skipped_precise_measurements,sources,split,stations_visited,stop_reason,switches,total_virtual_s,wall_s
25,0,True,,,,,,uniform__iid__77,uniform__iid,16,16,16,136,,0.195502,16,,,,,,,,0,2.804200630635023e-05,,,118,peer_layout9_proxy,[],17938.72467384485,0,0.0,272.796558375,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 20]",3,,,,,,77,,,16,ordinary,8,public_upper_bound_16,107,4364.744934,0.19570595800178126
13,0,True,,,,,,uniform__iid__77,uniform__iid,9,18,16,135,,0.02679300000000001,16,,0,7,9,0,0,,0,9.708298603072762e-05,,,115,shared9,[],16257.95460963712,0,0.0,251.2869324375,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 20]",3,0,,,,,77,9,0,16,ordinary,8,public_upper_bound_16,108,4020.590919,0.02681025001220405
8,0,True,0,0,0,0,0,uniform__iid__77,uniform__iid,10,20,16,151,,0.02785700000000002,16,,,6,10,,,,0,5.874998169019818e-05,23,,129,joint7,[],12650.663840129846,0,0.0,211.5707980625,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 20]",3,,,,,,77,21,13,16,ordinary,7,public_upper_bound_16,118,3385.132769,0.027903083013370633
9,0,True,0,0,0,0,0,uniform__iid__77,uniform__iid,11,17,16,144,,0.02648600000000001,16,,,5,6,,,,0,7.162499241530895e-05,25,,125,joint9,[],13384.212343420912,0,0.0,218.740154375,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 20]",3,,,,,,77,16,1,16,ordinary,9,public_upper_bound_16,115,3499.84247,0.026504584006033838
26,0,True,,,,,,uniform__iid__78,uniform__iid,16,16,16,94,,0.20104800000000006,16,,,,,,,,0,6.474996916949749e-05,,,76,peer_layout9_proxy,[],18848.572503144103,0,0.0,268.357156375,"[1, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 19, 20]",3,,,,,,78,,,16,ordinary,5,public_upper_bound_16,64,4293.714502,0.20121466601267457
14,0,True,,,,,,uniform__iid__78,uniform__iid,10,18,16,98,,0.02516699999999994,16,,0,6,8,0,0,,0,7.470801938325167e-05,,,78,shared9,[],14056.68548668196,0,0.0,210.0835684375,"[1, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 19, 20]",3,0,,,,,78,6,0,16,ordinary,6,public_upper_bound_16,74,3361.337095,0.02516558300703764
5,0,True,0,0,0,0,0,uniform__iid__78,uniform__iid,6,17,16,136,,0.029875000000000096,16,,,10,11,,,,0,5.3540978115051985e-05,22,,117,joint7,[],12600.530312294757,0,0.0,205.881629,"[1, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 19, 20]",3,,,,,,78,28,4,16,ordinary,6,public_upper_bound_16,106,3294.106064,0.02990666701225564
6,0,True,0,0,0,0,0,uniform__iid__78,uniform__iid,12,17,16,121,,0.02767200000000003,16,,,4,5,,,,0,5.945900920778513e-05,22,,102,joint9,[],11527.571110850682,0,0.0,186.844638875,"[1, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 19, 20]",3,,,,,,78,23,7,16,ordinary,6,public_upper_bound_16,91,2989.514222,0.027724084036890417
18,0,True,,,,,,uniform__iid__79,uniform__iid,11,11,11,146,,0.157435,11,,,,,,,,0,6.0125021263957024e-05,,,133,peer_layout9_proxy,[],18475.277214519443,0,0.0,412.36867627272727,"[2, 3, 6, 8, 12, 15, 16, 17, 18, 19, 20]",3,,,,,,79,,,11,ordinary,9,full_coverage_and_all_discovered_cleared,121,4536.055439,0.15755620901472867
12,0,True,,,,,,uniform__iid__79,uniform__iid,6,14,11,153,,0.022361999999999993,11,778.6166859055267,1,5,8,0,0,,0,7.020804332569242e-05,,,137,shared9,[],15156.118981279673,0,0.0,355.1112540909091,"[2, 3, 6, 8, 12, 15, 16, 17, 18, 19, 20]",3,0,,,,,79,6,0,11,ordinary,9,continuous_dynamic_coverage_and_all_discovered_cleared,126,3906.223795,0.022361166949849576
