Q3 5/93, 25 executions, 0.8s
Q3 10/93, 50 executions, 1.8s
Q3 15/93, 75 executions, 2.6s
Q3 20/93, 100 executions, 3.5s
Q3 25/93, 125 executions, 4.4s
Q3 30/93, 150 executions, 5.2s
Q3 35/93, 175 executions, 6.0s
Q3 40/93, 200 executions, 6.8s
Q3 45/93, 225 executions, 7.6s
Q3 50/93, 250 executions, 8.4s
Q3 55/93, 275 executions, 9.1s
Q3 60/93, 300 executions, 9.9s
Q3 65/93, 325 executions, 10.7s
Q3 70/93, 350 executions, 11.5s
Q3 75/93, 375 executions, 12.4s
Q3 76/93, 380 executions, 12.5s
Q3 77/93, 385 executions, 12.7s
Q3 78/93, 390 executions, 12.8s
Q3 79/93, 395 executions, 13.0s
Q3 80/93, 400 executions, 13.2s
Q3 81/93, 405 executions, 13.4s
Q3 82/93, 410 executions, 13.5s
Q3 83/93, 415 executions, 13.7s
Q3 84/93, 420 executions, 13.8s
Q3 85/93, 425 executions, 14.0s
Q3 86/93, 430 executions, 14.2s
Q3 87/93, 435 executions, 14.4s
Q3 88/93, 440 executions, 14.6s
Q3 89/93, 445 executions, 14.7s
Q3 90/93, 450 executions, 14.8s
Q3 91/93, 455 executions, 15.0s
Q3 92/93, 460 executions, 15.1s
Q3 93/93, 465 executions, 15.3s
Q4 5/93, 505 executions, 17.3s
Q4 10/93, 545 executions, 19.4s
Q4 15/93, 585 executions, 21.5s
Q4 20/93, 625 executions, 23.6s
Q4 25/93, 665 executions, 25.5s
Q4 30/93, 705 executions, 27.3s
Q4 35/93, 745 executions, 29.2s
Q4 40/93, 785 executions, 31.1s
Q4 45/93, 825 executions, 33.1s
Q4 50/93, 865 executions, 34.9s
Q4 55/93, 905 executions, 36.7s
Q4 60/93, 945 executions, 38.6s
Q4 65/93, 985 executions, 40.7s
Q4 70/93, 1025 executions, 42.7s
Q4 75/93, 1065 executions, 44.5s
Q4 76/93, 1073 executions, 44.8s
Q4 77/93, 1081 executions, 45.0s
Q4 78/93, 1089 executions, 45.3s
Q4 79/93, 1097 executions, 45.6s
Q4 80/93, 1105 executions, 45.9s
Q4 81/93, 1113 executions, 46.2s
Q4 82/93, 1121 executions, 46.5s
Q4 83/93, 1129 executions, 46.8s
Q4 84/93, 1137 executions, 47.1s
Q4 85/93, 1145 executions, 47.6s
Q4 86/93, 1153 executions, 48.0s
Q4 87/93, 1161 executions, 48.4s
Q4 88/93, 1169 executions, 48.8s
Q4 89/93, 1177 executions, 49.1s
Q4 90/93, 1185 executions, 49.4s
Q4 91/93, 1193 executions, 49.8s
Q4 92/93, 1201 executions, 50.2s
Q4 93/93, 1209 executions, 50.6s
Completed 1209 executions
