all_cleared,errors,max_total_s,max_wall_s,mean_commands,mean_optical_fallbacks,mean_pair_cuts,mean_per_source_s,mean_total_s,mean_wall_s,method,p95_total_s,problem,runs,slower_cases,split
75,0,3664.31922,0.036997374962083995,142.49333333333334,0.0,0.0,257.0465259344444,3101.7773244533337,0.024130147785569232,clearance7,3614.8616506,3,75,0,ordinary
75,0,3802.695455,0.038378417026251554,143.06666666666666,0.0,0.0,253.63205643599997,3060.484263866667,0.024684496159510065,packet_center7,3738.2584122,3,75,17,ordinary
75,0,3848.530311,0.09043508302420378,146.34666666666666,0.0,0.0,258.42010975622225,3120.19042472,0.04314338383652891,packet_action7,3767.6543128999997,3,75,41,ordinary
75,0,3949.717008,0.08496704103890806,141.14666666666668,0.0,0.0,261.0742667182222,3149.642202413334,0.04036911159055308,packet_nearest7,3756.1324623,3,75,50,ordinary
75,0,3996.952118,0.0388040830148384,163.10666666666665,0.0,0.0,277.460459336,3335.1989524133332,0.026726509931807717,packet_center9,3680.0236102,3,75,64,ordinary
18,0,4717.088281,0.03139549994375557,130.22222222222223,0.0,0.0,275.9459367298611,3369.7437094444444,0.023519143607700244,clearance7,4698.8945954,3,18,0,stress
18,0,4717.088281,0.031861833995208144,135.11111111111111,0.0,0.0,276.1201985138889,3364.9068780555554,0.02467598377390661,packet_center7,4698.8945954,3,18,6,stress
18,0,5211.042927,0.07225366594502702,139.44444444444446,0.0,0.0,286.84659945625003,3503.778675,0.04427812960865493,packet_action7,5199.50401465,3,18,11,stress
18,0,5673.733867,0.04841995798051357,128.88888888888889,0.0,0.0,289.2199135763889,3551.217380555556,0.038180467607970864,packet_nearest7,5671.4934472,3,18,14,stress
18,0,4162.211668,0.03630041697761044,147.0,0.0,0.0,275.62807868402774,3321.9301784444447,0.025468773166519694,packet_center9,4141.96096795,3,18,9,stress
75,0,7019.091341,0.06586358300410211,331.12,0.0,1.7733333333333334,536.1420379913332,6430.982406426667,0.04183430554888522,quarter22,6915.001745199999,4,75,0,ordinary
75,0,7362.564879,0.07111374998930842,329.85333333333335,0.0,1.4266666666666667,531.4638690551111,6374.990523053333,0.04250185219648605,packet_center22,6887.370371999999,4,75,28,ordinary
75,0,7209.920958,0.0815658750361763,333.12,0.0,2.066666666666667,530.0683188833333,6375.034588653333,0.05040013225205864,packet_action22,6987.5703103,4,75,31,ordinary
75,0,7200.046023,0.07986312499269843,332.08,0.0,2.3333333333333335,530.937227866,6388.494533346667,0.04898593774686257,packet_action4_22,6882.0286654,4,75,34,ordinary
75,0,7209.920958,0.085232375015039,332.82666666666665,0.0,2.0533333333333332,529.7817618611112,6370.73623332,0.05065603501085813,packet_action24_22,6987.5703103,4,75,31,ordinary
75,0,7757.373878,0.06155858305282891,324.38666666666666,0.0,2.6133333333333333,557.1491900180001,6700.875705533333,0.041406616588744026,packet_nearest22,7627.6837887,4,75,56,ordinary
75,0,7147.343006,0.05493320903042331,327.2133333333333,0.0,3.4266666666666667,536.1330469193333,6433.730966053334,0.03924267614803587,packet_half22,7073.257815200001,4,75,32,ordinary
75,0,7306.416813,0.07647099997848272,353.58666666666664,0.0,1.7466666666666666,554.0960252517777,6651.566804066667,0.0535716927695709,packet_action25,7243.1843141,4,75,54,ordinary
18,0,8387.436014,0.059251541970297694,343.55555555555554,0.3333333333333333,12.055555555555555,554.4754011361111,6753.361689777778,0.03615639127545162,quarter22,8309.12547915,4,18,0,stress
18,0,8387.436014,0.05382920795818791,344.77777777777777,0.3333333333333333,10.944444444444445,572.6062939583334,6978.057186000001,0.03882800455256882,packet_center22,8309.12547915,4,18,11,stress
18,0,8173.383667,0.06595833401661366,336.8333333333333,0.3333333333333333,12.0,542.7731009270833,6617.480563833333,0.042740601936303496,packet_action22,7452.381679799999,4,18,7,stress
18,0,8173.383667,0.0658069999772124,334.94444444444446,0.3333333333333333,11.833333333333334,540.2393702666666,6598.8390475,0.040461705949079864,packet_action4_22,7452.381679799999,4,18,6,stress
18,0,8173.383667,0.06446845800383016,337.1111111111111,0.3333333333333333,12.11111111111111,543.1520025763889,6623.542990222221,0.04322452555384694,packet_action24_22,7452.381679799999,4,18,7,stress
18,0,8174.870183,0.05401650001294911,333.44444444444446,0.3333333333333333,11.444444444444445,546.9513955354166,6690.024167500001,0.03416497711764856,packet_nearest22,7919.79997725,4,18,4,stress
18,0,9706.201479,0.04432483296841383,350.44444444444446,0.0,22.0,590.2613968840277,7222.560405944445,0.03537216893487817,packet_half22,9633.67323405,4,18,13,stress
18,0,7927.238641,0.06594650004990399,371.0,0.3333333333333333,8.444444444444445,564.8071845083333,6783.1703701666665,0.04708283093835538,packet_action25,7900.10517305,4,18,12,stress
