active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,clear_calls,cleared,commands,cpu_s,discovered_channels,early_optical_success,early_optical_trials,failure,forced_continuations,inconsistent_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,problem,seed,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,wall_s
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,12,10,133,0.01900200000000002,10,3,5,,,0,,17,0,,,119,clearance7,[],12450.081271938308,0,49.195608055153805,0.0,7,,,325.5016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3255.016252,0.019027500005904585
6,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,12,10,133,0.01884199999999997,10,3,5,,0,0,1,23,0,1,1,119,packet_center7,[],11934.779666370265,0,53.614094205275826,0.0,7,,0,315.19559319999996,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,7,,1,1,16,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3151.955932,0.018950166006106883
6,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,8,12,10,138,0.031126000000000043,10,2,4,,0,0,1,23,0,2,2,124,packet_action7,[],11586.583256465645,0,80.38570780065078,0.0,8,,0,311.2316651,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,10,,1,1,16,10,ordinary,7,full_coverage_and_all_discovered_cleared,119,3112.316651,0.03116462501930073
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,5,12,10,140,0.03360099999999999,10,5,7,,0,0,2,0,0,2,2,126,packet_nearest7,[],11550.518837058517,0,44.865442851318456,0.0,5,,0,311.51037660000003,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,12,,0,2,17,10,ordinary,7,full_coverage_and_all_discovered_cleared,119,3115.103766,0.03363491699565202
9,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,6,12,10,161,0.022465999999999986,10,4,6,,0,0,5,27,0,3,3,147,packet_center9,[],12668.740079309171,0,72.4876417967333,0.0,6,,1,345.8748016,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,11,,1,5,18,10,ordinary,9,full_coverage_and_all_discovered_cleared,134,3458.748016,0.02248116600094363
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,10,18,15,149,0.028698999999999975,15,5,8,,,0,,22,0,,,129,clearance7,[],11258.355683768476,0,68.94379760295948,0.0,10,,,206.9114092,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3103.671138,0.02870904200244695
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,10,18,15,149,0.02793000000000001,15,5,8,,0,0,1,29,0,2,2,129,packet_center7,[],11178.901998813919,0,63.07443234836325,0.0,10,,0,205.85202673333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,33,,0,1,22,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3087.780401,0.027951041993219405
5,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,6,17,15,146,0.063631,15,9,11,,0,0,1,27,0,2,2,127,packet_action7,[],11917.53938729709,0,39.428488738344626,0.0,6,,0,214.5671918,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,20,,0,1,20,15,ordinary,7,full_coverage_and_all_discovered_cleared,119,3218.507877,0.06395691598299891
8,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,9,18,15,147,0.04975300000000005,15,6,9,,0,0,2,0,0,2,2,127,packet_nearest7,[],11488.274573586235,0,52.77472949823022,0.0,9,,0,209.24366106666668,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,31,,0,2,23,15,ordinary,7,full_coverage_and_all_discovered_cleared,122,3138.654916,0.04976729099871591
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,5,17,15,172,0.02990400000000004,15,10,12,,0,0,3,30,0,3,3,153,packet_center9,[],11534.19261408418,0,39.817063190945106,0.0,5,,1,219.7892348,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,33,,1,3,21,15,ordinary,9,full_coverage_and_all_discovered_cleared,144,3296.838522,0.02992558403639123
7,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,5,16,15,143,0.025554999999999994,15,10,11,,,0,,22,0,,,125,clearance7,[],12816.592261362626,0,49.867072043299636,0.0,5,,,225.3545636,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,28,,7,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,114,3380.318454,0.025579791981726885
7,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,5,16,15,143,0.027310999999999974,15,10,11,,0,0,1,29,0,2,2,125,packet_center7,[],12191.841886001297,0,49.216661367843024,0.0,5,,0,217.0245586,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,28,,1,1,22,15,ordinary,7,full_coverage_and_all_discovered_cleared,114,3255.368379,0.02734316699206829
