5/93 cases, 80 executions, 6.3s
10/93 cases, 160 executions, 12.3s
15/93 cases, 240 executions, 18.4s
20/93 cases, 320 executions, 24.3s
25/93 cases, 400 executions, 30.6s
30/93 cases, 480 executions, 37.3s
35/93 cases, 560 executions, 44.0s
40/93 cases, 640 executions, 50.5s
45/93 cases, 720 executions, 57.1s
50/93 cases, 800 executions, 63.8s
55/93 cases, 880 executions, 70.2s
60/93 cases, 960 executions, 76.4s
65/93 cases, 1040 executions, 82.7s
70/93 cases, 1120 executions, 88.9s
75/93 cases, 1200 executions, 95.5s
76/93 cases, 1216 executions, 96.8s
77/93 cases, 1232 executions, 97.9s
78/93 cases, 1248 executions, 99.0s
79/93 cases, 1264 executions, 100.8s
80/93 cases, 1280 executions, 103.1s
81/93 cases, 1296 executions, 105.2s
82/93 cases, 1312 executions, 106.2s
83/93 cases, 1328 executions, 107.1s
84/93 cases, 1344 executions, 108.2s
85/93 cases, 1360 executions, 109.7s
86/93 cases, 1376 executions, 111.2s
87/93 cases, 1392 executions, 112.8s
88/93 cases, 1408 executions, 114.2s
89/93 cases, 1424 executions, 115.5s
90/93 cases, 1440 executions, 116.9s
91/93 cases, 1456 executions, 119.0s
92/93 cases, 1472 executions, 120.9s
93/93 cases, 1488 executions, 123.1s
{"executions": 1488, "all_cleared": 1488, "errors": 0, "wall_s": 123.07448270899476}
