active_measurements,active_no_signal,all_cleared,case_id,category,certified_clears,clear_calls,cleared,commands,cpu_s,discovered_channels,early_optical_success,early_optical_trials,failure,inconsistent_updates,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_max_cover_radius,per_source_s,policy_cleared_channels,route_compute_s,route_replans,seed,skipped_precise_measurements,sources,split,stations_visited,stop_reason,switches,total_virtual_s,visited_original_indices,wall_s
16,0,True,uniform__iid__67,uniform__iid,10,10,10,150,0.13662400000000002,10,,,,0,138,baseline_peer9,[],16715.178060343696,0,0.0,421.10356119999994,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,,67,,10,ordinary,9,full_coverage_and_all_discovered_cleared,128,4211.035612,,0.1448487499728799
17,0,True,uniform__iid__67,uniform__iid,10,10,10,127,0.133943,10,,,,0,115,baseline_ring7,[],15398.20229216294,0,0.0,381.0640459,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,,67,,10,ordinary,7,full_coverage_and_all_discovered_cleared,106,3810.640459,,0.13441254099598154
15,0,True,uniform__iid__67,uniform__iid,10,10,10,143,0.11379,10,,,,0,131,dynamic_greedy9,[],15381.601567490754,0,0.0,390.4320314,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0.00023600104032084346,9,67,,10,ordinary,9,full_coverage_and_all_discovered_cleared,123,3904.320314,"[0, 1, 8, 7, 6, 5, 4, 3, 2]",0.11405637499410659
15,0,True,uniform__iid__67,uniform__iid,10,10,10,143,0.11346299999999998,10,,,,0,131,dynamic_two_opt9,[],15381.601567490754,0,0.0,390.4320314,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0.000259959080722183,9,67,,10,ordinary,9,full_coverage_and_all_discovered_cleared,123,3904.320314,"[0, 1, 8, 7, 6, 5, 4, 3, 2]",0.11375587497605011
4,0,True,uniform__iid__67,uniform__iid,10,10,10,186,0.05740199999999995,10,0,0,,0,174,deferred9,[],16095.780046053684,0,0.0,430.5156008,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,,67,10,10,ordinary,9,full_coverage_and_all_discovered_cleared,166,4305.156008,,0.05770337500143796
4,0,True,uniform__iid__67,uniform__iid,10,10,10,186,0.05684,10,0,0,,0,174,opportunistic200_9,[],16095.780046053684,0,0.0,430.5156008,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,,67,10,10,ordinary,9,full_coverage_and_all_discovered_cleared,166,4305.156008,,0.05696629197336733
4,0,True,uniform__iid__67,uniform__iid,10,10,10,186,0.05676599999999998,10,0,0,,0,174,opportunistic600_9,[],16095.780046053684,0,0.0,430.5156008,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,,67,10,10,ordinary,9,full_coverage_and_all_discovered_cleared,166,4305.156008,,0.05693100002827123
16,0,True,uniform__iid__67,uniform__iid,8,14,10,154,0.09070499999999992,10,2,6,,0,138,trial80_9,[],16690.990395618133,0,0.0,421.8198079,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,,67,0,10,ordinary,9,full_coverage_and_all_discovered_cleared,128,4218.198079,,0.09098241699393839
16,0,True,uniform__iid__67,uniform__iid,10,10,10,150,0.022650999999999977,10,0,0,,0,138,cov_mean9,[],16688.31952175881,0,0.0,420.5663904,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,,67,0,10,ordinary,9,full_coverage_and_all_discovered_cleared,128,4205.663904,,0.022708042000886053
16,0,True,uniform__iid__67,uniform__iid,8,14,10,154,0.02031699999999992,10,2,6,,0,138,cov_trial80_9,[],16690.990395618133,0,0.0,421.8198079,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,,67,0,10,ordinary,9,full_coverage_and_all_discovered_cleared,128,4218.198079,,0.020330000028479844
