Q3 5/93, 45 executions, 2.0s
Q3 10/93, 90 executions, 3.9s
Q3 15/93, 135 executions, 5.9s
Q3 20/93, 180 executions, 7.8s
Q3 25/93, 225 executions, 9.8s
Q3 30/93, 270 executions, 11.8s
Q3 35/93, 315 executions, 13.8s
Q3 40/93, 360 executions, 15.9s
Q3 45/93, 405 executions, 17.9s
Q3 50/93, 450 executions, 19.9s
Q3 55/93, 495 executions, 21.7s
Q3 60/93, 540 executions, 23.5s
Q3 65/93, 585 executions, 25.4s
Q3 70/93, 630 executions, 27.4s
Q3 75/93, 675 executions, 29.3s
Q3 76/93, 684 executions, 29.7s
Q3 77/93, 693 executions, 30.0s
Q3 78/93, 702 executions, 30.4s
Q3 79/93, 711 executions, 30.9s
Q3 80/93, 720 executions, 31.5s
Q3 81/93, 729 executions, 32.0s
Q3 82/93, 738 executions, 32.3s
Q3 83/93, 747 executions, 32.6s
Q3 84/93, 756 executions, 32.9s
Q3 85/93, 765 executions, 33.4s
Q3 86/93, 774 executions, 33.8s
Q3 87/93, 783 executions, 34.2s
Q3 88/93, 792 executions, 34.5s
Q3 89/93, 801 executions, 34.8s
Q3 90/93, 810 executions, 35.2s
Q3 91/93, 819 executions, 35.6s
Q3 92/93, 828 executions, 36.1s
Q3 93/93, 837 executions, 36.5s
Q4 5/93, 872 executions, 37.9s
Q4 10/93, 907 executions, 39.2s
Q4 15/93, 942 executions, 40.6s
Q4 20/93, 977 executions, 42.0s
Q4 25/93, 1012 executions, 43.2s
Q4 30/93, 1047 executions, 44.6s
Q4 35/93, 1082 executions, 45.9s
Q4 40/93, 1117 executions, 47.3s
Q4 45/93, 1152 executions, 48.6s
Q4 50/93, 1187 executions, 49.9s
Q4 55/93, 1222 executions, 51.1s
Q4 60/93, 1257 executions, 52.4s
Q4 65/93, 1292 executions, 53.7s
Q4 70/93, 1327 executions, 55.0s
Q4 75/93, 1362 executions, 56.3s
Q4 76/93, 1369 executions, 56.5s
Q4 77/93, 1376 executions, 56.7s
Q4 78/93, 1383 executions, 56.9s
Q4 79/93, 1390 executions, 57.1s
Q4 80/93, 1397 executions, 57.4s
Q4 81/93, 1404 executions, 57.6s
Q4 82/93, 1411 executions, 57.8s
Q4 83/93, 1418 executions, 58.1s
Q4 84/93, 1425 executions, 58.3s
Q4 85/93, 1432 executions, 58.6s
Q4 86/93, 1439 executions, 58.9s
Q4 87/93, 1446 executions, 59.3s
Q4 88/93, 1453 executions, 59.5s
Q4 89/93, 1460 executions, 59.7s
Q4 90/93, 1467 executions, 59.9s
Q4 91/93, 1474 executions, 60.2s
Q4 92/93, 1481 executions, 60.5s
Q4 93/93, 1488 executions, 60.8s
Completed 1488 executions
