all_cleared,errors,max_total_s,max_wall_s,mean_commands,mean_optical_fallbacks,mean_pair_cuts,mean_per_source_s,mean_total_s,mean_wall_s,method,p95_total_s,problem,runs,slower_cases,split
75,0,5421.999966,0.25714508298551664,145.66666666666666,0.0,0.0,384.38148665844443,4659.61298756,0.1790252566539372,baseline_peer9,5366.3550664,3,75,0,ordinary
75,0,4526.362851,0.19565095799043775,142.36,0.0,0.0,316.0123828817778,3798.5192545333334,0.02562354062916711,baseline_co_known9,4386.778590999999,3,75,0,ordinary
75,0,4233.383534,0.034476083994377404,160.86666666666667,0.0,0.0,289.1780057937778,3473.47110584,0.0237476039188914,task_nearest9,3993.7820328999996,3,75,0,ordinary
75,0,3959.022871,0.03688924998277798,160.26666666666668,0.0,0.0,286.15046731644446,3436.0509486533338,0.024980868864028404,task_two_opt9,3945.9042442,3,75,0,ordinary
75,0,4357.74594,0.031897249980829656,155.33333333333334,0.0,0.0,312.9977976337778,3766.0268942533335,0.024565327213301014,task_no_share9,4307.4356290000005,3,75,0,ordinary
75,0,3951.594123,0.03666183300083503,161.01333333333332,0.04,0.0,286.1797486057778,3437.7885255466667,0.02544948834537839,task_weight05_9,3913.5447334,3,75,0,ordinary
75,0,3960.662399,0.037107667012605816,162.50666666666666,0.05333333333333334,0.0,285.72699858088885,3433.680914333333,0.026075169986579567,task_weight1_9,3917.8170483,3,75,0,ordinary
75,0,3959.177559,0.03675558400573209,159.48,0.0,0.0,286.2403637491111,3437.232294146667,0.02577531719968344,task_trial40_9,3936.3308628,3,75,0,ordinary
75,0,3683.975599,0.03908499999670312,142.78666666666666,0.0,0.0,258.13584147555554,3115.5257700933334,0.023808478431310506,task_two_opt7,3618.4792429,3,75,0,ordinary
18,0,5059.251535,0.32259795803111047,130.83333333333334,0.0,0.0,364.27405248055555,4497.647831222222,0.19649512033922495,baseline_peer9,5019.74998225,3,18,0,stress
18,0,4685.033152,0.03768533299444243,141.0,0.0,0.0,312.76362088125,3821.153947,0.024923189779252022,baseline_co_known9,4652.000809849999,3,18,0,stress
18,0,4645.207856,0.034215499996207654,140.83333333333334,0.0,0.0,275.0524057506944,3328.1763907777777,0.022099816997069865,task_nearest9,4227.8625139999995,3,18,0,stress
18,0,4174.06702,0.03617358399787918,145.44444444444446,0.0,0.0,277.41885481944445,3341.172781777778,0.02353250694512907,task_two_opt9,4157.1913886,3,18,0,stress
18,0,5735.973518,0.04328662494663149,150.61111111111111,0.0,0.0,361.57902700277776,4496.661956277778,0.028084324003430083,task_no_share9,5672.8568207,3,18,5,stress
18,0,4174.06702,0.03599883400602266,146.27777777777777,0.0,0.0,276.7188242569444,3334.841721944444,0.02386612955403204,task_weight05_9,4157.1913886,3,18,0,stress
18,0,4246.252814,0.037106750009115785,149.61111111111111,0.0,0.0,278.52363290555553,3356.687630555556,0.024737409888378654,task_weight1_9,4204.8040226,3,18,0,stress
18,0,4276.801704,0.04431737499544397,145.33333333333334,0.0,0.0,277.7770420895833,3346.653331,0.0242251017189119,task_trial40_9,4172.601591199999,3,18,0,stress
18,0,4743.579252,0.030807834002189338,130.33333333333334,0.0,0.0,277.29042843750005,3386.6095131666666,0.02283327794672611,task_two_opt7,4736.9270755,3,18,3,stress
75,0,8697.110639,0.0349888329510577,372.81333333333333,6.626666666666667,0.0,635.8898355739999,7659.98369584,0.03018015719872589,baseline_polar25_conservative,8472.2254792,4,75,0,ordinary
75,0,9166.002882,0.03735158400377259,315.0133333333333,0.0,7.84,671.4361457771112,8104.321436733332,0.03050190278639396,baseline_bracket25,8958.7624161,4,75,52,ordinary
75,0,8039.863979,0.04625666601350531,347.56,0.0,3.3866666666666667,571.0034777777778,6841.17979172,0.03120108555847158,task_nearest25,7470.1761058,4,75,3,ordinary
