active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,clear_calls,cleared,commands,cpu_s,discovered_channels,discovery_cover_radius,dynamic_cover_checks,early_optical_success,early_optical_trials,extra_discovery_measurements,extra_discovery_sites,failure,inconsistent_updates,joint_route_solves,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_max_cover_radius,per_source_s,policy_cleared_channels,problem,pruned_stations,seed,shared_known_measurements,skipped_precise_measurements,sources,split,stations_visited,stop_reason,switches,total_virtual_s,wall_s
16,0,True,,,,,,uniform__iid__67,uniform__iid,10,10,10,150,0.135427,10,,,,,,,,0,,138,baseline_peer9,[],16715.178060343696,0,0.0,421.10356119999994,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,,67,,,10,ordinary,9,full_coverage_and_all_discovered_cleared,128,4211.035612,0.13747645798139274
12,0,True,,,,,,uniform__iid__67,uniform__iid,8,12,10,144,0.11100299999999999,10,778.6166859055267,1,2,4,0,0,,0,,130,baseline_co_known9,[],14748.63669942801,0,0.0,377.872734,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,0,67,2,0,10,ordinary,9,continuous_dynamic_coverage_and_all_discovered_cleared,123,3778.72734,0.19565095799043775
11,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,14,10,159,0.021218999999999988,10,,,3,7,,,,0,0,143,task_nearest9,[],14540.74588043854,0,0.0,381.9149178,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,,67,6,6,10,ordinary,9,full_coverage_and_all_discovered_cleared,134,3819.149178,0.02125125000020489
11,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,14,10,159,0.021419999999999995,10,,,3,7,,,,0,19,143,task_two_opt9,[],14540.74588043854,0,0.0,381.9149178,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,,67,6,6,10,ordinary,9,full_coverage_and_all_discovered_cleared,134,3819.149178,0.02145033294800669
15,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,14,10,158,0.02342099999999997,10,,,3,7,,,,0,19,142,task_no_share9,[],16014.814301004068,0,0.0,410.5962862,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,,67,0,5,10,ordinary,9,full_coverage_and_all_discovered_cleared,131,4105.962862,0.023435375012923032
12,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,6,14,10,160,0.022258,10,,,3,7,,,,0,19,144,task_weight05_9,[],14572.967890335438,0,0.0,383.05935800000003,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,,67,6,6,10,ordinary,9,full_coverage_and_all_discovered_cleared,134,3830.59358,0.022301958000753075
12,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,5,13,10,160,0.02355099999999999,10,,,4,7,,,,0,19,145,task_weight1_9,[],14540.605688504145,0,0.0,382.4121139,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,,67,7,6,10,ordinary,9,full_coverage_and_all_discovered_cleared,132,3824.121139,0.023602457949891686
9,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,11,10,155,0.021728000000000025,10,,,3,4,,,,0,19,142,task_trial40_9,[],14476.591050483097,0,0.0,379.031821,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,,67,7,6,10,ordinary,9,full_coverage_and_all_discovered_cleared,132,3790.31821,0.021739292016718537
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,12,10,133,0.01830499999999996,10,,,3,5,,,,0,17,119,task_two_opt7,[],12507.464337677739,0,0.0,326.6492866,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,,67,7,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3266.492866,0.018322375020943582
28,0,True,,,,,,uniform__iid__68,uniform__iid,15,15,15,127,0.223063,15,,,,,,,,0,,110,baseline_peer9,[],23240.182623055938,0,0.0,357.6691014666667,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,,68,,,15,ordinary,9,full_coverage_and_all_discovered_cleared,92,5365.036522,0.22339266596827656
14,0,True,,,,,,uniform__iid__68,uniform__iid,10,18,15,122,0.026295999999999986,15,778.6166859055267,1,5,8,0,0,,0,,102,baseline_co_known9,[],17246.093612702858,0,0.0,275.6812481333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,0,68,10,0,15,ordinary,9,continuous_dynamic_coverage_and_all_discovered_cleared,92,4135.218722,0.026360291987657547
