all_cleared,max_total_s,max_wall_s,mean_commands,mean_per_source_s,mean_total_s,mean_wall_s,method,p95_total_s,problem,runs,split
75,5421.999966,0.26086587499594316,145.66666666666666,384.38148665844443,4659.61298756,0.18195732336957007,baseline_peer9_active,5366.3550664,3,75,ordinary
75,5535.233895,0.2852321250247769,142.94666666666666,390.2867269240001,4736.88990676,0.19395321946591138,q3_square9_h860_active,5440.1480005,3,75,ordinary
75,5468.846181,0.27482729201437905,142.77333333333334,389.11369737044447,4717.414773546667,0.19242283665575088,q3_square9_h900_active,5328.9786902999995,3,75,ordinary
75,5433.715786,0.2834008329664357,141.84,390.51533497288887,4730.362544039999,0.18619217054297527,q3_square9_h1000_active,5332.6751687,3,75,ordinary
75,5395.849004,0.27610166696831584,141.30666666666667,392.03575182266667,4743.151919773334,0.17945173885362845,q3_square9_h1100_active,5308.984584399999,3,75,ordinary
75,5414.510956,0.26117604202590883,141.45333333333335,394.8424642564445,4770.583862760001,0.17385594273684546,q3_square9_h1200_active,5350.2192797,3,75,ordinary
75,5589.756172,0.2831688330043107,143.85333333333332,388.2146802531111,4730.50417732,0.19094864611591522,q3_alternating9_active,5428.2423299,3,75,ordinary
75,5609.270834,0.282960666983854,143.73333333333332,383.4017118471111,4670.639830893333,0.18854055118669447,q3_alternating9_wide_active,5416.1137512,3,75,ordinary
18,5059.251535,0.33848375000525266,130.83333333333334,364.27405248055555,4497.647831222222,0.1993706897806583,baseline_peer9_active,5019.74998225,3,18,stress
18,6466.968394,0.34854683303274214,141.38888888888889,400.17337715555556,5027.218298222223,0.1985452314450716,q3_square9_h860_active,6414.9396713,3,18,stress
18,6328.337965,0.30968008300988004,140.88888888888889,399.64871339166666,5009.702131666667,0.19337746072495873,q3_square9_h900_active,6304.9670314,3,18,stress
18,6021.071371,0.30789937503868714,140.38888888888889,392.8401014791667,4938.260006,0.19034931260911334,q3_square9_h1000_active,5986.34179305,3,18,stress
18,5921.818033,0.2640037080273032,139.83333333333334,390.54781604930554,4899.693382055555,0.18649395138749647,q3_square9_h1100_active,5877.11948335,3,18,stress
18,6040.950734,0.31863454199628904,139.44444444444446,379.51280042361105,4727.527458111112,0.18864923621489046,q3_square9_h1200_active,5985.6969158,3,18,stress
18,6089.685773,0.30421470798319206,135.27777777777777,383.9209271715278,4779.283551944445,0.19241101845788458,q3_alternating9_active,6086.8099918,3,18,stress
18,5942.125963,0.2590363749768585,132.72222222222223,378.4743685034722,4705.117449388888,0.1890294813977865,q3_alternating9_wide_active,5918.04029415,3,18,stress
75,13452.440798,0.429952249978669,402.16,952.2446687437779,11482.355128066665,0.30888559663280224,baseline_triangle31_active,13070.955787899999,4,75,ordinary
75,12908.169043,0.05273937503807247,632.1333333333333,991.5749549053334,11842.1378654,0.04013615666500603,baseline_square45_conservative,12663.0046704,4,75,ordinary
75,8697.110639,0.03546850004931912,372.81333333333333,635.8898355739999,7659.98369584,0.030322100557386874,q4_polar25_conservative,8472.2254792,4,75,ordinary
75,10628.573404,0.4381367079913616,370.64,727.2046382864445,8817.433937360001,0.29586787776478257,q4_polar25_active,10070.521746600001,4,75,ordinary
75,9596.523505,0.04064725001808256,412.93333333333334,669.9330410951111,8072.353961893334,0.032578047131343435,q4_polar28_conservative,8937.6843271,4,75,ordinary
75,11143.88306,0.4776634580339305,391.62666666666667,763.9691249553333,9224.781290719999,0.29648975890828294,q4_polar28_active,10635.9255928,4,75,ordinary
75,10819.62831,0.059311874967534095,518.3466666666667,796.9922086288889,9607.087047253333,0.037489661677585294,q4_polar37_conservative,10584.480066,4,75,ordinary
75,13885.396109,0.4553614169708453,494.92,936.3841422006666,11331.121991493334,0.3175865971677316,q4_polar37_active,12913.478969799999,4,75,ordinary
18,14154.677447,0.3429517920012586,583.0,987.3353670666667,12230.993637833333,0.23643898855597298,baseline_triangle31_active,14125.418860049998,4,18,stress
18,12120.108552,0.04629837500397116,649.7222222222222,953.6310563083332,11723.1950445,0.03583465488433527,baseline_square45_conservative,12103.04797675,4,18,stress
18,15400.4135,0.036266167007852346,425.22222222222223,798.9893812916666,10002.974810333333,0.028227613563002605,q4_polar25_conservative,15095.56947705,4,18,stress
18,10877.496264,0.3023887920426205,511.22222222222223,752.1196643652778,9245.266853944446,0.22230256950327507,q4_polar25_active,10753.431797399999,4,18,stress
18,15599.385113,0.042050582997035235,451.6111111111111,799.4216815402777,10002.399073277778,0.0320526273345523,q4_polar28_conservative,15593.408930450001,4,18,stress
18,11210.500889,0.3278428339981474,482.94444444444446,746.0873082444446,9233.771536944445,0.22460201383283776,q4_polar28_active,10543.938643549998,4,18,stress
18,9575.148495,0.03485987498424947,506.3333333333333,711.0154342173611,8609.732144444446,0.02948984715880619,q4_polar37_conservative,9565.19616375,4,18,stress
18,14664.870724,0.2839424579869956,753.6111111111111,982.1050624875002,12057.8476285,0.19461891655939528,q4_polar37_active,13953.465717899999,4,18,stress
