Q3 5/93, 10 executions, 0.3s
Q3 10/93, 20 executions, 0.5s
Q3 15/93, 30 executions, 0.8s
Q3 20/93, 40 executions, 1.0s
Q3 25/93, 50 executions, 1.3s
Q3 30/93, 60 executions, 1.6s
Q3 35/93, 70 executions, 1.8s
Q3 40/93, 80 executions, 2.1s
Q3 45/93, 90 executions, 2.3s
Q3 50/93, 100 executions, 2.6s
Q3 55/93, 110 executions, 2.8s
Q3 60/93, 120 executions, 3.1s
Q3 65/93, 130 executions, 3.3s
Q3 70/93, 140 executions, 3.6s
Q3 75/93, 150 executions, 3.8s
Q3 76/93, 152 executions, 3.9s
Q3 77/93, 154 executions, 3.9s
Q3 78/93, 156 executions, 4.0s
Q3 79/93, 158 executions, 4.1s
Q3 80/93, 160 executions, 4.1s
Q3 81/93, 162 executions, 4.2s
Q3 82/93, 164 executions, 4.2s
Q3 83/93, 166 executions, 4.3s
Q3 84/93, 168 executions, 4.3s
Q3 85/93, 170 executions, 4.4s
Q3 86/93, 172 executions, 4.4s
Q3 87/93, 174 executions, 4.5s
Q3 88/93, 176 executions, 4.5s
Q3 89/93, 178 executions, 4.5s
Q3 90/93, 180 executions, 4.6s
Q3 91/93, 182 executions, 4.6s
Q3 92/93, 184 executions, 4.7s
Q3 93/93, 186 executions, 4.7s
Q4 5/93, 236 executions, 7.0s
Q4 10/93, 286 executions, 9.2s
Q4 15/93, 336 executions, 11.5s
Q4 20/93, 386 executions, 13.7s
Q4 25/93, 436 executions, 15.9s
Q4 30/93, 486 executions, 18.1s
Q4 35/93, 536 executions, 20.2s
Q4 40/93, 586 executions, 22.3s
Q4 45/93, 636 executions, 24.5s
Q4 50/93, 686 executions, 26.6s
Q4 55/93, 736 executions, 28.7s
Q4 60/93, 786 executions, 31.0s
Q4 65/93, 836 executions, 33.3s
Q4 70/93, 886 executions, 35.6s
Q4 75/93, 936 executions, 37.8s
Q4 76/93, 946 executions, 38.1s
Q4 77/93, 956 executions, 38.4s
Q4 78/93, 966 executions, 38.7s
Q4 79/93, 976 executions, 39.1s
Q4 80/93, 986 executions, 39.5s
Q4 81/93, 996 executions, 39.9s
Q4 82/93, 1006 executions, 40.2s
Q4 83/93, 1016 executions, 40.6s
Q4 84/93, 1026 executions, 40.9s
Q4 85/93, 1036 executions, 41.4s
Q4 86/93, 1046 executions, 41.8s
Q4 87/93, 1056 executions, 42.2s
Q4 88/93, 1066 executions, 42.6s
Q4 89/93, 1076 executions, 42.9s
Q4 90/93, 1086 executions, 43.3s
Q4 91/93, 1096 executions, 43.8s
Q4 92/93, 1106 executions, 44.3s
Q4 93/93, 1116 executions, 44.8s
Completed 1116 executions
