active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,clear_calls,cleared,commands,cpu_s,discovered_channels,early_optical_success,early_optical_trials,failure,inconsistent_updates,initialization_s,joint_route_solves,known_upper_bound_skips,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,per_source_s,policy_cleared_channels,problem,seed,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,sources,split,stations_visited,stop_reason,switches,total_virtual_s,wall_s
19,0,True,,,,,,uniform__iid__87,uniform__iid,11,11,11,150,0.151967,11,,,,0,3.3917021937668324e-05,,,137,peer_layout9_proxy,[],19361.986157719664,0,,0.0,,,430.76338463636364,"[2, 4, 6, 7, 9, 11, 12, 13, 16, 17, 18]",3,87,,,,11,ordinary,9,full_coverage_and_all_discovered_cleared,126,4738.397231,0.1520537089672871
6,0,True,0,0,0,0,0,uniform__iid__87,uniform__iid,5,13,11,155,0.020695999999999992,11,6,8,,0,6.579200271517038e-05,18,0,140,fast7,[],13342.183573820965,0,,0.0,,,323.6760649090909,"[2, 4, 6, 7, 9, 11, 12, 13, 16, 17, 18]",3,87,15,,0,11,ordinary,7,full_coverage_and_all_discovered_cleared,131,3560.436714,0.02073275001021102
6,0,True,0,0,0,0,0,uniform__iid__87,uniform__iid,5,13,11,155,0.020535000000000025,11,6,8,,0,7.700000423938036e-05,18,0,140,clearance7,[],13298.462546323906,0,46.99565546703349,0.0,5,,322.881137,"[2, 4, 6, 7, 9, 11, 12, 13, 16, 17, 18]",3,87,15,,0,11,ordinary,7,full_coverage_and_all_discovered_cleared,131,3551.692507,0.020534833951387554
7,0,True,0,0,0,0,0,uniform__iid__87,uniform__iid,6,12,11,172,0.024505999999999972,11,5,6,,0,7.079099304974079e-05,20,0,158,clearance9,[],13874.82093959655,0,37.231504683794704,0.0,6,,343.17856245454544,"[2, 4, 6, 7, 9, 11, 12, 13, 16, 17, 18]",3,87,8,,3,11,ordinary,9,full_coverage_and_all_discovered_cleared,152,3774.964187,0.02510074997553602
21,0,True,,,,,,uniform__iid__88,uniform__iid,13,13,13,136,0.15348999999999996,13,,,,0,7.245800225064158e-05,,,121,peer_layout9_proxy,[],18404.89231553636,0,,0.0,,,343.0752666153846,"[1, 2, 3, 4, 6, 7, 8, 11, 13, 14, 17, 18, 19]",3,88,,,,13,ordinary,9,full_coverage_and_all_discovered_cleared,109,4459.978466,0.15363345900550485
7,0,True,0,0,0,0,0,uniform__iid__88,uniform__iid,8,15,13,136,0.029706999999999928,13,5,7,,0,6.308400770649314e-05,20,0,119,fast7,[],11773.492513600288,0,,0.0,,,240.97680784615386,"[1, 2, 3, 4, 6, 7, 8, 11, 13, 14, 17, 18, 19]",3,88,23,,1,13,ordinary,7,full_coverage_and_all_discovered_cleared,112,3132.698502,0.029729750007390976
6,0,True,0,0,0,0,0,uniform__iid__88,uniform__iid,7,14,13,134,0.026712999999999987,13,6,7,,0,7.44159915484488e-05,20,0,118,clearance7,[],11775.983690950676,0,65.22955611921222,0.0,7,,240.47667223076922,"[1, 2, 3, 4, 6, 7, 8, 11, 13, 14, 17, 18, 19]",3,88,22,,0,13,ordinary,7,full_coverage_and_all_discovered_cleared,113,3126.196739,0.0267125410027802
6,0,True,0,0,0,0,0,uniform__iid__88,uniform__iid,11,14,13,138,0.024173,13,2,3,,0,6.141699850559235e-05,22,0,122,clearance9,[],12820.21572151564,0,69.86896082176008,0.0,11,,258.157165,"[1, 2, 3, 4, 6, 7, 8, 11, 13, 14, 17, 18, 19]",3,88,15,,6,13,ordinary,9,full_coverage_and_all_discovered_cleared,114,3356.043145,0.024223958025686443
19,0,True,,,,,,uniform__iid__89,uniform__iid,10,10,10,149,0.150991,10,,,,0,5.9125013649463654e-05,,,137,peer_layout9_proxy,[],17566.596663082906,0,,0.0,,,437.1319334,"[3, 4, 5, 6, 7, 9, 12, 14, 16, 20]",3,89,,,,10,ordinary,9,full_coverage_and_all_discovered_cleared,123,4371.319334,0.1510755000053905
4,0,True,0,0,0,0,0,uniform__iid__89,uniform__iid,4,11,10,139,0.01604799999999995,10,6,7,,0,5.470897303894162e-05,17,0,126,fast7,[],11001.796685505446,0,,0.0,,,300.13593380000003,"[3, 4, 5, 6, 7, 9, 12, 14, 16, 20]",3,89,18,,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,118,3001.359338,0.016096499981358647
