Q3 5/93, 20 executions, 0.5s
Q3 10/93, 40 executions, 1.1s
Q3 15/93, 60 executions, 1.7s
Q3 20/93, 80 executions, 2.3s
Q3 25/93, 100 executions, 2.9s
Q3 30/93, 120 executions, 3.4s
Q3 35/93, 140 executions, 3.9s
Q3 40/93, 160 executions, 4.5s
Q3 45/93, 180 executions, 5.0s
Q3 50/93, 200 executions, 5.6s
Q3 55/93, 220 executions, 6.1s
Q3 60/93, 240 executions, 6.7s
Q3 65/93, 260 executions, 7.3s
Q3 70/93, 280 executions, 7.9s
Q3 75/93, 300 executions, 8.5s
Q3 76/93, 304 executions, 8.6s
Q3 77/93, 308 executions, 8.7s
Q3 78/93, 312 executions, 8.8s
Q3 79/93, 316 executions, 8.9s
Q3 80/93, 320 executions, 9.0s
Q3 81/93, 324 executions, 9.2s
Q3 82/93, 328 executions, 9.3s
Q3 83/93, 332 executions, 9.4s
Q3 84/93, 336 executions, 9.4s
Q3 85/93, 340 executions, 9.6s
Q3 86/93, 344 executions, 9.7s
Q3 87/93, 348 executions, 9.8s
Q3 88/93, 352 executions, 9.9s
Q3 89/93, 356 executions, 10.0s
Q3 90/93, 360 executions, 10.1s
Q3 91/93, 364 executions, 10.2s
Q3 92/93, 368 executions, 10.3s
Q3 93/93, 372 executions, 10.5s
Q4 5/93, 412 executions, 12.7s
Q4 10/93, 452 executions, 15.0s
Q4 15/93, 492 executions, 17.3s
Q4 20/93, 532 executions, 19.5s
Q4 25/93, 572 executions, 21.7s
Q4 30/93, 612 executions, 23.9s
Q4 35/93, 652 executions, 26.1s
Q4 40/93, 692 executions, 28.4s
Q4 45/93, 732 executions, 30.7s
Q4 50/93, 772 executions, 32.9s
Q4 55/93, 812 executions, 35.1s
Q4 60/93, 852 executions, 37.4s
Q4 65/93, 892 executions, 39.8s
Q4 70/93, 932 executions, 42.0s
Q4 75/93, 972 executions, 44.2s
Q4 76/93, 980 executions, 44.5s
Q4 77/93, 988 executions, 44.7s
Q4 78/93, 996 executions, 45.0s
Q4 79/93, 1004 executions, 45.3s
Q4 80/93, 1012 executions, 45.6s
Q4 81/93, 1020 executions, 45.9s
Q4 82/93, 1028 executions, 46.2s
Q4 83/93, 1036 executions, 46.6s
Q4 84/93, 1044 executions, 46.9s
Q4 85/93, 1052 executions, 47.3s
Q4 86/93, 1060 executions, 47.7s
Q4 87/93, 1068 executions, 48.1s
Q4 88/93, 1076 executions, 48.5s
Q4 89/93, 1084 executions, 48.9s
Q4 90/93, 1092 executions, 49.2s
Q4 91/93, 1100 executions, 49.8s
Q4 92/93, 1108 executions, 50.5s
Q4 93/93, 1116 executions, 51.0s
Completed 1116 executions
