faster_cases,largest_improvement_s,largest_slowdown_s,mean_paired_saved_s,method,seed_cluster_bootstrap_gain_95_high_percent,seed_cluster_bootstrap_gain_95_low_percent,slower_cases,split,tied_cases
0,0.0,0.0,0.0,old_triangle19,0.0,0.0,0,ordinary,150
145,6888.642905000001,1057.9203800000005,5160.37910432,peer_ring9_r1300,55.832794711202354,50.18278640684816,5,ordinary,0
145,6857.74307,944.5570980000002,5318.808165833334,ring7_r1140,58.13016651923167,51.35695425090943,5,ordinary,0
145,6353.117563000001,877.684201,5004.747418206666,ring9_r960,54.920007527160976,48.22916724291867,5,ordinary,0
145,5828.175078000001,1043.3934040000004,4437.104633246668,ring13_r870,49.45516514599398,42.08700327929081,5,ordinary,0
0,0.0,0.0,0.0,old_triangle19,,,0,stress,18
18,5612.1383030000015,0.0,4181.5193135555555,peer_ring9_r1300,,,0,stress,0
18,5995.887242999999,0.0,4102.517819000001,ring7_r1140,,,0,stress,0
18,5882.248415999999,0.0,4018.4495755000003,ring9_r960,,,0,stress,0
18,5550.89484,0.0,3616.3642125555557,ring13_r870,,,0,stress,0
