all_cleared,all_cleared_rate,max_total_s,max_wall_s,mean_commands,mean_measurements,mean_move_m,mean_per_source_s,mean_switches,mean_total_s,mean_wall_s,method,p95_total_s,per_source_gain_percent,runs,split,worst_case_id
150,1.0,10920.248628,0.2672085830126889,239.18,224.68,41671.12583546474,804.1553727367094,201.82666666666665,9721.951834046667,0.17446518441778608,old_triangle19,10748.22292525,0.0,150,ordinary,uniform__adversarial-negative__69
150,1.0,5421.999966,0.26970254199113697,144.14666666666668,129.64666666666668,18672.89697865684,372.9552912405171,116.26,4561.572729726667,0.1770454558439087,peer_ring9_r1300,5315.6639122999995,53.621488597250554,150,ordinary,uniform__adversarial-negative__69
150,1.0,5328.936353,0.26624266599537805,124.68666666666667,110.18666666666667,18460.518341258856,358.3790719393696,97.60666666666667,4403.143668213333,0.18216205641510896,ring7_r1140,5208.6364527,55.43410091015988,150,ordinary,edge__adversarial-negative__74
150,1.0,5681.630347,0.30996370798675343,144.62,130.12,19445.888745092794,384.2608950066752,114.92666666666666,4717.20441584,0.1938481321791187,ring9_r960,5404.4508839499995,52.215590663909296,150,ordinary,edge__iid__74
150,1.0,6625.123121,0.3190887499949895,183.74666666666667,169.24666666666667,21128.302661081412,430.50884017210893,150.45333333333335,5284.847200800001,0.1985321058232027,ring13_r870,6381.226531449999,46.464470080328255,150,ordinary,edge__adversarial-spatial__69
18,1.0,9985.619855,0.27059004199691117,221.44444444444446,206.44444444444446,36981.39127700481,722.3765797465279,185.66666666666666,8679.167144777779,0.17363691437963602,old_triangle19,9969.01918585,0.0,18,stress,unknown_count_late__n10__spatial
18,1.0,5059.251535,0.32974237500457093,130.83333333333334,115.83333333333333,18764.90582185083,364.27405248055555,100.5,4497.647831222222,0.20075680088808034,peer_ring9_r1300,5019.74998225,49.57283185892124,18,stress,boundary_min__n16__positive
18,1.0,6239.969941,0.3593357080244459,115.16666666666667,100.16666666666667,19624.079960604322,366.70703057777774,86.0,4576.649325777777,0.2104222383964548,ring7_r1140,6060.59481755,49.236029951794634,18,stress,boundary_min__n16__negative
18,1.0,6163.061678,0.34816995804430917,133.22222222222223,118.22222222222223,19513.032292302665,375.72018590486107,102.0,4660.717569277778,0.21220637978209803,ring9_r960,5951.2365032,47.988321266354426,18,stress,boundary_min__n16__negative
18,1.0,7189.193193,0.3782910840236582,168.11111111111111,153.11111111111111,20484.570206453318,408.7565864243055,135.33333333333334,5062.802932222222,0.21768529405299988,ring13_r870,7018.530116499999,43.41502785600654,18,stress,boundary_min__n16__negative
