active_measurements,active_no_signal,all_cleared,case_id,category,certified_clears,clear_calls,cleared,commands,cpu_s,discovered_channels,failure,inconsistent_updates,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_max_cover_radius,per_source_s,policy_cleared_channels,seed,sources,split,stations_visited,stop_reason,switches,total_virtual_s,wall_s
16,0,True,uniform__iid__67,uniform__iid,10,10,10,260,0.13167099999999998,10,,0,248,old_triangle19,[],44593.24482745334,0,0.0,1043.5648966,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",67,10,ordinary,19,full_coverage_and_all_discovered_cleared,227,10435.648966,0.13380408298689872
16,0,True,uniform__iid__67,uniform__iid,10,10,10,150,0.12320399999999998,10,,0,138,peer_ring9_r1300,[],16715.178060343696,0,0.0,421.10356119999994,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",67,10,ordinary,9,full_coverage_and_all_discovered_cleared,128,4211.035612,0.12327733403071761
17,0,True,uniform__iid__67,uniform__iid,10,10,10,127,0.13227100000000003,10,,0,115,ring7_r1140,[],15398.20229216294,0,0.0,381.0640459,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",67,10,ordinary,7,full_coverage_and_all_discovered_cleared,106,3810.640459,0.1323820420075208
17,0,True,uniform__iid__67,uniform__iid,10,10,10,150,0.131158,10,,0,138,ring9_r960,[],16342.419297740886,0,0.0,413.4483861,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",67,10,ordinary,9,full_coverage_and_all_discovered_cleared,126,4134.483861,0.13124854100169614
17,0,True,uniform__iid__67,uniform__iid,10,10,10,198,0.13112800000000002,10,,0,186,ring13_r870,[],17631.377283522965,0,0.0,467.72754590000005,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",67,10,ordinary,13,full_coverage_and_all_discovered_cleared,171,4677.275459,0.13124458299716935
25,0,True,uniform__iid__68,uniform__iid,15,15,15,200,0.19654400000000005,15,,0,183,old_triangle19,[],44114.089556900115,0,0.0,664.8545274,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",68,15,ordinary,19,full_coverage_and_all_discovered_cleared,160,9972.817911,0.1966808750294149
28,0,True,uniform__iid__68,uniform__iid,15,15,15,127,0.22155899999999995,15,,0,110,peer_ring9_r1300,[],23240.182623055938,0,0.0,357.6691014666667,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",68,15,ordinary,9,full_coverage_and_all_discovered_cleared,92,5365.036522,0.2217392500024289
28,0,True,uniform__iid__68,uniform__iid,15,15,15,114,0.21438499999999983,15,,0,97,ring7_r1140,[],22825.395733186724,0,0.0,347.0719428666667,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",68,15,ordinary,7,full_coverage_and_all_discovered_cleared,81,5206.079143,0.2145109169650823
28,0,True,uniform__iid__68,uniform__iid,15,15,15,128,0.21999999999999997,15,,0,111,ring9_r960,[],22968.887488226497,0,0.0,354.45183280000003,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",68,15,ordinary,9,full_coverage_and_all_discovered_cleared,93,5316.777492,0.220106124994345
28,0,True,uniform__iid__68,uniform__iid,15,15,15,155,0.22929999999999984,15,,0,138,ring13_r870,[],24440.173345364045,0,0.0,384.668978,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",68,15,ordinary,13,full_coverage_and_all_discovered_cleared,117,5770.03467,0.22946129203774035
25,0,True,uniform__iid__69,uniform__iid,15,15,15,212,0.1877939999999998,15,,0,195,old_triangle19,[],48167.2435543576,0,0.0,723.7632473333334,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",69,15,ordinary,19,full_coverage_and_all_discovered_cleared,173,10856.44871,0.1879280840512365
27,0,True,uniform__iid__69,uniform__iid,15,15,15,132,0.213638,15,,0,115,peer_ring9_r1300,[],22972.07927285665,0,0.0,356.36105680000003,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",69,15,ordinary,9,full_coverage_and_all_discovered_cleared,101,5345.415852,0.2137495829956606
25,0,True,uniform__iid__69,uniform__iid,15,15,15,115,0.196202,15,,0,98,ring7_r1140,[],21556.843408746452,0,0.0,330.82457866666664,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",69,15,ordinary,7,full_coverage_and_all_discovered_cleared,86,4962.36868,0.1964211250306107
28,0,True,uniform__iid__69,uniform__iid,15,15,15,132,0.22750999999999966,15,,0,115,ring9_r960,[],23154.215405576542,0,0.0,358.72287213333334,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",69,15,ordinary,9,full_coverage_and_all_discovered_cleared,100,5380.843082,0.2276234999881126
