active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,certified_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,deferred_nonstationary_skips,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,faithful_attempt_memory_updates,faithful_nonstationary_retained,faithful_stationary_skips,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,logical_negative_memory_limit,maximum_source_primary_rf,maximum_source_rounds,measurements,method,minimum_actual_unknown_per_station,minimum_unknown_actions_per_station,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,pair_prediction_checks,per_source_s,policy_cleared_channels,predicted_pair_skips,probe_angle_cap_deg,problem,public_empty_scan_skips,public_empty_scans,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,3,3,12,10,130,1.0,,,base,0,0.019455,1,10,,3,5,False,,3,0,2,False,,0,0,,17,0,4,,,116,lean_deferred_area7,10,,[],12450.081271938308,0,49.195608055153805,0.0,7,,,0,323.8016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,,3,,,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,112,3238.016252,,,True,0.019862750021275133
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,3,3,12,10,130,1.0,,,base,0,0.01909299999999997,1,10,,3,5,False,,3,0,2,False,,0,0,,17,0,4,,,116,count_deferred_area7,10,10,[],12450.081271938308,0,49.195608055153805,0.0,7,,,0,323.8016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,,3,0,0,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,112,3238.016252,,,True,0.019097000011242926
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,10,0,0,18,15,149,1.0,,,base,0,0.030078999999999967,0,15,,5,8,False,,0,0,0,False,,0,0,,22,0,4,,,129,lean_deferred_area7,5,,[],11258.355683768476,0,68.94379760295948,0.0,10,,,0,206.9114092,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",0,,3,,,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3103.671138,,,True,0.030122958007268608
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,10,0,0,18,15,149,1.0,,,base,0,0.02939400000000003,0,15,,5,8,False,,0,0,0,False,,0,0,,22,0,4,,,129,count_deferred_area7,5,5,[],11258.355683768476,0,68.94379760295948,0.0,10,,,0,206.9114092,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",0,,3,0,0,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3103.671138,,,True,0.029413833981379867
7,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,5,0,0,16,15,143,1.0,,,base,0,0.026422999999999974,0,15,,10,11,False,,0,0,0,False,,0,0,,22,0,4,,,125,lean_deferred_area7,5,,[],12833.52283590028,0,49.76008032836796,0.0,5,,,0,225.5803046,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",0,,3,,,69,1.0,28,,7,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,114,3383.704569,,,True,0.026453666971065104
7,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,5,0,0,16,15,143,1.0,,,base,0,0.026641000000000026,0,15,,10,11,False,,0,0,0,False,,0,0,,22,0,4,,,125,count_deferred_area7,5,5,[],12833.52283590028,0,49.76008032836796,0.0,5,,,0,225.5803046,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",0,,3,0,0,69,1.0,28,,7,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,114,3383.704569,,,True,0.026656457979697734
8,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,6,3,3,13,10,138,1.0,,,base,0,0.02152799999999999,1,10,,4,7,False,,3,0,2,False,,0,0,,17,0,4,,,123,lean_deferred_area7,11,,[],11127.182320072005,0,36.3364416117673,0.0,6,,,0,301.5436465,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",0,,3,,,70,1.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,116,3015.436465,,,True,0.02153650001855567
8,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,6,3,3,13,10,138,1.0,,,base,0,0.020762000000000003,1,10,,4,7,False,,3,0,2,False,,0,0,,17,0,4,,,123,count_deferred_area7,11,11,[],11127.182320072005,0,36.3364416117673,0.0,6,,,0,301.5436465,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",0,,3,0,0,70,1.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,116,3015.436465,,,True,0.020781332976184785
7,0,True,0,0,0,0,0,uniform__iid__71,uniform__iid,7,0,0,13,12,133,1.0,,,base,0,0.023894000000000026,0,12,,5,6,False,,0,0,0,False,,0,0,,19,0,4,,,118,lean_deferred_area7,8,,[],12153.650482723764,0,40.99123897655369,0.0,7,,,0,266.14417483333335,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",0,,3,,,71,1.0,22,,4,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,110,3193.730098,,,True,0.023944874992594123
7,0,True,0,0,0,0,0,uniform__iid__71,uniform__iid,7,0,0,13,12,133,1.0,,,base,0,0.02522000000000002,0,12,,5,6,False,,0,0,0,False,,0,0,,19,0,4,,,118,count_deferred_area7,8,8,[],12153.650482723764,0,40.99123897655369,0.0,7,,,0,266.14417483333335,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",0,,3,0,0,71,1.0,22,,4,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,110,3193.730098,,,True,0.025281416019424796
