Q3 5/93, 50 executions, 2.0s
Q3 10/93, 100 executions, 4.1s
Q3 15/93, 150 executions, 6.2s
Q3 20/93, 200 executions, 8.2s
Q3 25/93, 250 executions, 10.3s
Q3 30/93, 300 executions, 12.6s
Q3 35/93, 350 executions, 14.9s
Q3 40/93, 400 executions, 17.1s
Q3 45/93, 450 executions, 19.3s
Q3 50/93, 500 executions, 21.8s
Q3 55/93, 550 executions, 23.3s
Q3 60/93, 600 executions, 24.9s
Q3 65/93, 650 executions, 26.5s
Q3 70/93, 700 executions, 28.1s
Q3 75/93, 750 executions, 29.8s
Q3 76/93, 760 executions, 30.4s
Q3 77/93, 770 executions, 30.9s
Q3 78/93, 780 executions, 31.5s
Q3 79/93, 790 executions, 32.0s
Q3 80/93, 800 executions, 32.6s
Q3 81/93, 810 executions, 33.2s
Q3 82/93, 820 executions, 33.5s
Q3 83/93, 830 executions, 33.8s
Q3 84/93, 840 executions, 34.1s
Q3 85/93, 850 executions, 34.5s
Q3 86/93, 860 executions, 35.0s
Q3 87/93, 870 executions, 35.4s
Q3 88/93, 880 executions, 35.7s
Q3 89/93, 890 executions, 35.9s
Q3 90/93, 900 executions, 36.2s
Q3 91/93, 910 executions, 36.5s
Q3 92/93, 920 executions, 36.8s
Q3 93/93, 930 executions, 37.2s
Q4 5/93, 970 executions, 39.0s
Q4 10/93, 1010 executions, 40.9s
Q4 15/93, 1050 executions, 43.0s
Q4 20/93, 1090 executions, 44.9s
Q4 25/93, 1130 executions, 46.7s
Q4 30/93, 1170 executions, 48.5s
Q4 35/93, 1210 executions, 50.5s
Q4 40/93, 1250 executions, 52.4s
Q4 45/93, 1290 executions, 54.3s
Q4 50/93, 1330 executions, 56.0s
Q4 55/93, 1370 executions, 57.7s
Q4 60/93, 1410 executions, 59.5s
Q4 65/93, 1450 executions, 61.5s
Q4 70/93, 1490 executions, 63.3s
Q4 75/93, 1530 executions, 64.9s
Q4 76/93, 1538 executions, 65.1s
Q4 77/93, 1546 executions, 65.4s
Q4 78/93, 1554 executions, 65.6s
Q4 79/93, 1562 executions, 65.9s
Q4 80/93, 1570 executions, 66.2s
Q4 81/93, 1578 executions, 66.5s
Q4 82/93, 1586 executions, 66.7s
Q4 83/93, 1594 executions, 67.0s
Q4 84/93, 1602 executions, 67.3s
Q4 85/93, 1610 executions, 67.8s
Q4 86/93, 1618 executions, 68.2s
Q4 87/93, 1626 executions, 68.6s
Q4 88/93, 1634 executions, 68.9s
Q4 89/93, 1642 executions, 69.2s
Q4 90/93, 1650 executions, 69.5s
Q4 91/93, 1658 executions, 69.9s
Q4 92/93, 1666 executions, 70.3s
Q4 93/93, 1674 executions, 70.6s
Completed 1674 executions
