active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,clear_calls,cleared,commands,cpu_s,discovered_channels,early_optical_success,early_optical_trials,failure,inconsistent_updates,joint_route_solves,known_upper_bound_skips,layout_rotation_deg,measurements,method,minimax_candidate_evaluations,missed_channels,move_m,new_reception_candidate_accepts,optical_fallback_calls,optical_max_cover_radius,outer_priority_used,per_source_s,policy_cleared_channels,problem,rotation_route_candidates,second_point_choices,seed,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,sources,split,stations_visited,stop_reason,switches,total_virtual_s,wall_s
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,12,10,133,0.01825299999999999,10,3,5,,0,17,0,,119,fast7,,[],12507.464337677739,,0,0.0,,326.6492866,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,,,67,7,,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3266.492866,0.018276792019605637
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,12,10,133,0.018730000000000024,10,3,5,,0,17,0,,119,full_reception7,0,[],12507.464337677739,10,0,0.0,,326.6492866,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,,"[{'channel': 4, 'point': [-346.6212417578963, 707.0364579562975], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 162.48610581472553}, {'channel': 8, 'point': [-1058.017992394188, 374.54089589497835], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 161.66489610981185}, {'channel': 18, 'point': [-1209.7666454217165, -521.752546049411], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 110.27926749791573}, {'channel': 14, 'point': [-70.7173439780742, -1278.047221224285], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 120.55694139638135}, {'channel': 15, 'point': [1422.35773715703, -231.2208634564179], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 77.99013068353005}]",67,7,,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3266.492866,0.018753333017230034
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,12,10,133,0.020569999999999977,10,3,5,,0,17,0,,119,expanded7,0,[],12507.464337677739,30,0,0.0,,326.6492866,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,,"[{'channel': 4, 'point': [-346.6212417578963, 707.0364579562975], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 162.48610581472553}, {'channel': 8, 'point': [-1058.017992394188, 374.54089589497835], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 161.66489610981185}, {'channel': 18, 'point': [-1209.7666454217165, -521.752546049411], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 110.27926749791573}, {'channel': 14, 'point': [-70.7173439780742, -1278.047221224285], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 120.55694139638135}, {'channel': 15, 'point': [1422.35773715703, -231.2208634564179], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 77.99013068353005}]",67,7,,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3266.492866,0.02058395801577717
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,12,10,133,0.020913000000000015,10,3,5,,0,17,0,,119,expanded_weight03_7,0,[],12507.464337677739,30,0,0.0,,326.6492866,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,,"[{'channel': 4, 'point': [-346.6212417578963, 707.0364579562975], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 162.48610581472553}, {'channel': 8, 'point': [-1058.017992394188, 374.54089589497835], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 161.66489610981185}, {'channel': 18, 'point': [-1209.7666454217165, -521.752546049411], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 110.27926749791573}, {'channel': 14, 'point': [-70.7173439780742, -1278.047221224285], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 120.55694139638135}, {'channel': 15, 'point': [1422.35773715703, -231.2208634564179], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 77.99013068353005}]",67,7,,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3266.492866,0.020915500004775822
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,12,10,133,0.08832099999999998,10,3,5,,0,17,0,,119,minimax7,20,[],12507.464337677739,10,0,0.0,,326.6492866,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,,"[{'channel': 4, 'point': [-346.6212417578963, 707.0364579562975], 'ranker': 'minimax', 'continuous_radius_upper_m': 125.41619474777731, 'move_measure_s': 162.48610581472553}, {'channel': 8, 'point': [-1058.017992394188, 374.54089589497835], 'ranker': 'minimax', 'continuous_radius_upper_m': 111.74085929055543, 'move_measure_s': 161.66489610981185}, {'channel': 18, 'point': [-1209.7666454217165, -521.752546049411], 'ranker': 'minimax', 'continuous_radius_upper_m': 76.05511120808576, 'move_measure_s': 110.27926749791573}, {'channel': 14, 'point': [-70.7173439780742, -1278.047221224285], 'ranker': 'minimax', 'continuous_radius_upper_m': 83.51665525899674, 'move_measure_s': 120.55694139638135}, {'channel': 15, 'point': [1422.35773715703, -231.2208634564179], 'ranker': 'minimax', 'continuous_radius_upper_m': 57.42487414278813, 'move_measure_s': 77.99013068353005}]",67,7,,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3266.492866,0.08840849995613098
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,12,10,133,0.09003899999999998,10,3,5,,0,17,0,,119,minimax_weight03_7,20,[],12507.464337677739,10,0,0.0,,326.6492866,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,,"[{'channel': 4, 'point': [-346.6212417578963, 707.0364579562975], 'ranker': 'minimax', 'continuous_radius_upper_m': 125.41619474777731, 'move_measure_s': 162.48610581472553}, {'channel': 8, 'point': [-1058.017992394188, 374.54089589497835], 'ranker': 'minimax', 'continuous_radius_upper_m': 111.74085929055543, 'move_measure_s': 161.66489610981185}, {'channel': 18, 'point': [-1209.7666454217165, -521.752546049411], 'ranker': 'minimax', 'continuous_radius_upper_m': 76.05511120808576, 'move_measure_s': 110.27926749791573}, {'channel': 14, 'point': [-70.7173439780742, -1278.047221224285], 'ranker': 'minimax', 'continuous_radius_upper_m': 83.51665525899674, 'move_measure_s': 120.55694139638135}, {'channel': 15, 'point': [1422.35773715703, -231.2208634564179], 'ranker': 'minimax', 'continuous_radius_upper_m': 57.42487414278813, 'move_measure_s': 77.99013068353005}]",67,7,,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3266.492866,0.09020379203138873
6,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,12,10,139,0.01841900000000002,10,3,5,,0,17,0,37.49999999999999,125,rotate_fast7,,[],12061.640261958,,0,0.0,,321.0328052,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,8,,67,7,,1,10,ordinary,7,full_coverage_and_all_discovered_cleared,117,3210.328052,0.018436042009852827
6,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,12,10,139,0.018465000000000065,10,3,5,,0,17,0,37.49999999999999,125,rotate_full7,0,[],12061.640261958,0,0,0.0,,321.0328052,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,8,"[{'channel': 9, 'point': [1227.3899737592703, 142.3172457190446], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 132.8512328302682}, {'channel': 9, 'point': [1621.461353657426, 3.171964906365311], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 13.354435850880561}, {'channel': 14, 'point': [42.516577340638094, -1462.5992855030945], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 74.78655552517407}, {'channel': 7, 'point': [-1077.6848103524292, -995.1030498217033], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 74.48092607473448}]",67,7,,1,10,ordinary,7,full_coverage_and_all_discovered_cleared,117,3210.328052,0.01846520899562165
6,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,12,10,139,0.020218999999999987,10,3,5,,0,17,0,37.49999999999999,125,rotate_expanded7,0,[],12061.640261958,5,0,0.0,,321.0328052,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,8,"[{'channel': 9, 'point': [1227.3899737592703, 142.3172457190446], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 132.8512328302682}, {'channel': 9, 'point': [1621.461353657426, 3.171964906365311], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 13.354435850880561}, {'channel': 14, 'point': [42.516577340638094, -1462.5992855030945], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 74.78655552517407}, {'channel': 7, 'point': [-1077.6848103524292, -995.1030498217033], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 74.48092607473448}]",67,7,,1,10,ordinary,7,full_coverage_and_all_discovered_cleared,117,3210.328052,0.020240165991708636
4,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,5,10,10,153,0.018147000000000024,10,5,5,,0,19,0,22.5,141,rotate_fast9,,[],11726.777282606741,,0,0.0,,323.5355458,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,8,,67,7,,7,10,ordinary,9,full_coverage_and_all_discovered_cleared,135,3235.355458,0.018147333001252264
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,11,18,15,148,0.02727999999999997,15,4,7,,0,22,0,,128,fast7,,[],11291.627306304414,,0,0.0,,206.95503079999997,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,,,68,32,,0,15,ordinary,7,full_coverage_and_all_discovered_cleared,122,3104.325462,0.02731941599631682
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,11,18,15,148,0.027725,15,4,7,,0,22,0,,128,full_reception7,0,[],11291.627306304414,5,0,0.0,,206.95503079999997,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,,"[{'channel': 14, 'point': [437.10558875414347, -650.7131593049845], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 161.77868623161513}, {'channel': 17, 'point': [-996.0974673093292, 965.5807711795806], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 90.32981406176079}, {'channel': 16, 'point': [-1391.6773557976471, 289.2546124454439], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 81.68369376660448}, {'channel': 2, 'point': [-1385.2948275896001, -873.4881639660344], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 244.3624601170548}]",68,32,,0,15,ordinary,7,full_coverage_and_all_discovered_cleared,122,3104.325462,0.02777774998685345
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,11,18,15,148,0.029299999999999993,15,4,7,,0,22,0,,128,expanded7,0,[],11291.627306304414,15,0,0.0,,206.95503079999997,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,,"[{'channel': 14, 'point': [437.10558875414347, -650.7131593049845], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 161.77868623161513}, {'channel': 17, 'point': [-996.0974673093292, 965.5807711795806], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 90.32981406176079}, {'channel': 16, 'point': [-1391.6773557976471, 289.2546124454439], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 81.68369376660448}, {'channel': 2, 'point': [-1385.2948275896001, -873.4881639660344], 'ranker': 'covariance', 'continuous_radius_upper_m': None, 'move_measure_s': 244.3624601170548}]",68,32,,0,15,ordinary,7,full_coverage_and_all_discovered_cleared,122,3104.325462,0.02932091598631814
