Q3 5/93, 20 executions, 0.5s
Q3 10/93, 40 executions, 1.1s
Q3 15/93, 60 executions, 1.6s
Q3 20/93, 80 executions, 2.2s
Q3 25/93, 100 executions, 2.7s
Q3 30/93, 120 executions, 3.3s
Q3 35/93, 140 executions, 3.8s
Q3 40/93, 160 executions, 4.3s
Q3 45/93, 180 executions, 4.8s
Q3 50/93, 200 executions, 5.4s
Q3 55/93, 220 executions, 5.9s
Q3 60/93, 240 executions, 6.4s
Q3 65/93, 260 executions, 7.0s
Q3 70/93, 280 executions, 7.5s
Q3 75/93, 300 executions, 8.1s
Q3 76/93, 304 executions, 8.2s
Q3 77/93, 308 executions, 8.3s
Q3 78/93, 312 executions, 8.4s
Q3 79/93, 316 executions, 8.5s
Q3 80/93, 320 executions, 8.7s
Q3 81/93, 324 executions, 8.8s
Q3 82/93, 328 executions, 8.9s
Q3 83/93, 332 executions, 9.0s
Q3 84/93, 336 executions, 9.0s
Q3 85/93, 340 executions, 9.2s
Q3 86/93, 344 executions, 9.3s
Q3 87/93, 348 executions, 9.4s
Q3 88/93, 352 executions, 9.5s
Q3 89/93, 356 executions, 9.6s
Q3 90/93, 360 executions, 9.6s
Q3 91/93, 364 executions, 9.7s
Q3 92/93, 368 executions, 9.9s
Q3 93/93, 372 executions, 10.0s
Q4 5/93, 427 executions, 12.6s
Q4 10/93, 482 executions, 15.4s
Q4 15/93, 537 executions, 18.1s
Q4 20/93, 592 executions, 20.9s
Q4 25/93, 647 executions, 23.4s
Q4 30/93, 702 executions, 26.0s
Q4 35/93, 757 executions, 28.6s
Q4 40/93, 812 executions, 31.2s
Q4 45/93, 867 executions, 34.0s
Q4 50/93, 922 executions, 36.5s
Q4 55/93, 977 executions, 39.0s
Q4 60/93, 1032 executions, 41.7s
Q4 65/93, 1087 executions, 44.5s
Q4 70/93, 1142 executions, 47.2s
Q4 75/93, 1197 executions, 49.6s
Q4 76/93, 1208 executions, 49.9s
Q4 77/93, 1219 executions, 50.2s
Q4 78/93, 1230 executions, 50.5s
Q4 79/93, 1241 executions, 51.0s
Q4 80/93, 1252 executions, 51.4s
Q4 81/93, 1263 executions, 51.9s
Q4 82/93, 1274 executions, 52.3s
Q4 83/93, 1285 executions, 52.7s
Q4 84/93, 1296 executions, 53.1s
Q4 85/93, 1307 executions, 53.6s
Q4 86/93, 1318 executions, 54.1s
Q4 87/93, 1329 executions, 54.7s
Q4 88/93, 1340 executions, 55.1s
Q4 89/93, 1351 executions, 55.5s
Q4 90/93, 1362 executions, 56.0s
Q4 91/93, 1373 executions, 56.6s
Q4 92/93, 1384 executions, 57.2s
Q4 93/93, 1395 executions, 57.8s
Completed 1395 executions
