all_cleared,errors,max_total_s,max_wall_s,mean_commands,mean_optical_fallbacks,mean_pair_cuts,mean_per_source_s,mean_total_s,mean_wall_s,method,p95_total_s,problem,runs,slower_cases,split
75,0,3633.441833,0.037396333005744964,141.04,0.0,0.0,256.26268686488885,3091.9705532800003,0.024451986703400812,range_area7,3590.1899138999997,3,75,0,ordinary
75,0,3633.441833,0.03805024997564033,141.04,0.0,0.0,256.26268686488885,3091.9705532800003,0.024913030508129548,service_free0_area7,3590.1899138999997,3,75,0,ordinary
75,0,3633.441833,0.039356333028990775,138.48,0.0,0.0,257.8558917908888,3109.9991203866675,0.026507778891827913,service_free1_area7,3590.1899138999997,3,75,14,ordinary
75,0,3840.961227,0.0377053749980405,143.56,0.0,0.0,256.0797207902222,3092.048695453333,0.027099940601425867,service_locked1_area7,3749.291914,3,75,29,ordinary
18,0,4704.144997,0.03163887502159923,130.05555555555554,0.0,0.0,273.2625248597222,3341.9234545555555,0.023789726831536327,range_area7,4682.41171505,3,18,0,stress
18,0,4704.144997,0.03205216699279845,130.05555555555554,0.0,0.0,273.2625248597222,3341.9234545555555,0.02465149777708575,service_free0_area7,4682.41171505,3,18,0,stress
18,0,4704.144997,0.03309370798524469,126.27777777777777,0.0,0.0,275.2273695868056,3376.032699388889,0.025509539318995342,service_free1_area7,4682.41171505,3,18,4,stress
18,0,4704.144997,0.03360883303685114,127.5,0.0,0.0,263.42841175,3202.2800626666663,0.02658574756545325,service_locked1_area7,4682.41171505,3,18,3,stress
75,0,6658.568243,0.05570733395870775,290.6,0.0,0.06666666666666667,507.0780894346667,6086.892995173333,0.03631361617318665,range_grid21_29,6453.1671215,4,75,0,ordinary
75,0,6761.022463,0.05954604200087488,300.81333333333333,0.0,0.17333333333333334,516.8044711977777,6199.745994253333,0.0380717055608208,range_convex22,6690.4609878,4,75,50,ordinary
75,0,6332.945097,0.05560141598107293,285.32,0.0,0.09333333333333334,490.00360585377786,5893.155494706665,0.0403182777405406,count_locked_grid21_29,6258.827614299999,4,75,16,ordinary
75,0,6799.045381,0.06764720799401402,285.92,0.0,0.04,505.66824493311105,6064.279852933333,0.04301844102563337,service_free0_grid21_29,6510.6892424,4,75,39,ordinary
75,0,6739.992281,0.0786530839977786,285.3066666666667,0.0,0.09333333333333334,507.1047751935555,6071.8824473333325,0.0509314000272813,service_free1_grid21_29,6592.286300000001,4,75,39,ordinary
75,0,6741.454896,0.0781870000064373,283.49333333333334,0.0,0.08,504.88106501399983,6045.647312693332,0.05161350392348443,service_free2_grid21_29,6502.1505518,4,75,35,ordinary
75,0,6300.414792,0.0587655829731375,286.24,0.0,0.05333333333333334,492.44276017066676,5916.37929764,0.044462543294454614,service_locked0_grid21_29,6263.305334,4,75,19,ordinary
75,0,6385.377264,0.06033162499079481,286.46666666666664,0.0,0.05333333333333334,495.4016635464444,5955.469992253334,0.04555928390085076,service_locked1_grid21_29,6304.980558599999,4,75,24,ordinary
75,0,7307.35695,0.08492833300260827,278.82666666666665,0.0,0.08,538.3433657524445,6461.24643896,0.05322777224316572,service_soft20_grid21_29,7037.513488499999,4,75,64,ordinary
75,0,6854.833329,0.09706012503011152,291.76,0.0,0.2,511.152136972,6126.577144346666,0.054715342201913396,service_free1_convex22,6570.024279,4,75,40,ordinary
75,0,6421.744184,0.06808316695969552,291.58666666666664,0.0,0.3466666666666667,500.80701190733333,5995.6160652,0.046071671654159825,service_locked1_convex22,6333.7917316,4,75,32,ordinary
18,0,7128.241731,0.04995108296861872,302.22222222222223,0.0,2.8333333333333335,523.7420132118056,6326.954102722221,0.033141365659604266,range_grid21_29,7116.4923204,4,18,0,stress
18,0,8092.02217,0.04973133304156363,331.1111111111111,0.0,3.0555555555555554,552.65879340625,6717.234549166667,0.03292110649636015,range_convex22,7556.6288841,4,18,15,stress
18,0,7685.328944,0.040197124995756894,316.3333333333333,0.0,2.9444444444444446,522.1372978590277,6355.307047444444,0.03195106250415039,count_locked_grid21_29,7566.751132199999,4,18,7,stress
18,0,7131.80167,0.05456816602963954,298.27777777777777,0.0,2.7222222222222223,520.2439380965277,6280.0668014444445,0.0383079513364161,service_free0_grid21_29,7128.77572185,4,18,7,stress
18,0,7131.80167,0.07295500003965572,299.8333333333333,0.0,2.7222222222222223,520.1494961256944,6273.879280277779,0.045446261608352266,service_free1_grid21_29,7128.77572185,4,18,6,stress
18,0,7131.80167,0.07639091700548306,297.5,0.0,2.8333333333333335,515.2954259819445,6211.9781486111115,0.04554928693687543,service_free2_grid21_29,7128.77572185,4,18,5,stress
18,0,7709.328944,0.050814832968171686,321.8333333333333,0.0,2.8333333333333335,518.3433407152778,6306.191762444445,0.03775008326758527,service_locked0_grid21_29,7590.751132199999,4,18,5,stress
18,0,7709.328944,0.05182416603202,322.72222222222223,0.0,2.8333333333333335,520.2285621631944,6333.738872777777,0.03867058549723071,service_locked1_grid21_29,7590.751132199999,4,18,5,stress
18,0,8687.605911,0.06582579202950001,314.1666666666667,0.0,2.7777777777777777,546.1985365402777,6624.9238917777775,0.045120280045214005,service_soft20_grid21_29,8573.1084579,4,18,12,stress
18,0,7962.371104,0.07148170802975073,305.1111111111111,0.0,3.0555555555555554,513.2630016777778,6238.790591777779,0.04384774078304569,service_free1_convex22,7499.435315849999,4,18,5,stress
18,0,7328.777675,0.061255292035639286,327.22222222222223,0.0,3.0555555555555554,520.3201196972223,6338.419434222223,0.04017469900362711,service_locked1_convex22,7324.4761344,4,18,7,stress
