active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,certified_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,deferred_nonstationary_skips,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,faithful_attempt_memory_updates,faithful_nonstationary_retained,faithful_stationary_skips,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,logical_negative_memory_limit,maximum_source_primary_rf,maximum_source_rounds,measurements,method,minimum_actual_unknown_per_station,minimum_unknown_actions_per_station,missed_channels,modeled_known_scan_pairs,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,pair_prediction_checks,per_source_s,policy_cleared_channels,predicted_pair_skips,probe_angle_cap_deg,problem,public_empty_scan_skips,public_empty_scans,seed,service_entry_weight,service_order_mode,service_route_plans,service_scan_cost_weight,service_scan_order_cost_s,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,3,,12,10,130,1.0,,,base,0,0.019350000000000034,,10,,3,5,False,,,,,False,,0,0,,17,0,,,,116,range_area7,,,[],,12450.081271938308,0,49.195608055153805,0.0,7,,,,323.8016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,,3,,,67,1.0,,,,,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,112,3238.016252,,,True,0.019528709002770483
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,3,,12,10,130,1.0,,,arc,0,0.019112000000000018,,10,,3,5,False,,,,,False,,0,0,,0,0,,,,116,service_free0_area7,,,[],0,12450.081271938308,0,49.195608055153805,0.0,7,,,,323.8016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,,3,,,67,0.5,free,17,0.0,0.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,112,3238.016252,,,True,0.019224416988436133
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,3,,12,10,130,1.0,,,arc,0,0.02093199999999995,,10,,3,5,False,,,,,False,,0,0,,0,0,,,,116,service_free1_area7,,,[],87,12450.081271938308,0,49.195608055153805,0.0,7,,,,323.8016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,,3,,,67,0.5,free,17,1.0,0.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,112,3238.016252,,,True,0.020992458041291684
6,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,0,,12,10,136,1.0,,,arc,0,0.020662999999999987,,10,,3,5,False,,,,,False,,0,0,,0,0,,,,122,service_locked1_area7,,,[],122,11477.146886982022,0,53.406136007817565,0.0,7,,,,307.8429376,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,,3,,,67,0.5,locked,17,1.0,0.0,9,,1,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,117,3078.429376,,,True,0.02066258405102417
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,10,0,,18,15,149,1.0,,,base,0,0.028918999999999917,,15,,5,8,False,,,,,False,,0,0,,22,0,,,,129,range_area7,,,[],,11258.355683768476,0,68.94379760295948,0.0,10,,,,206.9114092,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,,3,,,68,1.0,,,,,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3103.671138,,,True,0.028930667031090707
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,10,0,,18,15,149,1.0,,,arc,0,0.029918,,15,,5,8,False,,,,,False,,0,0,,0,0,,,,129,service_free0_area7,,,[],0,11258.355683768476,0,68.94379760295948,0.0,10,,,,206.9114092,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,,3,,,68,0.5,free,22,0.0,0.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3103.671138,,,True,0.02993675001198426
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,10,0,,18,15,149,1.0,,,arc,0,0.03144800000000003,,15,,5,8,False,,,,,False,,0,0,,0,0,,,,129,service_free1_area7,,,[],264,11258.355683768476,0,68.94379760295948,0.0,10,,,,206.9114092,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,,3,,,68,0.5,free,22,1.0,0.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3103.671138,,,True,0.03150633396580815
8,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,11,8,,19,15,140,1.0,,,arc,0,0.03217199999999998,,15,,4,8,False,,,,,False,,0,0,,0,0,,,,119,service_locked1_area7,,,[],279,11126.421130519257,0,63.65259511219628,0.0,11,,,,201.35228173333334,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,,3,,,68,0.5,locked,22,1.0,0.0,21,,5,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,113,3020.284226,,,True,0.03228600003058091
7,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,5,0,,16,15,143,1.0,,,base,0,0.025258000000000003,,15,,10,11,False,,,,,False,,0,0,,22,0,,,,125,range_area7,,,[],,12833.52283590028,0,49.76008032836796,0.0,5,,,,225.5803046,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,,3,,,69,1.0,,,,,28,,7,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,114,3383.704569,,,True,0.025267374992836267
7,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,5,0,,16,15,143,1.0,,,arc,0,0.026549999999999963,,15,,10,11,False,,,,,False,,0,0,,0,0,,,,125,service_free0_area7,,,[],0,12833.52283590028,0,49.76008032836796,0.0,5,,,,225.5803046,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,,3,,,69,0.5,free,22,0.0,0.0,28,,7,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,114,3383.704569,,,True,0.026566124986857176
7,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,5,0,,16,15,143,1.0,,,arc,0,0.029259999999999953,,15,,10,11,False,,,,,False,,0,0,,0,0,,,,125,service_free1_area7,,,[],269,12833.52283590028,0,49.76008032836796,0.0,5,,,,225.5803046,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,,3,,,69,0.5,free,22,1.0,0.0,28,,7,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,114,3383.704569,,,True,0.02941679098876193
5,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,4,6,,16,15,151,1.0,,,arc,0,0.03060799999999997,,15,,11,12,False,,,,,False,,0,0,,0,0,,,,133,service_locked1_area7,,,[],318,12530.945493030598,0,45.95042603669498,0.0,4,,,,224.8126068,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,,3,,,69,0.5,locked,22,1.0,0.0,30,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3372.189102,,,True,0.030636082985438406
8,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,6,3,,13,10,138,1.0,,,base,0,0.020799000000000012,,10,,4,7,False,,,,,False,,0,0,,17,0,,,,123,range_area7,,,[],,11127.182320072005,0,36.3364416117673,0.0,6,,,,301.4436465,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,,3,,,70,1.0,,,,,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3014.436465,,,True,0.020834165974520147
8,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,6,3,,13,10,138,1.0,,,arc,0,0.020776000000000017,,10,,4,7,False,,,,,False,,0,0,,0,0,,,,123,service_free0_area7,,,[],0,11127.182320072005,0,36.3364416117673,0.0,6,,,,301.4436465,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,,3,,,70,0.5,free,17,0.0,0.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3014.436465,,,True,0.020809417008422315
7,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,5,4,,11,10,131,1.0,,,arc,0,0.02096599999999993,,10,,5,6,False,,,,,False,,0,0,,0,0,,,,118,service_free1_area7,,,[],77,11426.078539245202,0,36.25907239577695,0.0,5,,,,303.92157050000003,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,,3,,,70,0.5,free,17,1.0,0.0,7,,1,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,111,3039.215705,,,True,0.020979999972041696
5,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,4,2,,11,10,139,1.0,,,arc,0,0.021305999999999936,,10,,6,7,False,,,,,False,,0,0,,0,0,,,,126,service_locked1_area7,,,[],158,10781.635850640385,0,33.084375729977445,0.0,4,,,,295.5327167,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,,3,,,70,0.5,locked,17,1.0,0.0,10,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,116,2955.327167,,,True,0.021306333015672863
7,0,True,0,0,0,0,0,uniform__iid__71,uniform__iid,7,0,,13,12,133,1.0,,,base,0,0.023830000000000018,,12,,5,6,False,,,,,False,,0,0,,19,0,,,,118,range_area7,,,[],,12153.650482723764,0,40.99123897655369,0.0,7,,,,266.14417483333335,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,,3,,,71,1.0,,,,,22,,4,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,110,3193.730098,,,True,0.023848292010370642
7,0,True,0,0,0,0,0,uniform__iid__71,uniform__iid,7,0,,13,12,133,1.0,,,arc,0,0.02495500000000006,,12,,5,6,False,,,,,False,,0,0,,0,0,,,,118,service_free0_area7,,,[],0,12153.650482723764,0,40.99123897655369,0.0,7,,,,266.14417483333335,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,,3,,,71,0.5,free,19,0.0,0.0,22,,4,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,110,3193.730098,,,True,0.024972749990411103
6,0,True,0,0,0,0,0,uniform__iid__71,uniform__iid,5,0,,13,12,133,1.0,,,arc,0,0.02524700000000002,,12,,7,8,False,,,,,False,,0,0,,0,0,,,,118,service_free1_area7,,,[],170,12401.58506950604,0,23.751457440008412,0.0,5,,,,270.35975133333335,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,,3,,,71,0.5,free,19,1.0,0.0,23,,4,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,111,3244.317016,,,True,0.02529533300548792
