Q3 5/93, 60 executions, 2.5s
Q3 10/93, 120 executions, 5.0s
Q3 15/93, 180 executions, 7.5s
Q3 20/93, 240 executions, 10.0s
Q3 25/93, 300 executions, 12.6s
Q3 30/93, 360 executions, 15.1s
Q3 35/93, 420 executions, 17.7s
Q3 40/93, 480 executions, 20.3s
Q3 45/93, 540 executions, 23.0s
Q3 50/93, 600 executions, 25.6s
Q3 55/93, 660 executions, 28.0s
Q3 60/93, 720 executions, 30.5s
Q3 65/93, 780 executions, 33.0s
Q3 70/93, 840 executions, 35.6s
Q3 75/93, 900 executions, 38.1s
Q3 76/93, 912 executions, 38.7s
Q3 77/93, 924 executions, 39.2s
Q3 78/93, 936 executions, 39.6s
Q3 79/93, 948 executions, 40.3s
Q3 80/93, 960 executions, 41.1s
Q3 81/93, 972 executions, 41.8s
Q3 82/93, 984 executions, 42.2s
Q3 83/93, 996 executions, 42.6s
Q3 84/93, 1008 executions, 43.1s
Q3 85/93, 1020 executions, 43.6s
Q3 86/93, 1032 executions, 44.2s
Q3 87/93, 1044 executions, 44.8s
Q3 88/93, 1056 executions, 45.2s
Q3 89/93, 1068 executions, 45.7s
Q3 90/93, 1080 executions, 46.2s
Q3 91/93, 1092 executions, 46.8s
Q3 92/93, 1104 executions, 47.5s
Q3 93/93, 1116 executions, 48.1s
Q4 5/93, 1151 executions, 50.7s
Q4 10/93, 1186 executions, 53.2s
Q4 15/93, 1221 executions, 55.8s
Q4 20/93, 1256 executions, 58.4s
Q4 25/93, 1291 executions, 61.0s
Q4 30/93, 1326 executions, 63.8s
Q4 35/93, 1361 executions, 66.7s
Q4 40/93, 1396 executions, 69.5s
Q4 45/93, 1431 executions, 72.4s
Q4 50/93, 1466 executions, 75.1s
Q4 55/93, 1501 executions, 77.7s
Q4 60/93, 1536 executions, 80.3s
Q4 65/93, 1571 executions, 82.9s
Q4 70/93, 1606 executions, 85.6s
Q4 75/93, 1641 executions, 88.1s
Q4 76/93, 1648 executions, 88.5s
Q4 77/93, 1655 executions, 88.8s
Q4 78/93, 1662 executions, 89.2s
Q4 79/93, 1669 executions, 89.7s
Q4 80/93, 1676 executions, 90.2s
Q4 81/93, 1683 executions, 90.6s
Q4 82/93, 1690 executions, 91.1s
Q4 83/93, 1697 executions, 91.5s
Q4 84/93, 1704 executions, 91.9s
Q4 85/93, 1711 executions, 92.5s
Q4 86/93, 1718 executions, 93.0s
Q4 87/93, 1725 executions, 93.6s
Q4 88/93, 1732 executions, 94.0s
Q4 89/93, 1739 executions, 94.3s
Q4 90/93, 1746 executions, 94.7s
Q4 91/93, 1753 executions, 95.3s
Q4 92/93, 1760 executions, 95.8s
Q4 93/93, 1767 executions, 96.3s
Completed 1767 executions
